ID,Name,Position,Shoots,Drafted_Team,Round,Draft_Pick,Draft_Year,Birth_Year,Birth_Month,Birth_Day,Birth_Country,Birth_State,Birth_City,Country,Height,Weight,Season,Age,Team,League,GP,G,A,TP,PIM,+/-
15794,Emil Fahlén,F,L,,,,,1991,01,15,SWE,,Boden,Sweden,,,2007-08,17.6684931506849,Bodens HF J18,J18 Div.1,-,-,-,-,-,""
15794,Emil Fahlén,F,L,,,,,1991,01,15,SWE,,Boden,Sweden,,,2008-09,18.6684931506849,Bodens HF J18,J18 Div.1,-,-,-,-,-,""
15794,Emil Fahlén,F,L,,,,,1991,01,15,SWE,,Boden,Sweden,,,2009-10,19.6684931506849,Bodens HF J20,Division 2,-,-,-,-,-,""
15794,Emil Fahlén,F,L,,,,,1991,01,15,SWE,,Boden,Sweden,,,2010-11,20.6684931506849,Bodens HF J20,Division 2,-,-,-,-,-,""
15794,Emil Fahlén,F,L,,,,,1991,01,15,SWE,,Boden,Sweden,,,2010-11,20.6684931506849,Bodens HF,Division 1,8,0,0,0,2,""
21961,Erik Lingvide,F,L,,,,,1992,03,14,SWE,,Stockholm,Sweden,187,181,2008-09,17.5068493150685,NynÃ¤shamns IF J18,J18 Div.1,32,21,24,45,8,""
21961,Erik Lingvide,F,L,,,,,1992,03,14,SWE,,Stockholm,Sweden,187,181,2008-09,17.5068493150685,NynÃ¤shamns IF J20,J20 Div.1,8,2,6,8,2,""
21961,Erik Lingvide,F,L,,,,,1992,03,14,SWE,,Stockholm,Sweden,187,181,2009-10,18.5068493150685,NynÃ¤shamns IF J18,J18 Div.1,22,15,20,35,0,""
21961,Erik Lingvide,F,L,,,,,1992,03,14,SWE,,Stockholm,Sweden,187,181,2009-10,18.5068493150685,NynÃ¤shamns IF J20,J20 Div.1,9,4,3,7,6,""
21961,Erik Lingvide,F,L,,,,,1992,03,14,SWE,,Stockholm,Sweden,187,181,2010-11,19.5068493150685,NynÃ¤shamns IF J20,J20 Elit,22,24,17,41,14,""
21961,Erik Lingvide,F,L,,,,,1992,03,14,SWE,,Stockholm,Sweden,187,181,2010-11,19.5068493150685,NynÃ¤shamns IF,Division 1,8,0,0,0,2,""
21961,Erik Lingvide,F,L,,,,,1992,03,14,SWE,,Stockholm,Sweden,187,181,2011-12,20.5068493150685,Elliot Lake Bobcats,GMHL,6,2,3,5,2,""
