ID,Name,Position,Shoots,Drafted_Team,Draft_Year,Round,Draft_Pick,Birth_Year,Birth_Month,Birth_Day,Birth_Country,Birth_State,Birth_City,Country,Height,Weight,Season,Age,Team,League,GP,G,A,TP,PIM,+/-
3658,Rick Nash,LW/RW,L,Columbus Blue Jackets,2002,1,1,1984,06,16,CAN,ON,Brampton,Canada,193,212,2000-01,17.2493150684932,London Knights,OHL,58,31,35,66,56,-18
3658,Rick Nash,LW/RW,L,Columbus Blue Jackets,2002,1,1,1984,06,16,CAN,ON,Brampton,Canada,193,212,2000-01,17.2493150684932,Canada Ontario U17,WHC-17,6,6,2,8,8,""
3658,Rick Nash,LW/RW,L,Columbus Blue Jackets,2002,1,1,1984,06,16,CAN,ON,Brampton,Canada,193,212,2001-02,18.2493150684932,"London Knights 
                                                                    “A”",OHL,54,32,40,72,88,-16
3658,Rick Nash,LW/RW,L,Columbus Blue Jackets,2002,1,1,1984,06,16,CAN,ON,Brampton,Canada,193,212,2001-02,18.2493150684932,Canada U20,WJC-20,7,1,2,3,2,3
3658,Rick Nash,LW/RW,L,Columbus Blue Jackets,2002,1,1,1984,06,16,CAN,ON,Brampton,Canada,193,212,2002-03,19.2493150684932,Columbus Blue Jackets,NHL,74,17,22,39,78,-27
3658,Rick Nash,LW/RW,L,Columbus Blue Jackets,2002,1,1,1984,06,16,CAN,ON,Brampton,Canada,193,212,2003-04,20.2493150684932,Columbus Blue Jackets,NHL,80,41,16,57,87,-35
3658,Rick Nash,LW/RW,L,Columbus Blue Jackets,2002,1,1,1984,06,16,CAN,ON,Brampton,Canada,193,212,2004-05,21.2493150684932,HC Davos,NLA,44,27,20,47,83,""
3658,Rick Nash,LW/RW,L,Columbus Blue Jackets,2002,1,1,1984,06,16,CAN,ON,Brampton,Canada,193,212,2004-05,21.2493150684932,Canada,WC,9,9,6,15,8,7
3658,Rick Nash,LW/RW,L,Columbus Blue Jackets,2002,1,1,1984,06,16,CAN,ON,Brampton,Canada,193,212,2005-06,22.2493150684932,"Columbus Blue Jackets 
                                                                    “A”",NHL,54,31,23,54,51,5
3658,Rick Nash,LW/RW,L,Columbus Blue Jackets,2002,1,1,1984,06,16,CAN,ON,Brampton,Canada,193,212,2005-06,22.2493150684932,Canada,OG,6,0,1,1,10,-2
3658,Rick Nash,LW/RW,L,Columbus Blue Jackets,2002,1,1,1984,06,16,CAN,ON,Brampton,Canada,193,212,2006-07,23.2493150684932,"Columbus Blue Jackets 
                                                                    “A”",NHL,75,27,30,57,73,-8
3658,Rick Nash,LW/RW,L,Columbus Blue Jackets,2002,1,1,1984,06,16,CAN,ON,Brampton,Canada,193,212,2006-07,23.2493150684932,Canada,WC,9,6,5,11,4,8
3658,Rick Nash,LW/RW,L,Columbus Blue Jackets,2002,1,1,1984,06,16,CAN,ON,Brampton,Canada,193,212,2007-08,24.2493150684932,"Columbus Blue Jackets 
                                                                    “A”",NHL,80,38,31,69,95,2
