ID,Name,Position,Shoots,Drafted_Team,Round,Draft_Pick,Draft_Year,Birth_Year,Birth_Month,Birth_Day,Birth_Country,Birth_State,Birth_City,Country,Height,Weight,Season,Age,Team,League,GP,G,A,TP,PIM,+/-
428952,Zane Peterson,F,R,,,,,1998,01,07,USA,MN,Duluth,USA,193,201,2014-15,17.6876712328767,Duluth Denfeld High,USHS-MN,22,0,0,0,2,""
428952,Zane Peterson,F,R,,,,,1998,01,07,USA,MN,Duluth,USA,193,201,2015-16,18.6876712328767,Duluth Denfeld High,USHS-MN,25,4,6,10,2,""
428952,Zane Peterson,F,R,,,,,1998,01,07,USA,MN,Duluth,USA,193,201,2018-19,21.6876712328767,Univ. of Minnesota-Duluth,ACHA II,6,2,2,4,6,""
257973,Luca Brigada,F,,,,,,1996,01,18,ITA,,Milano,Italy,173,150,2012-13,17.6602739726027,Milano Rossoblu U20,Italy U20,11,0,0,0,0,""
257973,Luca Brigada,F,,,,,,1996,01,18,ITA,,Milano,Italy,173,150,2013-14,18.6602739726027,St. Cloud Tech High,USHS-MN,15,0,0,0,0,""
419288,Peter Bennett,LD,L,,,,,1997,10,06,USA,MN,Sartell,USA,,,2014-15,17.9424657534247,St. Cloud Cathedral,USHS-MN,17,0,0,0,2,""
419288,Peter Bennett,LD,L,,,,,1997,10,06,USA,MN,Sartell,USA,,,2015-16,18.9424657534247,St. Cloud Cathedral,USHS-MN,17,2,3,5,2,""
419288,Peter Bennett,LD,L,,,,,1997,10,06,USA,MN,Sartell,USA,,,2017-18,20.9424657534247,Auburn Univ.,ACHA III,9,0,6,6,4,0
380881,Austin Monda,F,,,,,,1997,03,11,USA,MN,East Grand Forks,USA,180,176,2013-14,17.5150684931507,East Grand Forks High,USHS-MN,15,0,0,0,4,""
380881,Austin Monda,F,,,,,,1997,03,11,USA,MN,East Grand Forks,USA,180,176,2014-15,18.5150684931507,East Grand Forks High,USHS-MN,24,7,6,13,16,""
490587,James Kezar,RD,R,,,,,1996,12,25,USA,MN,Coon Rapids,USA,183,240,2013-14,17.7232876712329,Coon Rapids High,USHS-MN,16,0,0,0,0,""
381280,Jack Zinser,F,,,,,,1998,08,19,USA,MN,Rochester,USA,183,194,2014-15,17.0739726027397,Rochester John Marshall High,USHS-MN,22,3,4,7,2,""
381280,Jack Zinser,F,,,,,,1998,08,19,USA,MN,Rochester,USA,183,194,2015-16,18.0739726027397,Rochester John Marshall High,USHS-MN,25,3,2,5,4,""
381280,Jack Zinser,F,,,,,,1998,08,19,USA,MN,Rochester,USA,183,194,2017-18,20.0739726027397,Rochester Ice Hawks,NA3HL,3,0,0,0,0,0
