ID,Name,Position,Shoots,Drafted_Team,Round,Draft_Pick,Draft_Year,Birth_Year,Birth_Month,Birth_Day,Birth_Country,Birth_State,Birth_City,Country,Height,Weight,Season,Age,Team,League,GP,G,A,TP,PIM,+/-
320734,Matt Resch,F,L,,,,,1996,02,20,USA,MN,Alexandria,USA,178,170,2012-13,17.5698630136986,Alexandria Area High,USHS-MN,24,6,10,16,32,""
320734,Matt Resch,F,L,,,,,1996,02,20,USA,MN,Alexandria,USA,178,170,2013-14,18.5698630136986,Alexandria Area High,USHS-MN,22,7,7,14,34,""
320734,Matt Resch,F,L,,,,,1996,02,20,USA,MN,Alexandria,USA,178,170,2014-15,19.5698630136986,Alexandria Blizzard,NA3HL,24,0,6,6,23,-5
320734,Matt Resch,F,L,,,,,1996,02,20,USA,MN,Alexandria,USA,178,170,2015-16,20.5698630136986,Alexandria Blizzard,NA3HL,6,0,0,0,0,-3
320734,Matt Resch,F,L,,,,,1996,02,20,USA,MN,Alexandria,USA,178,170,2015-16,20.5698630136986,Wisconsin Whalers,NA3HL,27,3,3,6,16,0
320734,Matt Resch,F,L,,,,,1996,02,20,USA,MN,Alexandria,USA,178,170,2016-17,21.5698630136986,Wisconsin Whalers,NA3HL,46,10,12,22,58,-14
320734,Matt Resch,F,L,,,,,1996,02,20,USA,MN,Alexandria,USA,178,170,2018-19,23.5698630136986,Illinois State Univ.,ACHA,30,3,4,7,63,-4
350960,Joey Schutz,LD,L,,,,,1995,09,27,USA,MN,Woodbury,USA,188,174,2012-13,17.9698630136986,East Ridge High,USHS-MN,25,2,4,6,2,""
350960,Joey Schutz,LD,L,,,,,1995,09,27,USA,MN,Woodbury,USA,188,174,2013-14,18.9698630136986,East Ridge High,USHS-MN,25,2,4,6,2,""
350960,Joey Schutz,LD,L,,,,,1995,09,27,USA,MN,Woodbury,USA,188,174,2014-15,19.9698630136986,Georgia Tech,ACHA III,25,9,10,19,22,""
350960,Joey Schutz,LD,L,,,,,1995,09,27,USA,MN,Woodbury,USA,188,174,2015-16,20.9698630136986,Georgia Tech,ACHA III,16,11,3,14,8,""
350960,Joey Schutz,LD,L,,,,,1995,09,27,USA,MN,Woodbury,USA,188,174,2016-17,21.9698630136986,Georgia Tech,ACHA III,21,7,9,16,6,3
350960,Joey Schutz,LD,L,,,,,1995,09,27,USA,MN,Woodbury,USA,188,174,2017-18,22.9698630136986,Georgia Tech,ACHA III,23,10,7,17,12,7
384460,Benjamin Papke,RD,R,,,,,1996,06,03,USA,MN,Northfield,USA,178,170,2012-13,17.2849315068493,Northfield High,USHS-MN,24,1,3,4,10,""
384460,Benjamin Papke,RD,R,,,,,1996,06,03,USA,MN,Northfield,USA,178,170,2013-14,18.2849315068493,Northfield High,USHS-MN,25,6,9,15,8,""
384460,Benjamin Papke,RD,R,,,,,1996,06,03,USA,MN,Northfield,USA,178,170,2014-15,19.2849315068493,"Northfield High 
                                                                    “C”",USHS-MN,25,7,12,19,12,""
384460,Benjamin Papke,RD,R,,,,,1996,06,03,USA,MN,Northfield,USA,178,170,2015-16,20.2849315068493,Univ. of St. Thomas,ACHA II,22,4,3,7,2,""
384460,Benjamin Papke,RD,R,,,,,1996,06,03,USA,MN,Northfield,USA,178,170,2016-17,21.2849315068493,Univ. of St. Thomas,ACHA II,25,3,4,7,2,0
384460,Benjamin Papke,RD,R,,,,,1996,06,03,USA,MN,Northfield,USA,178,170,2017-18,22.2849315068493,Univ. of St. Thomas,ACHA II,28,4,5,9,22,0
384460,Benjamin Papke,RD,R,,,,,1996,06,03,USA,MN,Northfield,USA,178,170,2018-19,23.2849315068493,Univ. of St. Thomas,ACHA II,29,11,25,36,25,""
343933,Steve MacIver,C,,,,,,1995,08,28,USA,MN,Duluth,USA,185,201,2011-12,17.0493150684932,Duluth Denfeld High,USHS-MN,25,2,1,3,2,""
343933,Steve MacIver,C,,,,,,1995,08,28,USA,MN,Duluth,USA,185,201,2012-13,18.0493150684932,Duluth Denfeld High,USHS-MN,25,10,13,23,6,""
343933,Steve MacIver,C,,,,,,1995,08,28,USA,MN,Duluth,USA,185,201,2013-14,19.0493150684932,Duluth Denfeld High,USHS-MN,21,8,11,19,2,""
343933,Steve MacIver,C,,,,,,1995,08,28,USA,MN,Duluth,USA,185,201,2014-15,20.0493150684932,Topeka Capitals,NA3HL,47,6,23,29,20,18
343933,Steve MacIver,C,,,,,,1995,08,28,USA,MN,Duluth,USA,185,201,2015-16,21.0493150684932,Atlanta Capitals,NA3HL,47,5,18,23,10,12
343933,Steve MacIver,C,,,,,,1995,08,28,USA,MN,Duluth,USA,185,201,2017-18,23.0493150684932,St. Olaf College,NCAA III,0,0,0,0,0,""
343933,Steve MacIver,C,,,,,,1995,08,28,USA,MN,Duluth,USA,185,201,2018-19,24.0493150684932,St. Olaf College,NCAA III,0,0,0,0,0,""
355679,Zach Bichler,F,R,,,,,1995,09,27,USA,MN,Rosemount,USA,188,185,2012-13,17.9698630136986,Rosemount High,USHS-MN,24,7,11,18,10,""
355679,Zach Bichler,F,R,,,,,1995,09,27,USA,MN,Rosemount,USA,188,185,2013-14,18.9698630136986,Rosemount High,USHS-MN,22,4,11,15,12,""
