ID,Name,Position,Shoots,Drafted_Team,Draft_Year,Round,Draft_Pick,Birth_Year,Birth_Month,Birth_Day,Birth_Country,Birth_State,Birth_City,Country,Height,Weight,Season,Age,Team,League,GP,G,A,TP,PIM,+/-
3670,Joe Thornton,C,L,Boston Bruins,1997,1,1,1979,07,02,CAN,ON,St. Thomas,Canada,193,220,1995-96,17.2054794520548,Sault Ste. Marie Greyhounds,OHL,66,30,46,76,51,""
3670,Joe Thornton,C,L,Boston Bruins,1997,1,1,1979,07,02,CAN,ON,St. Thomas,Canada,193,220,1996-97,18.2054794520548,Sault Ste. Marie Greyhounds,OHL,59,41,81,122,123,""
3670,Joe Thornton,C,L,Boston Bruins,1997,1,1,1979,07,02,CAN,ON,St. Thomas,Canada,193,220,1996-97,18.2054794520548,Canada U20,WJC-20,7,2,2,4,0,""
3670,Joe Thornton,C,L,Boston Bruins,1997,1,1,1979,07,02,CAN,ON,St. Thomas,Canada,193,220,1997-98,19.2054794520548,Boston Bruins,NHL,55,3,4,7,19,-6
3670,Joe Thornton,C,L,Boston Bruins,1997,1,1,1979,07,02,CAN,ON,St. Thomas,Canada,193,220,1998-99,20.2054794520548,Boston Bruins,NHL,81,16,25,41,69,3
3670,Joe Thornton,C,L,Boston Bruins,1997,1,1,1979,07,02,CAN,ON,St. Thomas,Canada,193,220,1999-00,21.2054794520548,Boston Bruins,NHL,81,23,37,60,82,-5
3670,Joe Thornton,C,L,Boston Bruins,1997,1,1,1979,07,02,CAN,ON,St. Thomas,Canada,193,220,2000-01,22.2054794520548,Boston Bruins,NHL,72,37,34,71,107,-4
3670,Joe Thornton,C,L,Boston Bruins,1997,1,1,1979,07,02,CAN,ON,St. Thomas,Canada,193,220,2000-01,22.2054794520548,Canada,WC,6,1,1,2,6,1
3670,Joe Thornton,C,L,Boston Bruins,1997,1,1,1979,07,02,CAN,ON,St. Thomas,Canada,193,220,2001-02,23.2054794520548,"Boston Bruins 
                                                                    “A”",NHL,66,22,46,68,127,7
3670,Joe Thornton,C,L,Boston Bruins,1997,1,1,1979,07,02,CAN,ON,St. Thomas,Canada,193,220,2002-03,24.2054794520548,"Boston Bruins 
                                                                    “C”",NHL,77,36,65,101,109,12
3671,Patrick Marleau,C/LW,L,San Jose Sharks,1997,1,2,1979,09,15,CAN,SK,Swift Current,Canada,188,218,1995-96,17,Seattle Thunderbirds,WHL,72,32,42,74,22,""
3671,Patrick Marleau,C/LW,L,San Jose Sharks,1997,1,2,1979,09,15,CAN,SK,Swift Current,Canada,188,218,1995-96,17,Canada Western U17,WHC-17,-,-,-,-,-,""
3671,Patrick Marleau,C/LW,L,San Jose Sharks,1997,1,2,1979,09,15,CAN,SK,Swift Current,Canada,188,218,1996-97,18,Seattle Thunderbirds,WHL,71,51,74,125,37,14
3671,Patrick Marleau,C/LW,L,San Jose Sharks,1997,1,2,1979,09,15,CAN,SK,Swift Current,Canada,188,218,1997-98,19,San Jose Sharks,NHL,74,13,19,32,14,5
3671,Patrick Marleau,C/LW,L,San Jose Sharks,1997,1,2,1979,09,15,CAN,SK,Swift Current,Canada,188,218,1998-99,20,San Jose Sharks,NHL,81,21,24,45,24,10
3671,Patrick Marleau,C/LW,L,San Jose Sharks,1997,1,2,1979,09,15,CAN,SK,Swift Current,Canada,188,218,1998-99,20,Canada,WC,7,1,2,3,0,0
3671,Patrick Marleau,C/LW,L,San Jose Sharks,1997,1,2,1979,09,15,CAN,SK,Swift Current,Canada,188,218,1999-00,21,San Jose Sharks,NHL,81,17,23,40,36,-9
3671,Patrick Marleau,C/LW,L,San Jose Sharks,1997,1,2,1979,09,15,CAN,SK,Swift Current,Canada,188,218,2000-01,22,San Jose Sharks,NHL,81,25,27,52,22,7
3671,Patrick Marleau,C/LW,L,San Jose Sharks,1997,1,2,1979,09,15,CAN,SK,Swift Current,Canada,188,218,2000-01,22,Canada,WC,7,2,3,5,4,0
3671,Patrick Marleau,C/LW,L,San Jose Sharks,1997,1,2,1979,09,15,CAN,SK,Swift Current,Canada,188,218,2001-02,23,San Jose Sharks,NHL,79,21,23,44,40,9
3671,Patrick Marleau,C/LW,L,San Jose Sharks,1997,1,2,1979,09,15,CAN,SK,Swift Current,Canada,188,218,2002-03,24,"San Jose Sharks 
                                                                    “A”",NHL,82,28,29,57,33,-10
3671,Patrick Marleau,C/LW,L,San Jose Sharks,1997,1,2,1979,09,15,CAN,SK,Swift Current,Canada,188,218,2002-03,24,Canada,WC,9,0,4,4,4,11
3671,Patrick Marleau,C/LW,L,San Jose Sharks,1997,1,2,1979,09,15,CAN,SK,Swift Current,Canada,188,218,2003-04,25,"San Jose Sharks 
                                                                    “C”",NHL,80,28,29,57,24,-5
2679,Olli Jokinen,C,L,Los Angeles Kings,1997,1,3,1978,12,05,FIN,,Kuopio,Finland,189,209,1995-96,17.7780821917808,KalPa U18,Jr. B SM-sarja,9,9,13,22,4,""
2679,Olli Jokinen,C,L,Los Angeles Kings,1997,1,3,1978,12,05,FIN,,Kuopio,Finland,189,209,1995-96,17.7780821917808,KalPa U20,Jr. A SM-liiga,25,20,14,34,47,25
2679,Olli Jokinen,C,L,Los Angeles Kings,1997,1,3,1978,12,05,FIN,,Kuopio,Finland,189,209,1995-96,17.7780821917808,KalPa,Liiga,15,1,1,2,2,-7
2679,Olli Jokinen,C,L,Los Angeles Kings,1997,1,3,1978,12,05,FIN,,Kuopio,Finland,189,209,1995-96,17.7780821917808,Finland U18,EJC-18,5,5,2,7,2,5
2679,Olli Jokinen,C,L,Los Angeles Kings,1997,1,3,1978,12,05,FIN,,Kuopio,Finland,189,209,1995-96,17.7780821917808,Finland U18 (all),International-Jr,17,10,13,23,45,""
2679,Olli Jokinen,C,L,Los Angeles Kings,1997,1,3,1978,12,05,FIN,,Kuopio,Finland,189,209,1996-97,18.7780821917808,HIFK U20,Jr. A SM-liiga,2,1,0,1,6,""
2679,Olli Jokinen,C,L,Los Angeles Kings,1997,1,3,1978,12,05,FIN,,Kuopio,Finland,189,209,1996-97,18.7780821917808,HIFK,Liiga,50,14,27,41,88,14
2679,Olli Jokinen,C,L,Los Angeles Kings,1997,1,3,1978,12,05,FIN,,Kuopio,Finland,189,209,1996-97,18.7780821917808,Finland U20,WJC-20,6,5,0,5,12,""
2679,Olli Jokinen,C,L,Los Angeles Kings,1997,1,3,1978,12,05,FIN,,Kuopio,Finland,189,209,1996-97,18.7780821917808,Finland U20 (all),International-Jr,15,7,4,11,22,""
2679,Olli Jokinen,C,L,Los Angeles Kings,1997,1,3,1978,12,05,FIN,,Kuopio,Finland,189,209,1996-97,18.7780821917808,Finland,WC,8,4,2,6,6,3
2679,Olli Jokinen,C,L,Los Angeles Kings,1997,1,3,1978,12,05,FIN,,Kuopio,Finland,189,209,1997-98,19.7780821917808,Los Angeles Kings,NHL,8,0,0,0,6,-5
2679,Olli Jokinen,C,L,Los Angeles Kings,1997,1,3,1978,12,05,FIN,,Kuopio,Finland,189,209,1997-98,19.7780821917808,HIFK,Liiga,30,11,28,39,32,27
2679,Olli Jokinen,C,L,Los Angeles Kings,1997,1,3,1978,12,05,FIN,,Kuopio,Finland,189,209,1997-98,19.7780821917808,"Finland U20 
                                                                    “A”",WJC-20,7,4,6,10,6,4
2679,Olli Jokinen,C,L,Los Angeles Kings,1997,1,3,1978,12,05,FIN,,Kuopio,Finland,189,209,1997-98,19.7780821917808,Finland U20 (all),International-Jr,9,5,6,11,12,""
2679,Olli Jokinen,C,L,Los Angeles Kings,1997,1,3,1978,12,05,FIN,,Kuopio,Finland,189,209,1997-98,19.7780821917808,Finland,WC,10,0,1,1,6,0
2679,Olli Jokinen,C,L,Los Angeles Kings,1997,1,3,1978,12,05,FIN,,Kuopio,Finland,189,209,1997-98,19.7780821917808,Finland (all),International,15,1,2,3,39,""
2679,Olli Jokinen,C,L,Los Angeles Kings,1997,1,3,1978,12,05,FIN,,Kuopio,Finland,189,209,1998-99,20.7780821917808,Los Angeles Kings,NHL,66,9,12,21,44,-10
2679,Olli Jokinen,C,L,Los Angeles Kings,1997,1,3,1978,12,05,FIN,,Kuopio,Finland,189,209,1998-99,20.7780821917808,Springfield Falcons,AHL,9,3,6,9,6,-1
2679,Olli Jokinen,C,L,Los Angeles Kings,1997,1,3,1978,12,05,FIN,,Kuopio,Finland,189,209,1998-99,20.7780821917808,Finland,WC,12,3,1,4,14,1
2679,Olli Jokinen,C,L,Los Angeles Kings,1997,1,3,1978,12,05,FIN,,Kuopio,Finland,189,209,1999-00,21.7780821917808,New York Islanders,NHL,82,11,10,21,80,0
