ID,Name,Position,Shoots,Drafted_Team,Round,Draft_Pick,Draft_Year,Birth_Year,Birth_Month,Birth_Day,Birth_Country,Birth_State,Birth_City,Country,Height,Weight,Season,Age,Team,League,GP,G,A,TP,PIM,+/-
19919,Mats Rönnberg,LD,L,,,,,1970,03,11,SWE,,Kalix,Sweden,176,181,1987-88,18.5150684931507,Kalix HF,Division 2,5,0,1,1,-,""
19919,Mats Rönnberg,LD,L,,,,,1970,03,11,SWE,,Kalix,Sweden,176,181,1988-89,19.5150684931507,Kalix HF,Division 2,8,3,2,5,-,""
19919,Mats Rönnberg,LD,L,,,,,1970,03,11,SWE,,Kalix,Sweden,176,181,1989-90,20.5150684931507,Kalix HF,Division 2,22,6,9,15,6,""
19919,Mats Rönnberg,LD,L,,,,,1970,03,11,SWE,,Kalix,Sweden,176,181,1990-91,21.5150684931507,Kalix HF,Division 2,22,6,4,10,13,""
19919,Mats Rönnberg,LD,L,,,,,1970,03,11,SWE,,Kalix,Sweden,176,181,1991-92,22.5150684931507,Kalix HF,Division 2,13,1,0,1,0,""
19919,Mats Rönnberg,LD,L,,,,,1970,03,11,SWE,,Kalix,Sweden,176,181,1992-93,23.5150684931507,Kalix HF,Division 2,27,2,10,12,10,""
19919,Mats Rönnberg,LD,L,,,,,1970,03,11,SWE,,Kalix,Sweden,176,181,1993-94,24.5150684931507,Gothia HC,Division 3,-,-,-,-,-,""
332721,Peter Crozzoli,LD,L,,,,,1971,05,18,,,,Sweden,187,198,1989-90,19.3287671232877,Mariestad BoIS,Division 1,16,1,1,2,8,""
332721,Peter Crozzoli,LD,L,,,,,1971,05,18,,,,Sweden,187,198,1990-91,20.3287671232877,Mariestad BoIS,Division 2,24,5,5,10,68,""
332721,Peter Crozzoli,LD,L,,,,,1971,05,18,,,,Sweden,187,198,1992-93,22.3287671232877,Mariestad BoIS,Division 2,35,8,7,15,82,""
332721,Peter Crozzoli,LD,L,,,,,1971,05,18,,,,Sweden,187,198,1993-94,23.3287671232877,Mariestad BoIS,Division 2,29,3,6,9,32,""
332721,Peter Crozzoli,LD,L,,,,,1971,05,18,,,,Sweden,187,198,1994-95,24.3287671232877,Mariestad BoIS,Division 1,13,0,0,0,6,""
