ID,Name,Position,Shoots,Drafted_Team,Round,Draft_Pick,Draft_Year,Birth_Year,Birth_Month,Birth_Day,Birth_Country,Birth_State,Birth_City,Country,Height,Weight,Season,Age,Team,League,GP,G,A,TP,PIM,+/-
508634,Joe Martin,F,R,,,,,2000,06,10,USA,WI,Hudson,USA,188,201,2016-17,17.2657534246575,Hudson High,USHS-WI,16,0,0,0,6,""
508634,Joe Martin,F,R,,,,,2000,06,10,USA,WI,Hudson,USA,188,201,2017-18,18.2657534246575,Hudson Havoc,USPHL Premier,13,1,1,2,11,""
508634,Joe Martin,F,R,,,,,2000,06,10,USA,WI,Hudson,USA,188,201,2017-18,18.2657534246575,Hudson High,USHS-WI,21,0,8,8,2,""
508634,Joe Martin,F,R,,,,,2000,06,10,USA,WI,Hudson,USA,188,201,2018-19,19.2657534246575,95 Giants U18,ECEL U18,13,4,3,7,0,""
508634,Joe Martin,F,R,,,,,2000,06,10,USA,WI,Hudson,USA,188,201,2018-19,19.2657534246575,Northeast Generals,NA3HL,1,0,0,0,0,0
574547,Zach Grigg,D,,,,,,2002,04,27,USA,WI,,USA,,,2018-19,17.386301369863,Evansville Jr. Thunderbolts,NA3HL,3,0,1,1,2,-12
574547,Zach Grigg,D,,,,,,2002,04,27,USA,WI,,USA,,,2018-19,17.386301369863,Tomahawk High,USHS-WI,19,2,3,5,4,""
274483,Andrew Gebhardt,F,R,,,,,1999,11,02,USA,WI,Mequon,USA,180,161,2016-17,17.8684931506849,Milwaukee Jr. Admirals U18,T1EHL U18,31,5,13,18,10,""
274483,Andrew Gebhardt,F,R,,,,,1999,11,02,USA,WI,Mequon,USA,180,161,2017-18,18.8684931506849,Homestead High,USHS-WI,23,30,37,67,14,""
274483,Andrew Gebhardt,F,R,,,,,1999,11,02,USA,WI,Mequon,USA,180,161,2018-19,19.8684931506849,Wake Forest Univ.,ACHA II,17,20,9,29,16,0
336968,Peyton Hart,F,L,,,,,2001,05,29,USA,WI,Delafield,USA,188,190,2017-18,17.2986301369863,KM/Mukwonago High,USHS-WI,23,25,10,35,34,""
336968,Peyton Hart,F,L,,,,,2001,05,29,USA,WI,Delafield,USA,188,190,2018-19,18.2986301369863,Rochester Grizzlies,NA3HL,46,14,22,36,14,22
336968,Peyton Hart,F,L,,,,,2001,05,29,USA,WI,Delafield,USA,188,190,2019-20,19.2986301369863,Rochester Grizzlies,NA3HL,2,0,2,2,0,1
332220,Boris Kacer,LW,,,,,,1999,09,25,SVK,,Trstena,Slovakia,180,181,2016-17,17.972602739726,HK Nitra U18,Slovakia U18,34,2,8,10,14,-1
332220,Boris Kacer,LW,,,,,,1999,09,25,SVK,,Trstena,Slovakia,180,181,2017-18,18.972602739726,Onalaska High,USHS-WI,24,14,21,35,27,""
633147,Mason Manglitz,F,L,,,,,2002,08,02,USA,WI,Onalaska,USA,173,154,2019-20,18.1205479452055,Coulee Region Chill,NA3HL,-,-,-,-,-,""
633273,Toivo Kivimaa,F,L,,,,,2000,09,13,,,,Finland,,,2017-18,18.0054794520548,Chequamegon/Phillips High,USHS-WI,22,11,15,26,10,""
633273,Toivo Kivimaa,F,L,,,,,2000,09,13,,,,Finland,,,2018-19,19.0054794520548,Kiekko-Ahma U18,Jr. B Suomi-sarja Q,3,1,2,3,4,""
633273,Toivo Kivimaa,F,L,,,,,2000,09,13,,,,Finland,,,2018-19,19.0054794520548,Kiekko-Ahma U18,Jr. B Alueliiga,4,1,0,1,4,""
633273,Toivo Kivimaa,F,L,,,,,2000,09,13,,,,Finland,,,2018-19,19.0054794520548,Kiekko-Ahma U20,Jr. A Aluesarja,10,3,5,8,2,""
473316,Matej Palfy,LD,L,,,,,2001,03,26,SVK,,Kosice,Slovakia,203,220,2017-18,17.4739726027397,Ashwaubenon High,USHS-WI,24,4,22,26,40,""
473316,Matej Palfy,LD,L,,,,,2001,03,26,SVK,,Kosice,Slovakia,203,220,2018-19,18.4739726027397,Texas Jr. Brahmas,NA3HL,46,12,18,30,26,35
473316,Matej Palfy,LD,L,,,,,2001,03,26,SVK,,Kosice,Slovakia,203,220,2019-20,19.4739726027397,Texas Jr. Brahmas,NA3HL,-,-,-,-,-,""
481423,Jacob Slater,F,R,,,,,2002,06,06,USA,WI,Milwaukee,USA,175,146,2018-19,17.2767123287671,Janesville Jets 16U,NAPHL 16U,4,0,0,0,2,""
481423,Jacob Slater,F,R,,,,,2002,06,06,USA,WI,Milwaukee,USA,175,146,2018-19,17.2767123287671,Marquette University High,USHS-WI,24,15,16,31,6,""
336960,Justin Rauser,F,,,,,,2001,06,05,USA,MI,Grand Rapids,USA,183,150,2017-18,17.2794520547945,KM/Mukwonago High,USHS-WI,23,11,13,24,2,""
336960,Justin Rauser,F,,,,,,2001,06,05,USA,MI,Grand Rapids,USA,183,150,2018-19,18.2794520547945,KM/Mukwonago High,USHS-WI,23,20,19,39,28,""
633517,Cade Janecke,F,,,,,,2002,09,05,,,,USA,,,2018-19,17.027397260274,Madison Capitols 16U,NAPHL 16U,13,0,2,2,2,""
271938,Matej Soukup,F,L,,,,,1999,11,21,,,,Czech Rep.,183,174,2017-18,18.8164383561644,De Pere High,USHS-WI,24,8,7,15,6,""
325214,Benjamin Brekke,D,,,,,,2000,06,20,,,,USA,,,2016-17,17.2383561643836,Milwaukee Jr. Admirals U16,T1EHL U16,31,2,1,3,84,""
325214,Benjamin Brekke,D,,,,,,2000,06,20,,,,USA,,,2017-18,18.2383561643836,Cedarburg High,USHS-WI,18,8,5,13,59,""
417470,Jonny Hippen,F,L,,,,,2002,09,05,USA,WI,Middleton,USA,183,185,2018-19,17.027397260274,Madison Capitols 16U,NAPHL 16U,16,5,7,12,38,""
417470,Jonny Hippen,F,L,,,,,2002,09,05,USA,WI,Middleton,USA,183,185,2019-20,18.027397260274,Madison Capitols 18U,NAPHL 18U,-,-,-,-,-,""
633614,Ty Petzke,RD,R,,,,,2003,08,15,USA,WI,Sheboygan,USA,,,2019-20,17.0849315068493,Janesville Jets 16U,NAPHL 16U,-,-,-,-,-,""
344914,Martin Janku,F,,,,,,2000,06,29,,,,Czech Rep.,,,2016-17,17.213698630137,SG Jonsdorf/Niesky U19,Germany U19 3,6,3,3,6,12,""
344914,Martin Janku,F,,,,,,2000,06,29,,,,Czech Rep.,,,2017-18,18.213698630137,Sheboygan High,USHS-WI,24,5,8,13,14,""
