ID,Name,Position,Shoots,Drafted_Team,Draft_Year,Round,Draft_Pick,Birth_Year,Birth_Month,Birth_Day,Birth_Country,Birth_State,Birth_City,Country,Height,Weight,Season,Age,Team,League,GP,G,A,TP,PIM,+/-
3666,Patrik Stefan,C,L,Atlanta Thrashers,1999,1,1,1980,11,16,CZE,,Pribram,Czech Rep.,188,192,1997-98,17.8328767123288,HC Sparta Praha,Czech,26,2,6,8,16,1
3666,Patrik Stefan,C,L,Atlanta Thrashers,1999,1,1,1980,11,16,CZE,,Pribram,Czech Rep.,188,192,1997-98,17.8328767123288,Long Beach Ice Dogs,IHL,25,5,10,15,10,8
3666,Patrik Stefan,C,L,Atlanta Thrashers,1999,1,1,1980,11,16,CZE,,Pribram,Czech Rep.,188,192,1997-98,17.8328767123288,Czech Republic U20,WJC-20,7,1,1,2,4,-5
3666,Patrik Stefan,C,L,Atlanta Thrashers,1999,1,1,1980,11,16,CZE,,Pribram,Czech Rep.,188,192,1998-99,18.8328767123288,Long Beach Ice Dogs,IHL,33,11,24,35,26,8
3666,Patrik Stefan,C,L,Atlanta Thrashers,1999,1,1,1980,11,16,CZE,,Pribram,Czech Rep.,188,192,1999-00,19.8328767123288,Atlanta Thrashers,NHL,72,5,20,25,30,-20
3666,Patrik Stefan,C,L,Atlanta Thrashers,1999,1,1,1980,11,16,CZE,,Pribram,Czech Rep.,188,192,2000-01,20.8328767123288,Atlanta Thrashers,NHL,66,10,21,31,22,-3
3666,Patrik Stefan,C,L,Atlanta Thrashers,1999,1,1,1980,11,16,CZE,,Pribram,Czech Rep.,188,192,2001-02,21.8328767123288,Atlanta Thrashers,NHL,59,7,16,23,22,-4
3666,Patrik Stefan,C,L,Atlanta Thrashers,1999,1,1,1980,11,16,CZE,,Pribram,Czech Rep.,188,192,2001-02,21.8328767123288,Chicago Wolves,AHL,5,3,0,3,0,3
3666,Patrik Stefan,C,L,Atlanta Thrashers,1999,1,1,1980,11,16,CZE,,Pribram,Czech Rep.,188,192,2002-03,22.8328767123288,Atlanta Thrashers,NHL,71,13,21,34,12,-10
3666,Patrik Stefan,C,L,Atlanta Thrashers,1999,1,1,1980,11,16,CZE,,Pribram,Czech Rep.,188,192,2003-04,23.8328767123288,"Atlanta Thrashers 
                                                                    “A”",NHL,82,14,26,40,26,-7
3666,Patrik Stefan,C,L,Atlanta Thrashers,1999,1,1,1980,11,16,CZE,,Pribram,Czech Rep.,188,192,2004-05,24.8328767123288,Ilves,Liiga,37,13,28,41,47,13
