ID,Name,Position,Shoots,Drafted_Team,Draft_Year,Round,Draft_Pick,Birth_Year,Birth_Month,Birth_Day,Birth_Country,Birth_State,Birth_City,Country,Height,Weight,Season,Age,Team,League,GP,G,A,TP,PIM,+/-
6146,Sidney Crosby,C,L,Pittsburgh Penguins,2005,1,1,1987,08,07,CAN,NS,Cole Harbour,Canada,180,201,2003-04,17.1068493150685,Rimouski OcÃ©anic,QMJHL,59,54,81,135,74,49
6146,Sidney Crosby,C,L,Pittsburgh Penguins,2005,1,1,1987,08,07,CAN,NS,Cole Harbour,Canada,180,201,2003-04,17.1068493150685,Canada U20,WJC-20,6,2,3,5,4,4
6146,Sidney Crosby,C,L,Pittsburgh Penguins,2005,1,1,1987,08,07,CAN,NS,Cole Harbour,Canada,180,201,2004-05,18.1068493150685,"Rimouski OcÃ©anic 
                                                                    “A”",QMJHL,62,66,102,168,84,78
6146,Sidney Crosby,C,L,Pittsburgh Penguins,2005,1,1,1987,08,07,CAN,NS,Cole Harbour,Canada,180,201,2004-05,18.1068493150685,Canada U20,WJC-20,6,6,3,9,4,4
6146,Sidney Crosby,C,L,Pittsburgh Penguins,2005,1,1,1987,08,07,CAN,NS,Cole Harbour,Canada,180,201,2005-06,19.1068493150685,"Pittsburgh Penguins 
                                                                    “A”",NHL,81,39,63,102,110,-1
6146,Sidney Crosby,C,L,Pittsburgh Penguins,2005,1,1,1987,08,07,CAN,NS,Cole Harbour,Canada,180,201,2005-06,19.1068493150685,"Canada 
                                                                    “A”",WC,9,8,8,16,10,7
6146,Sidney Crosby,C,L,Pittsburgh Penguins,2005,1,1,1987,08,07,CAN,NS,Cole Harbour,Canada,180,201,2006-07,20.1068493150685,"Pittsburgh Penguins 
                                                                    “A”",NHL,79,36,84,120,60,10
6146,Sidney Crosby,C,L,Pittsburgh Penguins,2005,1,1,1987,08,07,CAN,NS,Cole Harbour,Canada,180,201,2007-08,21.1068493150685,"Pittsburgh Penguins 
                                                                    “C”",NHL,53,24,48,72,39,18
6146,Sidney Crosby,C,L,Pittsburgh Penguins,2005,1,1,1987,08,07,CAN,NS,Cole Harbour,Canada,180,201,2008-09,22.1068493150685,"Pittsburgh Penguins 
                                                                    “C”",NHL,77,33,70,103,76,3
6146,Sidney Crosby,C,L,Pittsburgh Penguins,2005,1,1,1987,08,07,CAN,NS,Cole Harbour,Canada,180,201,2009-10,23.1068493150685,"Pittsburgh Penguins 
                                                                    “C”",NHL,81,51,58,109,71,15
