ID,Name,Position,Shoots,Drafted_Team,Draft_Year,Round,Draft_Pick,Birth_Year,Birth_Month,Birth_Day,Birth_Country,Birth_State,Birth_City,Country,Height,Weight,Season,Age,Team,League,GP,G,A,TP,PIM,+/-
25636,Ryan Nugent-Hopkins,C/LW,L,Edmonton Oilers,2011,1,1,1993,04,12,CAN,BC,Burnaby,Canada,184,183,2009-10,17.427397260274,Red Deer Rebels,WHL,67,24,41,65,28,-4
25636,Ryan Nugent-Hopkins,C/LW,L,Edmonton Oilers,2011,1,1,1993,04,12,CAN,BC,Burnaby,Canada,184,183,2009-10,17.427397260274,Canada Pacific U17,WHC-17,5,1,4,5,6,""
25636,Ryan Nugent-Hopkins,C/LW,L,Edmonton Oilers,2011,1,1,1993,04,12,CAN,BC,Burnaby,Canada,184,183,2010-11,18.427397260274,Red Deer Rebels,WHL,69,31,75,106,51,30
25636,Ryan Nugent-Hopkins,C/LW,L,Edmonton Oilers,2011,1,1,1993,04,12,CAN,BC,Burnaby,Canada,184,183,2011-12,19.427397260274,Edmonton Oilers,NHL,62,18,34,52,16,-2
25636,Ryan Nugent-Hopkins,C/LW,L,Edmonton Oilers,2011,1,1,1993,04,12,CAN,BC,Burnaby,Canada,184,183,2011-12,19.427397260274,Canada,WC,8,4,2,6,4,2
25636,Ryan Nugent-Hopkins,C/LW,L,Edmonton Oilers,2011,1,1,1993,04,12,CAN,BC,Burnaby,Canada,184,183,2012-13,20.427397260274,Edmonton Oilers,NHL,40,4,20,24,8,3
25636,Ryan Nugent-Hopkins,C/LW,L,Edmonton Oilers,2011,1,1,1993,04,12,CAN,BC,Burnaby,Canada,184,183,2012-13,20.427397260274,Oklahoma City Barons,AHL,19,8,12,20,6,7
25636,Ryan Nugent-Hopkins,C/LW,L,Edmonton Oilers,2011,1,1,1993,04,12,CAN,BC,Burnaby,Canada,184,183,2012-13,20.427397260274,"Canada U20 
                                                                    “C”",WJC-20,6,4,11,15,4,6
25636,Ryan Nugent-Hopkins,C/LW,L,Edmonton Oilers,2011,1,1,1993,04,12,CAN,BC,Burnaby,Canada,184,183,2013-14,21.427397260274,"Edmonton Oilers 
                                                                    “A”",NHL,80,19,37,56,26,-12
25636,Ryan Nugent-Hopkins,C/LW,L,Edmonton Oilers,2011,1,1,1993,04,12,CAN,BC,Burnaby,Canada,184,183,2014-15,22.427397260274,Edmonton Oilers,NHL,76,24,32,56,25,-12
25636,Ryan Nugent-Hopkins,C/LW,L,Edmonton Oilers,2011,1,1,1993,04,12,CAN,BC,Burnaby,Canada,184,183,2015-16,23.427397260274,"Edmonton Oilers 
                                                                    “A”",NHL,55,12,22,34,18,-9
25636,Ryan Nugent-Hopkins,C/LW,L,Edmonton Oilers,2011,1,1,1993,04,12,CAN,BC,Burnaby,Canada,184,183,2016-17,24.427397260274,"Edmonton Oilers 
                                                                    “A”",NHL,82,18,25,43,29,-10
25636,Ryan Nugent-Hopkins,C/LW,L,Edmonton Oilers,2011,1,1,1993,04,12,CAN,BC,Burnaby,Canada,184,183,2016-17,24.427397260274,Team North America,WCup,3,1,2,3,2,1
10393,Gabriel Landeskog,LW,L,Colorado Avalanche,2011,1,2,1992,11,23,SWE,,Stockholm,Sweden,184,216,2009-10,17.813698630137,Kitchener Rangers,OHL,61,24,22,46,51,0
10393,Gabriel Landeskog,LW,L,Colorado Avalanche,2011,1,2,1992,11,23,SWE,,Stockholm,Sweden,184,216,2009-10,17.813698630137,Sweden U18 (all),International-Jr,4,4,3,7,41,""
10393,Gabriel Landeskog,LW,L,Colorado Avalanche,2011,1,2,1992,11,23,SWE,,Stockholm,Sweden,184,216,2009-10,17.813698630137,Sweden U20 (all),International-Jr,3,0,1,1,6,""
10393,Gabriel Landeskog,LW,L,Colorado Avalanche,2011,1,2,1992,11,23,SWE,,Stockholm,Sweden,184,216,2010-11,18.813698630137,"Kitchener Rangers 
                                                                    “C”",OHL,53,36,30,66,61,27
10393,Gabriel Landeskog,LW,L,Colorado Avalanche,2011,1,2,1992,11,23,SWE,,Stockholm,Sweden,184,216,2010-11,18.813698630137,"Sweden U20 
                                                                    “A”",WJC-20,1,1,1,2,0,3
10393,Gabriel Landeskog,LW,L,Colorado Avalanche,2011,1,2,1992,11,23,SWE,,Stockholm,Sweden,184,216,2010-11,18.813698630137,"Sweden U20 (all) 
                                                                    “A”",International-Jr,6,1,3,4,6,""
10393,Gabriel Landeskog,LW,L,Colorado Avalanche,2011,1,2,1992,11,23,SWE,,Stockholm,Sweden,184,216,2011-12,19.813698630137,Colorado Avalanche,NHL,82,22,30,52,51,20
10393,Gabriel Landeskog,LW,L,Colorado Avalanche,2011,1,2,1992,11,23,SWE,,Stockholm,Sweden,184,216,2011-12,19.813698630137,"Sweden 
                                                                    “A”",WC,8,1,4,5,6,3
10393,Gabriel Landeskog,LW,L,Colorado Avalanche,2011,1,2,1992,11,23,SWE,,Stockholm,Sweden,184,216,2011-12,19.813698630137,Sweden (all),International,10,1,4,5,8,3
10393,Gabriel Landeskog,LW,L,Colorado Avalanche,2011,1,2,1992,11,23,SWE,,Stockholm,Sweden,184,216,2012-13,20.813698630137,DjurgÃ¥rdens IF,Allsvenskan,17,6,8,14,32,-1
10393,Gabriel Landeskog,LW,L,Colorado Avalanche,2011,1,2,1992,11,23,SWE,,Stockholm,Sweden,184,216,2012-13,20.813698630137,"Colorado Avalanche 
                                                                    “C”",NHL,36,9,8,17,22,-4
10393,Gabriel Landeskog,LW,L,Colorado Avalanche,2011,1,2,1992,11,23,SWE,,Stockholm,Sweden,184,216,2012-13,20.813698630137,Sweden,WC,10,3,1,4,18,4
10393,Gabriel Landeskog,LW,L,Colorado Avalanche,2011,1,2,1992,11,23,SWE,,Stockholm,Sweden,184,216,2012-13,20.813698630137,Sweden (all),International,12,3,1,4,18,3
10393,Gabriel Landeskog,LW,L,Colorado Avalanche,2011,1,2,1992,11,23,SWE,,Stockholm,Sweden,184,216,2013-14,21.813698630137,"Colorado Avalanche 
                                                                    “C”",NHL,81,26,39,65,71,21
10393,Gabriel Landeskog,LW,L,Colorado Avalanche,2011,1,2,1992,11,23,SWE,,Stockholm,Sweden,184,216,2013-14,21.813698630137,"Sweden 
                                                                    “A”",OG,6,0,1,1,4,1
10393,Gabriel Landeskog,LW,L,Colorado Avalanche,2011,1,2,1992,11,23,SWE,,Stockholm,Sweden,184,216,2013-14,21.813698630137,Sweden (all),International,6,0,1,1,4,1
10393,Gabriel Landeskog,LW,L,Colorado Avalanche,2011,1,2,1992,11,23,SWE,,Stockholm,Sweden,184,216,2014-15,22.813698630137,"Colorado Avalanche 
                                                                    “C”",NHL,82,23,36,59,79,-2
10393,Gabriel Landeskog,LW,L,Colorado Avalanche,2011,1,2,1992,11,23,SWE,,Stockholm,Sweden,184,216,2015-16,23.813698630137,"Colorado Avalanche 
                                                                    “C”",NHL,75,20,33,53,69,-5
10393,Gabriel Landeskog,LW,L,Colorado Avalanche,2011,1,2,1992,11,23,SWE,,Stockholm,Sweden,184,216,2016-17,24.813698630137,"Colorado Avalanche 
                                                                    “C”",NHL,72,18,15,33,62,-25
10393,Gabriel Landeskog,LW,L,Colorado Avalanche,2011,1,2,1992,11,23,SWE,,Stockholm,Sweden,184,216,2016-17,24.813698630137,Sweden,WCup,4,1,0,1,2,-1
10393,Gabriel Landeskog,LW,L,Colorado Avalanche,2011,1,2,1992,11,23,SWE,,Stockholm,Sweden,184,216,2016-17,24.813698630137,"Sweden 
                                                                    “A”",WC,10,2,3,5,2,7
10393,Gabriel Landeskog,LW,L,Colorado Avalanche,2011,1,2,1992,11,23,SWE,,Stockholm,Sweden,184,216,2016-17,24.813698630137,Sweden (all),International,17,5,5,10,14,4
45261,Jonathan Huberdeau,LW,L,Florida Panthers,2011,1,3,1993,06,04,CAN,QC,St-Jérôme,Canada,185,187,2009-10,17.2821917808219,Saint John Sea Dogs,QMJHL,61,15,20,35,43,28
45261,Jonathan Huberdeau,LW,L,Florida Panthers,2011,1,3,1993,06,04,CAN,QC,St-Jérôme,Canada,185,187,2009-10,17.2821917808219,Canada QuÃ©bec U17,WHC-17,5,2,1,3,4,""
45261,Jonathan Huberdeau,LW,L,Florida Panthers,2011,1,3,1993,06,04,CAN,QC,St-Jérôme,Canada,185,187,2010-11,18.2821917808219,Saint John Sea Dogs,QMJHL,67,43,62,105,88,59
45261,Jonathan Huberdeau,LW,L,Florida Panthers,2011,1,3,1993,06,04,CAN,QC,St-Jérôme,Canada,185,187,2011-12,19.2821917808219,"Saint John Sea Dogs 
                                                                    “C”",QMJHL,37,30,42,72,50,53
45261,Jonathan Huberdeau,LW,L,Florida Panthers,2011,1,3,1993,06,04,CAN,QC,St-Jérôme,Canada,185,187,2011-12,19.2821917808219,Canada U20,WJC-20,6,1,8,9,16,8
45261,Jonathan Huberdeau,LW,L,Florida Panthers,2011,1,3,1993,06,04,CAN,QC,St-Jérôme,Canada,185,187,2012-13,20.2821917808219,"Saint John Sea Dogs 
                                                                    “C”",QMJHL,30,16,29,45,48,-1
45261,Jonathan Huberdeau,LW,L,Florida Panthers,2011,1,3,1993,06,04,CAN,QC,St-Jérôme,Canada,185,187,2012-13,20.2821917808219,Florida Panthers,NHL,48,14,17,31,18,-15
45261,Jonathan Huberdeau,LW,L,Florida Panthers,2011,1,3,1993,06,04,CAN,QC,St-Jérôme,Canada,185,187,2012-13,20.2821917808219,"Canada U20 
                                                                    “A”",WJC-20,6,3,6,9,4,0
45261,Jonathan Huberdeau,LW,L,Florida Panthers,2011,1,3,1993,06,04,CAN,QC,St-Jérôme,Canada,185,187,2013-14,21.2821917808219,Florida Panthers,NHL,69,9,19,28,37,-5
45261,Jonathan Huberdeau,LW,L,Florida Panthers,2011,1,3,1993,06,04,CAN,QC,St-Jérôme,Canada,185,187,2013-14,21.2821917808219,Canada,WC,8,1,4,5,2,5
45261,Jonathan Huberdeau,LW,L,Florida Panthers,2011,1,3,1993,06,04,CAN,QC,St-Jérôme,Canada,185,187,2014-15,22.2821917808219,Florida Panthers,NHL,79,15,39,54,38,10
45261,Jonathan Huberdeau,LW,L,Florida Panthers,2011,1,3,1993,06,04,CAN,QC,St-Jérôme,Canada,185,187,2015-16,23.2821917808219,Florida Panthers,NHL,76,20,39,59,43,17
45261,Jonathan Huberdeau,LW,L,Florida Panthers,2011,1,3,1993,06,04,CAN,QC,St-Jérôme,Canada,185,187,2016-17,24.2821917808219,Florida Panthers,NHL,31,10,16,26,13,-2
10713,Adam Larsson,RD,R,New Jersey Devils,2011,1,4,1992,11,12,SWE,,Skellefteå,Sweden,190,209,2009-10,17.8438356164384,SkellefteÃ¥ AIK J20,SuperElit,1,1,0,1,2,""
