ID,Name,Position,Shoots,Drafted_Team,Round,Draft_Pick,Draft_Year,Birth_Year,Birth_Month,Birth_Day,Birth_Country,Birth_State,Birth_City,Country,Height,Weight,Season,Age,Team,League,GP,G,A,TP,PIM,+/-
155960,Trevor Recktenwald,F,R,,,,,1994,11,04,USA,PA,Venetia,USA,188,196,2011-12,17.8630136986301,Pittsburgh Viper Stars 18U,NAPHL 18U,12,2,5,7,15,""
155960,Trevor Recktenwald,F,R,,,,,1994,11,04,USA,PA,Venetia,USA,188,196,2011-12,17.8630136986301,Peters Township High,USHS-PA,20,22,15,37,18,""
155960,Trevor Recktenwald,F,R,,,,,1994,11,04,USA,PA,Venetia,USA,188,196,2012-13,18.8630136986301,Pittsburgh Viper Stars 18U,NAPHL 18U,22,12,16,28,18,""
155960,Trevor Recktenwald,F,R,,,,,1994,11,04,USA,PA,Venetia,USA,188,196,2012-13,18.8630136986301,Peters Township High,USHS-PA,18,28,39,67,38,""
155960,Trevor Recktenwald,F,R,,,,,1994,11,04,USA,PA,Venetia,USA,188,196,2013-14,19.8630136986301,Johnstown Tomahawks,NAHL,50,10,11,21,49,2
155960,Trevor Recktenwald,F,R,,,,,1994,11,04,USA,PA,Venetia,USA,188,196,2014-15,20.8630136986301,Johnstown Tomahawks,NAHL,51,15,25,40,88,-2
155960,Trevor Recktenwald,F,R,,,,,1994,11,04,USA,PA,Venetia,USA,188,196,2015-16,21.8630136986301,Ferris State Univ.,NCAA,21,2,5,7,11,3
155960,Trevor Recktenwald,F,R,,,,,1994,11,04,USA,PA,Venetia,USA,188,196,2016-17,22.8630136986301,Ferris State Univ.,NCAA,25,4,2,6,20,-10
155960,Trevor Recktenwald,F,R,,,,,1994,11,04,USA,PA,Venetia,USA,188,196,2017-18,23.8630136986301,Ferris State Univ.,NCAA,37,3,7,10,16,-1
155960,Trevor Recktenwald,F,R,,,,,1994,11,04,USA,PA,Venetia,USA,188,196,2018-19,24.8630136986301,Ferris State Univ.,NCAA,32,2,2,4,26,-11
234415,Nathan Colwell,C,,,,,,1996,01,16,USA,CO,Denver,USA,188,174,2012-13,17.6630136986301,Colorado Thunderbirds U16,T1EHL U16,41,14,14,28,32,""
234415,Nathan Colwell,C,,,,,,1996,01,16,USA,CO,Denver,USA,188,174,2013-14,18.6630136986301,Kenai River Brown Bears,NAHL,49,9,12,21,40,-9
234415,Nathan Colwell,C,,,,,,1996,01,16,USA,CO,Denver,USA,188,174,2014-15,19.6630136986301,Kenai River Brown Bears,NAHL,4,1,1,2,10,-3
