ID,Name,Position,Shoots,Drafted_Team,Round,Draft_Pick,Draft_Year,Birth_Year,Birth_Month,Birth_Day,Birth_Country,Birth_State,Birth_City,Country,Height,Weight,Season,Age,Team,League,GP,G,A,TP,PIM,+/-
281808,Brennan Davis,D,,,,,,2000,06,30,CAN,AB,Camrose,Canada,183,176,2016-17,17.2109589041096,Camrose Kodiaks,AJHL,3,0,0,0,2,""
281808,Brennan Davis,D,,,,,,2000,06,30,CAN,AB,Camrose,Canada,183,176,2016-17,17.2109589041096,OHA Edmonton Prep,CSSHL,29,1,10,11,40,""
281808,Brennan Davis,D,,,,,,2000,06,30,CAN,AB,Camrose,Canada,183,176,2017-18,18.2109589041096,Camrose Kodiaks,AJHL,33,1,2,3,18,""
281808,Brennan Davis,D,,,,,,2000,06,30,CAN,AB,Camrose,Canada,183,176,2018-19,19.2109589041096,Camrose Kodiaks,AJHL,51,4,12,16,59,""
281808,Brennan Davis,D,,,,,,2000,06,30,CAN,AB,Camrose,Canada,183,176,2019-20,20.2109589041096,Camrose Kodiaks,AJHL,1,0,0,0,0,""
412397,Ryan McBeath,F,,,,,,2000,10,27,CAN,AB,Olds,Canada,175,194,2017-18,17.8876712328767,Red Deer Chiefs Midget AAA,AMHL,35,16,15,31,32,""
412397,Ryan McBeath,F,,,,,,2000,10,27,CAN,AB,Olds,Canada,175,194,2017-18,17.8876712328767,Drumheller Dragons,AJHL,2,2,1,3,2,""
245147,Ryan Markovic,LD,L,,,,,1997,05,10,CAN,ON,Mississauga,Canada,191,220,2013-14,17.3506849315068,Mississauga Rebels Midget AAA,GTHL,32,2,12,14,56,""
245147,Ryan Markovic,LD,L,,,,,1997,05,10,CAN,ON,Mississauga,Canada,191,220,2014-15,18.3506849315069,Oakville Blades,OJHL,27,1,7,8,42,""
245147,Ryan Markovic,LD,L,,,,,1997,05,10,CAN,ON,Mississauga,Canada,191,220,2014-15,18.3506849315069,Mississauga Chargers,OJHL,13,0,0,0,19,""
245147,Ryan Markovic,LD,L,,,,,1997,05,10,CAN,ON,Mississauga,Canada,191,220,2015-16,19.3506849315069,Mississauga Chargers,OJHL,13,1,4,5,60,""
245147,Ryan Markovic,LD,L,,,,,1997,05,10,CAN,ON,Mississauga,Canada,191,220,2015-16,19.3506849315069,Brockville Braves,CCHL,36,1,2,3,36,""
245147,Ryan Markovic,LD,L,,,,,1997,05,10,CAN,ON,Mississauga,Canada,191,220,2016-17,20.3506849315069,Surrey Eagles,BCHL,15,0,1,1,21,0
245147,Ryan Markovic,LD,L,,,,,1997,05,10,CAN,ON,Mississauga,Canada,191,220,2016-17,20.3506849315069,Whitecourt Wolverines,AJHL,3,0,0,0,4,""
245147,Ryan Markovic,LD,L,,,,,1997,05,10,CAN,ON,Mississauga,Canada,191,220,2016-17,20.3506849315069,Miramichi Timberwolves,MJAHL,21,1,6,7,16,""
257715,Marc Pasemko,F,,,,,,1999,04,06,CAN,AB,Edmonton,Canada,175,165,2015-16,17.4438356164384,CAC Edmonton Canadians Mdgt AAA,AMHL,33,10,8,18,8,""
257715,Marc Pasemko,F,,,,,,1999,04,06,CAN,AB,Edmonton,Canada,175,165,2016-17,18.4438356164384,Northern Alberta X-Treme Prep,CSSHL,26,15,22,37,34,""
257715,Marc Pasemko,F,,,,,,1999,04,06,CAN,AB,Edmonton,Canada,175,165,2016-17,18.4438356164384,Drayton Valley Thunder,AJHL,4,0,0,0,0,""
257715,Marc Pasemko,F,,,,,,1999,04,06,CAN,AB,Edmonton,Canada,175,165,2017-18,19.4438356164384,Okotoks Oilers,AJHL,56,9,27,36,33,""
257715,Marc Pasemko,F,,,,,,1999,04,06,CAN,AB,Edmonton,Canada,175,165,2018-19,20.4438356164384,"Okotoks Oilers 
                                                                    “A”",AJHL,59,14,32,46,30,""
257715,Marc Pasemko,F,,,,,,1999,04,06,CAN,AB,Edmonton,Canada,175,165,2019-20,21.4438356164384,"Okotoks Oilers 
                                                                    “A”",AJHL,2,0,3,3,2,""
282412,Luke Bast,LD,L,,,,,2000,11,20,CAN,AB,Red Deer,Canada,175,170,2017-18,17.8191780821918,Brooks Bandits,AJHL,57,8,23,31,40,""
282412,Luke Bast,LD,L,,,,,2000,11,20,CAN,AB,Red Deer,Canada,175,170,2018-19,18.8191780821918,Brooks Bandits,AJHL,45,7,28,35,40,""
282412,Luke Bast,LD,L,,,,,2000,11,20,CAN,AB,Red Deer,Canada,175,170,2019-20,19.8191780821918,Waterloo Black Hawks,USHL,-,-,-,-,-,""
282412,Luke Bast,LD,L,,,,,2000,11,20,CAN,AB,Red Deer,Canada,175,170,2020-21,20.8191780821918,Univ. of North Dakota,NCAA,-,-,-,-,-,""
281315,Sam Atkinson,LD,L,,,,,1999,06,27,CAN,AB,Calgary,Canada,173,150,2015-16,17.2191780821918,Calgary Buffaloes Midget AAA,AMHL,33,2,2,4,10,""
281315,Sam Atkinson,LD,L,,,,,1999,06,27,CAN,AB,Calgary,Canada,173,150,2016-17,18.2191780821918,Calgary Royals Midget AAA,AMHL,28,4,5,9,28,""
281315,Sam Atkinson,LD,L,,,,,1999,06,27,CAN,AB,Calgary,Canada,173,150,2016-17,18.2191780821918,Calgary Mustangs,AJHL,4,0,0,0,0,""
282392,Kaleb Ergang,RW,R,,,,,2000,12,31,CAN,AB,Spruce Grove,Canada,178,157,2017-18,17.7068493150685,Okotoks Oilers,AJHL,58,11,15,26,12,""
282392,Kaleb Ergang,RW,R,,,,,2000,12,31,CAN,AB,Spruce Grove,Canada,178,157,2018-19,18.7068493150685,Okotoks Oilers,AJHL,40,10,17,27,16,""
282392,Kaleb Ergang,RW,R,,,,,2000,12,31,CAN,AB,Spruce Grove,Canada,178,157,2019-20,19.7068493150685,Whitecourt Wolverines,AJHL,2,0,0,0,2,""
281896,Deklan Whillans,RW,R,,,,,1999,06,19,CAN,AB,Grande Prairie,Canada,188,174,2015-16,17.241095890411,Grande Prairie Storm Midget AAA,AMHL,30,8,7,15,12,""
281896,Deklan Whillans,RW,R,,,,,1999,06,19,CAN,AB,Grande Prairie,Canada,188,174,2016-17,18.241095890411,Grande Prairie Storm Midget AAA,AMHL,26,6,10,16,32,""
281896,Deklan Whillans,RW,R,,,,,1999,06,19,CAN,AB,Grande Prairie,Canada,188,174,2016-17,18.241095890411,Spruce Grove Saints,AJHL,4,0,0,0,2,""
281896,Deklan Whillans,RW,R,,,,,1999,06,19,CAN,AB,Grande Prairie,Canada,188,174,2017-18,19.241095890411,Sherwood Park Crusaders,AJHL,38,3,0,3,88,""
281896,Deklan Whillans,RW,R,,,,,1999,06,19,CAN,AB,Grande Prairie,Canada,188,174,2018-19,20.241095890411,Sherwood Park Crusaders,AJHL,5,0,0,0,20,""
281896,Deklan Whillans,RW,R,,,,,1999,06,19,CAN,AB,Grande Prairie,Canada,188,174,2018-19,20.241095890411,Camrose Kodiaks,AJHL,37,4,4,8,74,""
281896,Deklan Whillans,RW,R,,,,,1999,06,19,CAN,AB,Grande Prairie,Canada,188,174,2019-20,21.241095890411,Melfort Mustangs,SJHL,1,0,2,2,0,""
281711,Ryley Appelt,LW,L,,,,,2000,01,28,CAN,AB,Edmonton,Canada,191,201,2016-17,17.6301369863014,Northern Alberta X-Treme Prep,CSSHL,23,9,16,25,50,""
281711,Ryley Appelt,LW,L,,,,,2000,01,28,CAN,AB,Edmonton,Canada,191,201,2016-17,17.6301369863014,Kamloops Blazers,WHL,1,1,0,1,0,1
281711,Ryley Appelt,LW,L,,,,,2000,01,28,CAN,AB,Edmonton,Canada,191,201,2016-17,17.6301369863014,Bonnyville Pontiacs,AJHL,4,0,0,0,6,""
281711,Ryley Appelt,LW,L,,,,,2000,01,28,CAN,AB,Edmonton,Canada,191,201,2017-18,18.6301369863014,Kamloops Blazers,WHL,58,4,4,8,43,-7
281711,Ryley Appelt,LW,L,,,,,2000,01,28,CAN,AB,Edmonton,Canada,191,201,2018-19,19.6301369863014,Kamloops Blazers,WHL,54,5,5,10,56,-1
281711,Ryley Appelt,LW,L,,,,,2000,01,28,CAN,AB,Edmonton,Canada,191,201,2019-20,20.6301369863014,Kamloops Blazers,WHL,-,-,-,-,-,""
282467,Zach Huber,C,R,,,,,2000,02,01,CAN,AB,Millarville,Canada,183,192,2016-17,17.6191780821918,UFA Bisons Mdgt AAA,AMHL,33,19,16,35,47,""
282467,Zach Huber,C,R,,,,,2000,02,01,CAN,AB,Millarville,Canada,183,192,2016-17,17.6191780821918,Okotoks Oilers,AJHL,4,0,0,0,10,""
282467,Zach Huber,C,R,,,,,2000,02,01,CAN,AB,Millarville,Canada,183,192,2016-17,17.6191780821918,Calgary Hitmen,WHL,2,0,0,0,0,-1
282467,Zach Huber,C,R,,,,,2000,02,01,CAN,AB,Millarville,Canada,183,192,2017-18,18.6191780821918,Calgary Hitmen,WHL,56,2,3,5,24,-5
282467,Zach Huber,C,R,,,,,2000,02,01,CAN,AB,Millarville,Canada,183,192,2018-19,19.6191780821918,Calgary Hitmen,WHL,14,4,1,5,14,-3
282467,Zach Huber,C,R,,,,,2000,02,01,CAN,AB,Millarville,Canada,183,192,2018-19,19.6191780821918,Saskatoon Blades,WHL,47,4,2,6,37,-3
281737,Tyler Lowe,RD,R,,,,,2000,09,22,CAN,AB,Calgary,Canada,185,201,2017-18,17.9808219178082,"Lloydminster Bobcats 
                                                                    “A”",AJHL,48,0,8,8,69,""
281737,Tyler Lowe,RD,R,,,,,2000,09,22,CAN,AB,Calgary,Canada,185,201,2017-18,17.9808219178082,Prince Albert Raiders,WHL,1,0,0,0,0,0
281737,Tyler Lowe,RD,R,,,,,2000,09,22,CAN,AB,Calgary,Canada,185,201,2018-19,18.9808219178082,Lethbridge Hurricanes,WHL,1,0,0,0,0,0
282506,Jordan Biro,C,L,,,,,2000,08,10,CAN,AB,Sherwood Park,Canada,171,148,2016-17,17.0986301369863,Sherwood Park Kings Midget AAA,AMHL,34,14,26,40,4,""
282506,Jordan Biro,C,L,,,,,2000,08,10,CAN,AB,Sherwood Park,Canada,171,148,2016-17,17.0986301369863,Spruce Grove Saints,AJHL,5,0,0,0,0,""
282506,Jordan Biro,C,L,,,,,2000,08,10,CAN,AB,Sherwood Park,Canada,171,148,2017-18,18.0986301369863,Spruce Grove Saints,AJHL,50,8,24,32,10,""
