ID,Name,Position,Shoots,Drafted_Team,Round,Draft_Pick,Draft_Year,Birth_Year,Birth_Month,Birth_Day,Birth_Country,Birth_State,Birth_City,Country,Height,Weight,Season,Age,Team,League,GP,G,A,TP,PIM,+/-
601489,Ray McNamara,RD,R,,,,,2001,10,20,USA,NJ,Randolph,USA,,,2018-19,17.9041095890411,Randolph High,USHS-NJ,-,0,5,5,-,""
478905,Daniel Malik,F/RD,R,,,,,2001,01,20,USA,NJ,Hamilton Square,USA,,,2017-18,17.6520547945205,Princeton Tigers 18U AA,Midget,16,4,5,9,6,""
478905,Daniel Malik,F/RD,R,,,,,2001,01,20,USA,NJ,Hamilton Square,USA,,,2017-18,17.6520547945205,Mercer Chiefs 18U,AYHL 18U,10,8,4,11,10,""
478905,Daniel Malik,F/RD,R,,,,,2001,01,20,USA,NJ,Hamilton Square,USA,,,2018-19,18.6520547945206,Mercer Chiefs 18UA,AYHL 18U,20,3,2,5,8,""
478905,Daniel Malik,F/RD,R,,,,,2001,01,20,USA,NJ,Hamilton Square,USA,,,2019-20,19.6520547945206,Mercer Chiefs 18UA,AYHL 18U,4,1,2,3,2,""
390777,Craig Bahrs,F,R,,,,,2000,01,20,USA,NJ,Red Bank,USA,180,152,2016-17,17.6520547945205,New Jersey Jr. Titans 18UA,AYHL 18U,23,7,5,12,32,""
390777,Craig Bahrs,F,R,,,,,2000,01,20,USA,NJ,Red Bank,USA,180,152,2016-17,17.6520547945205,Middletown High South,USHS-NJ,-,5,8,13,-,""
390777,Craig Bahrs,F,R,,,,,2000,01,20,USA,NJ,Red Bank,USA,180,152,2017-18,18.6520547945206,Jersey Penguins 18U AA Black,Midget,16,4,5,9,26,""
468805,Zachary Carnes,RD,R,,,,,1999,12,26,USA,CA,Chino,USA,185,174,2016-17,17.7232876712329,Chino Valley Flames,USHS-CA,13,5,4,9,36,""
468805,Zachary Carnes,RD,R,,,,,1999,12,26,USA,CA,Chino,USA,185,174,2017-18,18.7232876712329,Anaheim Jr. Ducks 18U AA,Midget,18,4,5,9,16,""
468805,Zachary Carnes,RD,R,,,,,1999,12,26,USA,CA,Chino,USA,185,174,2018-19,19.7232876712329,California State U. - Northridge,ACHA II,26,14,17,31,60,""
