Name,Season,Age,Tm,Lg,GP,G,A,PTS,PIM,S,TSA,TOI,ATOI,FOW,FOL,BLK,HIT,TK,GV,Awards,CF,CA,FF,FA,oiGF,oiGA,PDO,TGF,PGF,TGA,PGA,+/-,OPS,DPS,PS
Mats Sundin,1990-91,19,QUE,NHL,80,23,36,59,58,155,"","","","","","","","","",Calder-7,,,,,,,,90,27,90,3,-24,3.5,0.3,3.8
Mats Sundin,1991-92,20,QUE,NHL,80,33,43,76,103,231,"","","","","","","","","","",,,,,,,,106,36,104,15,-19,5.5,0.5,6.0
Mats Sundin,1992-93,21,QUE,NHL,80,47,67,114,96,215,"","","","","","","","","","",,,,,,,,154,70,89,26,21,9.1,1.4,10.5
Mats Sundin,1993-94,22,QUE,NHL,84,32,53,85,60,226,"","","","","","","","","","",,,,,,,,114,39,100,26,1,6.7,1.0,7.7
Mats Sundin,1994-95,23,TOR,NHL,47,23,24,47,14,173,"","","","","","","","","","",,,,,,,,58,24,44,5,-5,4.7,0.6,5.2
Mats Sundin,1995-96,24,TOR,NHL,76,33,50,83,46,301,"","","","","","","","","","",,,,,,,,111,47,73,17,8,7.3,1.4,8.7
Mats Sundin,1996-97,25,TOR,NHL,82,41,53,94,59,281,"","","","","","","","","","AS-6,Hart-18",,,,,,,,125,35,103,19,6,9.7,1.3,11.0
Mats Sundin,1997-98,26,TOR,NHL,82,33,41,74,49,219,"","","","","","","","","",AS-7,,,,,,,,96,31,88,20,-3,8.0,1.1,9.1
Mats Sundin,1998-99,27,TOR,NHL,82,31,52,83,58,209,"",1696,20:41,"","","","","","",Hart-16,,,,,,,,115,30,79,16,22,7.2,1.7,8.9
Mats Sundin,1999-00,28,TOR,NHL,73,32,41,73,46,184,"",1473,20:11,"","","","","","",AS-5,,,,,,,,104,30,69,11,16,6.9,2.0,8.9
Mats Sundin,2000-01,29,TOR,NHL,82,28,46,74,76,226,"",1587,19:21,"","","","","","","",,,,,,,,96,32,69,20,15,6.0,2.3,8.2
Mats Sundin,2001-02,30,TOR,NHL,82,41,39,80,94,262,"",1585,19:20,"","","","","","","AS-2,Hart-8",,,,,,,,103,35,64,2,6,8.7,1.6,10.3
Mats Sundin,2002-03,31,TOR,NHL,75,37,35,72,58,223,"",1519,20:15,"","","","","","","AS-7,Hart-18,Selke-37",,,,,,,,98,42,70,15,1,7.4,1.6,9.0
Mats Sundin,2003-04,32,TOR,NHL,81,31,44,75,52,226,"",1609,19:52,"","","","","","","AS-2,Byng-31,Hart-12",,,,,,,,96,43,58,16,11,7.2,2.0,9.2
Mats Sundin,2005-06,34,TOR,NHL,70,31,47,78,58,220,"",1399,19:59,"","","","","","","",,,,,,,,108,62,57,18,7,6.6,1.9,8.4
Mats Sundin,2006-07,35,TOR,NHL,75,27,49,76,62,321,"",1535,20:28,"","","","","","","",,,,,,,,100,43,80,21,-2,6.1,1.2,7.3
Mats Sundin,2007-08,36,TOR,NHL,74,32,46,78,76,259,447,1485,20:04,945,768,34,33,21,54,"Byng-70,Messier-1,Selke-32",1122,972,895,728,67,48,100.5,103,35,72,21,17,7.7,2.1,9.8
Mats Sundin,2008-09,37,VAN,NHL,41,9,19,28,28,84,162,691,16:51,325,264,14,14,10,18,"",460,463,344,352,21,22,99.7,44,23,27,1,-5,1.9,0.5,2.4
Dave Chyzowski,1989-90,18,NYI,NHL,34,8,6,14,45,59,,"","",,,,,,,"",,,,,,,,20,7,17,0,-4,0.3,0.3,0.6
Dave Chyzowski,1990-91,19,NYI,NHL,56,5,9,14,61,66,,"","",,,,,,,"",,,,,,,,22,2,39,0,-19,-0.6,0.3,-0.3
Dave Chyzowski,1991-92,20,NYI,NHL,12,1,1,2,17,18,,"","",,,,,,,"",,,,,,,,5,3,6,0,-4,-0.2,0.0,-0.2
Dave Chyzowski,1993-94,22,NYI,NHL,3,1,0,1,4,4,,"","",,,,,,,"",,,,,,,,1,0,2,0,-1,0.1,0.0,0.1
Dave Chyzowski,1994-95,23,NYI,NHL,13,0,0,0,11,11,,"","",,,,,,,"",,,,,,,,2,0,4,0,-2,-0.5,0.1,-0.4
Dave Chyzowski,1996-97,25,CHI,NHL,8,0,0,0,6,6,,"","",,,,,,,"",,,,,,,,1,0,0,0,1,-0.3,0.1,-0.2
Scott Thornton,1990-91,20,TOR,NHL,33,1,3,4,30,31,"","","","","","","","","","",,,,,,,,9,0,26,2,-15,-0.8,0.0,-0.8
Scott Thornton,1991-92,21,EDM,NHL,15,0,1,1,43,11,"","","","","","","","","","",,,,,,,,2,0,8,0,-6,-0.5,0.0,-0.5
Scott Thornton,1992-93,22,EDM,NHL,9,0,1,1,0,7,"","","","","","","","","","",,,,,,,,1,0,5,0,-4,-0.3,0.0,-0.2
Scott Thornton,1993-94,23,EDM,NHL,61,4,7,11,104,65,"","","","","","","","","","",,,,,,,,21,2,41,7,-15,-1.1,0.3,-0.7
Scott Thornton,1994-95,24,EDM,NHL,47,10,12,22,89,69,"","","","","","","","","","",,,,,,,,32,4,47,15,-4,1.1,0.5,1.6
Scott Thornton,1995-96,25,EDM,NHL,77,9,9,18,149,95,"","","","","","","","","","",,,,,,,,27,2,76,26,-25,-0.7,0.3,-0.4
Scott Thornton,1996-97,26,MTL,NHL,73,10,10,20,128,110,"","","","","","","","","","",,,,,,,,27,3,54,11,-19,-0.1,0.1,0.0
Scott Thornton,1997-98,27,MTL,NHL,67,6,9,15,158,51,"","","","","","","","","","",,,,,,,,24,3,25,4,0,-0.4,0.8,0.3
Scott Thornton,1998-99,28,MTL,NHL,47,7,4,11,87,56,"",583,12:24,"","","","","","","",,,,,,,,20,2,23,3,-2,0.3,0.7,1.0
Scott Thornton,1999-00,29,TOT,NHL,65,8,6,14,108,83,"",835,12:50,"","","","","","","",,,,,,,,21,4,29,0,-12,0.0,0.7,0.7
Scott Thornton,2000-01,30,SJS,NHL,73,19,17,36,114,159,"",1015,13:54,"","","","","","","",,,,,,,,50,17,30,1,4,2.8,1.3,4.1
Scott Thornton,2001-02,31,SJS,NHL,77,26,16,42,116,144,"",1041,13:31,"","","","","","","",,,,,,,,60,13,36,0,11,4.6,1.3,5.9
Scott Thornton,2002-03,32,SJS,NHL,41,9,12,21,41,64,"",569,13:53,"","","","","","","",,,,,,,,31,9,29,0,-7,1.6,0.3,2.0
Scott Thornton,2003-04,33,SJS,NHL,80,13,14,27,84,127,"",1116,13:57,"","","","","","","",,,,,,,,41,8,39,0,-6,1.4,0.9,2.3
Scott Thornton,2005-06,35,SJS,NHL,71,10,11,21,84,122,"",945,13:19,"","","","","","","",,,,,,,,40,13,35,0,-8,0.3,0.8,1.1
Scott Thornton,2006-07,36,LAK,NHL,58,7,6,13,85,65,"",719,12:24,"","","","","","","",,,,,,,,19,1,47,14,-15,-0.1,0.2,0.1
Scott Thornton,2007-08,37,LAK,NHL,47,5,3,8,39,35,65,413,8:48,18,22,14,49,7,24,"",274,401,213,308,16,15,103.9,16,0,15,0,1,0.2,0.5,0.7
Stu Barnes,1991-92,21,WIN,NHL,46,8,9,17,26,75,"","","","","","","","","","",,,,,,,,33,14,21,0,-2,0.2,0.7,0.9
Stu Barnes,1992-93,22,WIN,NHL,38,12,10,22,10,73,"","","","","","","","","","",,,,,,,,34,5,32,0,-3,1.1,0.4,1.4
Stu Barnes,1993-94,23,TOT,NHL,77,23,24,47,38,172,"","","","","","","","","","",,,,,,,,69,23,45,3,4,3.0,1.3,4.3
Stu Barnes,1994-95,24,FLA,NHL,41,10,19,29,8,93,"","","","","","","","","","",,,,,,,,44,12,30,5,7,2.1,0.9,3.0
Stu Barnes,1995-96,25,FLA,NHL,72,19,25,44,46,158,"","","","","","","","","","",,,,,,,,67,32,53,6,-12,2.6,0.7,3.3
Stu Barnes,1996-97,26,TOT,NHL,81,19,30,49,26,176,"","","","","","","","","","",,,,,,,,68,22,78,9,-23,3.1,0.1,3.2
Stu Barnes,1997-98,27,PIT,NHL,78,30,35,65,30,196,"","","","","","","","","","",,,,,,,,101,40,61,15,15,6.6,1.7,8.3
Stu Barnes,1998-99,28,TOT,NHL,81,20,16,36,30,180,"",1455,17:58,"","","","","","","",,,,,,,,75,38,48,0,-11,1.9,1.0,2.9
Stu Barnes,1999-00,29,BUF,NHL,82,20,25,45,16,137,"",1426,17:23,"","","","","","","",,,,,,,,58,22,57,18,-3,2.9,1.4,4.3
Stu Barnes,2000-01,30,BUF,NHL,75,19,24,43,26,160,"",1433,19:06,"","","","","","","",,,,,,,,67,23,62,16,-2,2.3,1.8,4.1
Stu Barnes,2001-02,31,BUF,NHL,68,17,31,48,26,127,"",1263,18:35,"","","","","","","",,,,,,,,72,22,62,18,6,3.7,1.8,5.5
Stu Barnes,2002-03,32,TOT,NHL,81,13,26,39,28,149,"",1483,18:19,"","","","","","","",,,,,,,,57,18,69,19,-11,1.5,1.5,2.9
Stu Barnes,2003-04,33,DAL,NHL,77,11,18,29,18,135,"",1392,18:05,"","","","","","",Byng-49,,,,,,,,42,5,47,17,7,0.6,2.2,2.8
Stu Barnes,2005-06,35,DAL,NHL,78,15,21,36,44,123,"",1285,16:29,"","","","","","","",,,,,,,,45,4,63,31,9,1.2,2.0,3.1
Stu Barnes,2006-07,36,DAL,NHL,82,13,12,25,40,118,"",1320,16:06,"","","","","","","",,,,,,,,39,2,64,25,-2,0.0,1.9,2.0
Stu Barnes,2007-08,37,DAL,NHL,79,12,11,23,26,71,139,1076,13:38,343,284,25,14,62,29,Byng-72,591,668,434,520,25,34,99.1,31,0,51,17,-3,0.7,1.2,1.9
Bill Guerin,1991-92,21,NJD,NHL,5,0,1,1,9,8,"","","","","","","","","","",,,,,,,,1,0,0,0,1,-0.1,0.1,0.0
Bill Guerin,1992-93,22,NJD,NHL,65,14,20,34,63,123,"","","","","","","","","","",,,,,,,,44,2,30,2,14,1.1,1.2,2.3
Bill Guerin,1993-94,23,NJD,NHL,81,25,19,44,101,195,"","","","","","","","","","",,,,,,,,72,16,44,2,14,2.7,1.1,3.8
