Name,Season,Age,Tm,Lg,GP,G,A,PTS,PIM,S,TSA,TOI,ATOI,FOW,FOL,BLK,HIT,TK,GV,Awards,CF,CA,FF,FA,oiGF,oiGA,PDO,TGF,PGF,TGA,PGA,+/-,OPS,DPS,PS,xGF,xGA
Ryan Nugent-Hopkins,2011-12,18,EDM,NHL,62,18,34,52,16,134,249,1092,17:36,227,378,33,38,34,32,Calder-2,827,876,624,640,44,42,100.8,73,29,46,0,-2,4.8,1.2,6.0,"",""
Ryan Nugent-Hopkins,2012-13,19,EDM,NHL,40,4,20,24,8,78,150,755,18:52,226,325,27,27,22,11,"",606,593,469,447,28,25,100.4,47,19,26,1,3,1.0,1.0,2.0,"",""
Ryan Nugent-Hopkins,2013-14,20,EDM,NHL,80,19,37,56,26,178,307,1632,20:24,543,737,35,72,63,50,"",1120,1326,848,1022,58,68,99.7,89,30,83,11,-12,3.8,1.6,5.4,"",""
Ryan Nugent-Hopkins,2014-15,21,EDM,NHL,76,24,32,56,25,189,359,1569,20:38,620,727,37,92,54,43,"",1161,1156,807,867,57,66,98.6,82,24,88,18,-12,4.8,1.4,6.2,47.5,50.9
Ryan Nugent-Hopkins,2015-16,22,EDM,NHL,55,12,22,34,18,108,214,1048,19:04,369,454,36,39,43,30,"",803,842,565,627,37,44,99.5,56,19,54,8,-9,2.2,0.9,3.2,33.5,39.0
Ryan Nugent-Hopkins,2016-17,23,EDM,NHL,82,18,25,43,29,200,324,1451,17:42,556,712,35,47,48,30,"",1105,1121,823,804,41,50,98.2,60,19,68,17,-10,2.8,1.2,4.0,51.0,51.2
Ryan Nugent-Hopkins,2017-18,24,EDM,NHL,62,24,24,48,20,151,254,1122,18:05,374,393,39,44,46,45,"",914,875,685,649,49,41,101.0,65,13,63,21,10,4.3,1.6,5.9,44.3,39.4
Ryan Nugent-Hopkins,2018-19,25,EDM,NHL,82,28,41,69,26,208,357,1648,20:06,379,461,40,69,59,56,"",1058,1248,784,926,59,71,99.6,103,41,97,22,-13,5.2,1.4,6.6,51.9,52.8
Gabriel Landeskog,2011-12,19,COL,NHL,82,22,30,52,51,270,406,1526,18:37,8,28,58,219,58,35,"Calder-1,Selke-43",1323,1034,992,786,60,40,100.9,81,19,58,16,20,4.0,2.8,6.8,"",""
Gabriel Landeskog,2012-13,20,COL,NHL,36,9,8,17,22,109,179,696,19:20,6,12,32,86,21,15,"",539,495,400,368,17,22,97.3,30,10,32,8,-4,1.0,0.6,1.5,128.8,119.5
Gabriel Landeskog,2013-14,21,COL,NHL,81,26,39,65,71,222,384,1513,18:41,13,5,52,176,64,35,AS-9,1223,1263,913,931,75,54,102.8,94,19,54,0,21,5.9,2.2,8.1,"",""
Gabriel Landeskog,2014-15,22,COL,NHL,82,23,36,59,79,214,349,1517,18:30,16,29,73,169,52,34,Selke-38,1195,1264,874,905,59,62,99.8,84,24,70,7,-2,5.0,1.6,6.6,49.4,51.7
Gabriel Landeskog,2015-16,23,COL,NHL,75,20,33,53,69,169,249,1419,18:56,31,25,66,141,37,30,"",975,1144,755,812,49,55,99.1,76,24,71,14,-5,4.1,1.4,5.6,41.6,47.2
Gabriel Landeskog,2016-17,24,COL,NHL,72,18,15,33,62,169,266,1352,18:47,62,63,41,143,65,36,"",1022,914,752,713,35,61,95.1,49,13,84,23,-25,1.9,0.8,2.7,41.5,40.7
Gabriel Landeskog,2017-18,25,COL,NHL,78,25,37,62,37,183,312,1571,20:09,215,203,51,149,54,31,"",1223,1246,911,925,76,53,103.5,120,43,69,8,16,4.6,2.5,7.2,52.4,50.6
Gabriel Landeskog,2018-19,26,COL,NHL,73,34,41,75,51,243,363,1544,21:09,360,333,64,120,46,47,Selke-23,1298,1174,959,872,77,57,101.5,121,44,62,2,17,6.7,2.3,9.0,65.2,55.4
Jonathan Huberdeau,2012-13,19,FLA,NHL,48,14,17,31,18,112,182,813,16:56,11,22,19,33,17,28,Calder-1,691,653,527,497,25,42,94.9,40,13,43,1,-15,3.0,0.4,3.3,"",""
Jonathan Huberdeau,2013-14,20,FLA,NHL,69,9,19,28,37,108,190,1081,15:40,5,6,23,73,32,21,"",888,839,660,650,39,43,99.0,45,6,44,0,-5,1.3,0.9,2.2,"",""
Jonathan Huberdeau,2014-15,21,FLA,NHL,79,15,39,54,38,169,264,1323,16:45,2,6,24,68,34,23,"",1064,946,793,718,54,40,101.7,73,19,46,2,10,4.1,1.9,6.0,48.2,41.4
Jonathan Huberdeau,2015-16,22,FLA,NHL,76,20,39,59,43,174,269,1379,18:09,7,11,36,53,32,46,"",963,1023,779,794,66,45,103.2,90,23,56,8,17,5.2,2.1,7.3,51.5,43.7
Jonathan Huberdeau,2016-17,23,FLA,NHL,31,10,16,26,13,86,136,556,17:55,4,5,7,18,15,24,"",482,391,381,321,25,25,98.3,36,11,27,0,-2,2.4,0.7,3.1,22.3,17.7
Jonathan Huberdeau,2017-18,24,FLA,NHL,82,27,42,69,32,204,341,1575,19:12,21,23,42,41,54,88,"",1365,1263,1050,958,72,71,99.1,104,32,74,0,-2,5.4,1.6,7.0,62.1,57.1
Jonathan Huberdeau,2018-19,25,FLA,NHL,82,30,62,92,40,226,358,1546,18:51,12,7,45,57,43,84,"",1280,1183,994,917,72,77,98.0,120,48,87,1,-14,7.8,1.3,9.1,59.2,59.1
Adam Larsson,2011-12,19,NJD,NHL,65,2,16,18,20,68,153,1340,20:37,0,0,67,94,12,44,Calder-12,936,900,699,714,45,50,99.2,55,8,55,1,-7,0.7,2.8,3.4,"",""
Adam Larsson,2012-13,20,NJD,NHL,37,0,6,6,12,30,68,670,18:06,0,0,49,37,17,22,"",462,431,341,322,23,23,100.0,27,0,27,4,4,-0.1,2.0,1.9,73.6,72.1
Adam Larsson,2013-14,21,NJD,NHL,26,1,2,3,12,20,54,462,17:47,0,0,37,41,4,10,"",361,297,270,225,11,13,97.6,12,0,13,0,-1,-0.1,1.2,1.0,"",""
Adam Larsson,2014-15,22,NJD,NHL,64,3,21,24,34,91,181,1342,20:58,0,0,124,93,21,30,"",831,960,623,715,36,36,100.9,38,0,52,16,2,1.3,3.7,5.0,40.0,36.8
Adam Larsson,2015-16,23,NJD,NHL,82,3,15,18,77,65,154,1846,22:31,0,0,148,163,22,27,"",991,1288,760,934,47,36,103.2,53,2,64,28,15,0.1,6.6,6.7,49.7,53.8
Adam Larsson,2016-17,24,EDM,NHL,79,4,15,19,55,85,203,1592,20:09,0,0,160,253,28,71,"",1361,1364,1038,994,76,55,102.4,77,0,74,19,21,0.6,5.0,5.5,65.1,59.2
Adam Larsson,2017-18,25,EDM,NHL,63,4,9,13,34,92,194,1382,21:56,0,0,140,239,26,52,"",1209,1179,923,885,59,52,100.8,61,0,69,17,10,0.0,3.5,3.5,58.2,55.0
Adam Larsson,2018-19,26,EDM,NHL,82,3,17,20,44,117,244,1773,21:37,0,0,128,256,25,68,"",1451,1492,1082,1130,50,81,96.7,54,1,107,26,-28,0.2,1.7,1.8,62.4,69.6
Ryan Strome,2013-14,20,NYI,NHL,37,7,11,18,8,89,137,562,15:11,165,209,8,29,21,22,"",484,430,359,326,18,18,98.9,31,13,19,0,-1,1.2,0.6,1.8,"",""
Ryan Strome,2014-15,21,NYI,NHL,81,17,33,50,47,179,286,1247,15:24,149,170,21,92,38,52,Selke-38,1141,976,857,674,69,49,100.8,88,17,55,6,23,4.2,2.1,6.3,60.3,42.9
Ryan Strome,2015-16,22,NYI,NHL,71,8,20,28,28,132,220,1112,15:39,39,56,19,77,35,38,"",1009,987,755,712,45,52,98.6,51,6,54,0,-9,1.0,0.8,1.8,49.0,50.3
Ryan Strome,2016-17,23,NYI,NHL,69,13,17,30,40,114,203,1008,14:36,147,197,21,59,33,32,"",709,834,512,615,29,34,99.9,47,18,37,0,-8,2.0,0.6,2.6,31.9,37.0
Ryan Strome,2017-18,24,EDM,NHL,82,13,21,34,33,147,250,1248,15:13,297,374,17,43,41,45,"",999,967,739,718,37,41,99.2,49,11,48,6,-4,1.4,1.2,2.5,40.6,40.7
Ryan Strome,2018-19,25,TOT,NHL,81,19,16,35,64,110,190,1261,15:34,365,402,36,76,37,53,"",942,1072,700,811,45,45,100.9,55,10,61,13,-3,1.9,1.4,3.3,43.2,49.5
Mika Zibanejad,2011-12,18,OTT,NHL,9,0,1,1,2,12,25,116,12:54,22,28,5,15,4,1,"",85,107,62,76,1,4,95.4,2,1,4,0,-3,-0.2,0.0,-0.3,98.5,98.0
Mika Zibanejad,2012-13,19,OTT,NHL,42,7,13,20,6,90,153,570,13:34,159,184,19,82,12,7,"",505,430,370,325,23,14,102.4,31,7,15,0,9,1.4,1.1,2.5,94.9,93.2
Mika Zibanejad,2013-14,20,OTT,NHL,69,16,17,33,18,153,269,989,14:20,183,214,28,118,31,18,"",871,768,659,610,35,48,97.4,48,13,51,1,-15,2.8,0.2,3.0,"",""
