Name,Season,Age,Tm,Lg,GP,G,A,PTS,PIM,S,TSA,TOI,ATOI,FOW,FOL,BLK,HIT,TK,GV,Awards,CF,CA,FF,FA,oiGF,oiGA,PDO,TGF,PGF,TGA,PGA,+/-,OPS,DPS,PS,xGF,xGA
Dany Heatley,2001-02,21,ATL,NHL,82,26,41,67,56,202,"",1631,19:53,"","","","","","",Calder-1,,,,,,,,94,30,95,12,-19,5.9,0.9,6.8,"",""
Dany Heatley,2002-03,22,ATL,NHL,77,41,48,89,58,252,"",1690,21:57,"","","","","","","AS-9,AS-4,Byng-22,Hart-17",,,,,,,,119,49,91,13,-8,9.7,1.4,11.0,"",""
Dany Heatley,2003-04,23,ATL,NHL,31,13,12,25,18,83,"",616,19:53,"","","","","","","",,,,,,,,37,20,25,0,-8,2.5,0.3,2.9,"",""
Dany Heatley,2005-06,25,OTT,NHL,82,50,53,103,86,300,"",1734,21:09,"","","","","","","AS-2,AS-9,Hart-10",,,,,,,,151,75,58,11,29,10.2,2.7,12.9,"",""
Dany Heatley,2006-07,26,OTT,NHL,82,50,55,105,74,310,"",1725,21:02,"","","","","","","AS-4,AS-1,Hart-12,Selke-47",,,,,,,,137,51,58,3,31,10.8,2.6,13.4,"",""
Dany Heatley,2007-08,27,OTT,NHL,71,41,41,82,76,224,400,1543,21:44,15,11,31,58,44,60,"AS-5,AS-4,Selke-31",1232,1089,914,856,87,52,104.4,129,41,58,3,33,9.1,2.5,11.6,"",""
Dany Heatley,2008-09,28,OTT,NHL,82,39,33,72,88,258,461,1649,20:07,14,16,24,87,42,45,"",1221,1164,918,874,60,68,98.5,96,36,74,3,-11,7.0,1.8,8.8,"",""
Dany Heatley,2009-10,29,SJS,NHL,82,39,43,82,54,280,518,1659,20:14,14,21,35,81,38,55,"AS-4,AS-8",1351,1284,1002,987,72,55,102.3,113,39,65,5,14,8.4,2.2,10.6,"",""
Dany Heatley,2010-11,30,SJS,NHL,80,26,38,64,56,217,404,1572,19:39,9,11,29,104,29,68,"",1234,1140,903,855,58,49,101.2,108,47,59,6,8,5.3,2.0,7.3,"",""
Dany Heatley,2011-12,31,MIN,NHL,82,24,29,53,28,238,434,1717,20:57,36,31,45,70,33,33,"",1273,1424,937,1058,57,53,101.2,85,28,58,3,2,3.8,2.5,6.3,102.7,112.7
Dany Heatley,2012-13,32,MIN,NHL,36,11,10,21,8,83,135,667,18:32,12,19,22,26,8,8,"",475,533,332,408,19,33,96.2,33,12,33,0,-12,1.7,0.3,2.0,47.8,59.8
Dany Heatley,2013-14,33,MIN,NHL,76,12,16,28,18,110,202,1126,14:49,7,10,30,33,21,19,"",706,892,517,663,27,42,98.1,45,18,45,0,-18,1.2,0.6,1.8,"",""
Dany Heatley,2014-15,34,ANA,NHL,6,0,0,0,0,8,13,73,12:08,0,0,3,5,1,0,"",50,67,32,54,1,4,94.0,1,0,4,0,-3,-0.2,-0.1,-0.3,1.4,2.0
Marian Gaborik,2000-01,18,MIN,NHL,71,18,18,36,32,179,"",1096,15:26,"","","","","","",Calder-7,,,,,,,,43,13,36,0,-6,2.5,1.3,3.8,"",""
Marian Gaborik,2001-02,19,MIN,NHL,78,30,37,67,34,221,"",1308,16:47,"","","","","","",AS-13,,,,,,,,87,37,50,0,0,6.9,1.6,8.5,"",""
Marian Gaborik,2002-03,20,MIN,NHL,81,30,35,65,46,280,"",1410,17:24,"","","","","","",AS-15,,,,,,,,82,26,47,3,12,6.5,2.4,8.9,"",""
Marian Gaborik,2003-04,21,MIN,NHL,65,18,22,40,20,220,"",1188,18:17,"","","","","","","",,,,,,,,55,18,37,10,10,3.3,2.0,5.2,"",""
Marian Gaborik,2005-06,23,MIN,NHL,65,38,28,66,64,252,"",1198,18:26,"","","","","","","",,,,,,,,94,40,49,1,6,6.8,2.0,8.9,"",""
Marian Gaborik,2006-07,24,MIN,NHL,48,30,27,57,40,196,"",942,19:38,"","","","","","","AS-8,Hart-20",,,,,,,,67,27,32,4,12,6.3,1.8,8.1,"",""
Marian Gaborik,2007-08,25,MIN,NHL,77,42,41,83,63,278,451,1509,19:36,6,15,18,59,41,55,"AS-4,Byng-37,Hart-11",953,1103,744,846,70,48,105.7,105,33,61,6,17,9.2,2.5,11.6,"",""
Marian Gaborik,2008-09,26,MIN,NHL,17,13,10,23,2,68,100,340,20:00,0,5,5,15,11,11,"",213,229,166,171,17,15,101.1,28,10,15,0,3,2.8,0.6,3.4,7.3,6.7
Marian Gaborik,2009-10,27,NYR,NHL,76,42,44,86,37,272,478,1615,21:15,2,5,31,59,25,46,"AS-3,Byng-27,Hart-17",1223,1177,914,899,70,50,102.8,111,39,65,8,15,9.4,2.6,12.1,"",""
Marian Gaborik,2010-11,28,NYR,NHL,62,22,26,48,18,192,324,1121,18:05,0,0,22,46,34,26,"",798,835,602,621,40,30,102.8,65,24,34,1,8,4.5,1.7,6.2,"",""
Marian Gaborik,2011-12,29,NYR,NHL,82,41,35,76,34,276,448,1600,19:31,0,2,40,63,30,41,"AS-16,AS-2,Byng-24,Hart-16",1146,1218,865,872,66,48,102.3,98,32,52,1,15,8.6,2.6,11.2,"",""
Marian Gaborik,2012-13,30,TOT,NHL,47,12,15,27,14,151,236,870,18:31,1,2,18,21,19,18,"",771,684,564,493,29,29,99.3,44,15,32,0,-3,2.0,0.9,2.9,"",""
Marian Gaborik,2013-14,31,TOT,NHL,41,11,19,30,10,103,175,697,17:00,0,2,10,15,11,15,"",589,492,441,372,31,22,101.5,43,12,24,0,7,2.7,1.1,3.8,"",""
Marian Gaborik,2014-15,32,LAK,NHL,69,27,20,47,16,174,288,1167,16:55,1,0,6,39,18,43,"",1024,735,759,555,49,40,98.9,80,31,42,0,7,5.1,1.7,6.7,45.5,30.7
Marian Gaborik,2015-16,33,LAK,NHL,54,12,10,22,20,142,213,807,14:57,1,2,17,29,13,18,"",729,549,576,400,25,29,96.2,36,11,31,0,-6,1.6,0.6,2.2,33.7,23.5
Marian Gaborik,2016-17,34,LAK,NHL,56,10,11,21,18,123,216,828,14:47,0,1,15,21,7,24,"",783,614,592,462,25,28,97.6,36,11,29,0,-4,1.1,1.1,2.2,33.6,24.7
Marian Gaborik,2017-18,35,TOT,NHL,46,11,10,21,24,80,166,643,13:58,0,0,9,12,13,20,"",531,540,374,420,23,21,102.0,35,12,22,1,2,1.5,0.9,2.3,20.9,21.9
Rostislav Klesla,2000-01,18,CBJ,NHL,8,2,0,2,6,10,"",147,18:25,"","","","","","","",,,,,,,,7,1,9,2,-1,0.3,0.3,0.5,,
Rostislav Klesla,2001-02,19,CBJ,NHL,75,8,8,16,74,102,"",1415,18:52,"","","","","","",Calder-7,,,,,,,,56,10,63,11,-6,1.1,3.6,4.7,,
