Name,Season,Age,Tm,Lg,GP,G,A,PTS,PIM,S,TSA,TOI,ATOI,FOW,FOL,BLK,HIT,TK,GV,Awards,CF,CA,FF,FA,oiGF,oiGA,PDO,TGF,PGF,TGA,PGA,+/-,OPS,DPS,PS
Dale Hawerchuk,1981-82,18,WIN,NHL,80,45,58,103,47,339,,"","",,,,,,,"AS-6,Byng-20,Calder-1,Hart-5",,,,,,,,144,55,97,4,-7,6.8,1.0,7.9
Dale Hawerchuk,1982-83,19,WIN,NHL,79,40,51,91,31,297,,"","",,,,,,,"",,,,,,,,135,60,107,15,-17,6.4,0.6,7.0
Dale Hawerchuk,1983-84,20,WIN,NHL,80,37,65,102,73,256,,"","",,,,,,,"",,,,,,,,137,46,120,15,-14,6.5,0.5,7.1
Dale Hawerchuk,1984-85,21,WIN,NHL,80,53,77,130,74,280,,"","",,,,,,,"AS-2,Hart-2",,,,,,,,172,57,102,9,20,9.8,1.3,11.1
Dale Hawerchuk,1985-86,22,WIN,NHL,80,46,59,105,44,313,,"","",,,,,,,AS-9,,,,,,,,130,53,128,24,-27,7.3,0.5,7.8
Dale Hawerchuk,1986-87,23,WIN,NHL,80,47,53,100,52,267,,"","",,,,,,,"AS-3,Hart-6",,,,,,,,135,41,95,4,2,7.9,1.2,9.1
Dale Hawerchuk,1987-88,24,WIN,NHL,80,44,77,121,59,292,,"","",,,,,,,"AS-13,AS-6,Hart-7",,,,,,,,157,80,104,18,-9,9.0,0.9,10.0
Dale Hawerchuk,1988-89,25,WIN,NHL,75,41,55,96,28,239,,"","",,,,,,,Byng-10,,,,,,,,132,53,123,14,-30,7.0,0.2,7.2
Dale Hawerchuk,1989-90,26,WIN,NHL,79,26,55,81,70,211,,"","",,,,,,,"",,,,,,,,117,44,91,7,-11,4.8,0.7,5.5
Dale Hawerchuk,1990-91,27,BUF,NHL,80,31,58,89,32,194,,"","",,,,,,,"",,,,,,,,116,47,69,2,2,6.7,1.1,7.8
Dale Hawerchuk,1991-92,28,BUF,NHL,77,23,75,98,27,242,,"","",,,,,,,Byng-11,,,,,,,,139,83,91,13,-22,6.7,0.3,7.0
Dale Hawerchuk,1992-93,29,BUF,NHL,81,16,80,96,52,259,,"","",,,,,,,"",,,,,,,,147,87,83,6,-17,5.3,0.5,5.8
Dale Hawerchuk,1993-94,30,BUF,NHL,81,35,51,86,91,227,,"","",,,,,,,"",,,,,,,,130,66,55,1,10,7.3,1.6,8.9
Dale Hawerchuk,1994-95,31,BUF,NHL,23,5,11,16,2,56,,"","",,,,,,,"",,,,,,,,20,13,9,0,-2,1.1,0.3,1.4
Dale Hawerchuk,1995-96,32,TOT,NHL,82,17,44,61,26,180,,"","",,,,,,,"",,,,,,,,90,41,42,8,15,3.7,1.7,5.4
Dale Hawerchuk,1996-97,33,PHI,NHL,51,12,22,34,32,102,,"","",,,,,,,"",,,,,,,,52,17,26,0,9,2.3,0.8,3.2
Doug Smith,1981-82,18,LAK,NHL,80,16,14,30,64,141,,"","",,,,,,,"",,,,,,,,53,3,78,15,-13,-0.2,0.7,0.5
Doug Smith,1982-83,19,LAK,NHL,42,11,11,22,12,91,,"","",,,,,,,"",,,,,,,,27,5,38,2,-13,0.7,0.2,0.9
Doug Smith,1983-84,20,LAK,NHL,72,16,20,36,28,146,,"","",,,,,,,"",,,,,,,,50,12,76,5,-32,0.8,0.1,0.9
Doug Smith,1984-85,21,LAK,NHL,62,21,20,41,58,147,,"","",,,,,,,"",,,,,,,,54,12,69,12,-17,1.9,0.4,2.3
Doug Smith,1985-86,22,TOT,NHL,78,18,20,38,129,187,,"","",,,,,,,"",,,,,,,,65,14,116,38,-27,0.9,0.4,1.3
Doug Smith,1986-87,23,BUF,NHL,62,16,24,40,106,158,,"","",,,,,,,"",,,,,,,,61,28,73,20,-19,1.8,0.2,2.0
Doug Smith,1987-88,24,BUF,NHL,70,9,19,28,117,136,,"","",,,,,,,"",,,,,,,,47,9,78,30,-10,0.1,0.6,0.6
Doug Smith,1988-89,25,TOT,NHL,29,4,5,9,13,27,,"","",,,,,,,"",,,,,,,,14,2,13,3,2,-0.2,0.5,0.3
Doug Smith,1989-90,26,TOT,NHL,40,4,5,9,97,51,,"","",,,,,,,"",,,,,,,,20,3,27,9,-1,-0.6,0.5,0.0
Bob Carpenter,1981-82,18,WSH,NHL,80,32,35,67,69,262,,"","",,,,,,,Calder-8,,,,,,,,105,28,102,2,-24,3.3,0.6,4.0
Bob Carpenter,1982-83,19,WSH,NHL,80,32,37,69,64,197,,"","",,,,,,,"",,,,,,,,110,44,68,2,0,4.1,1.1,5.2
Bob Carpenter,1983-84,20,WSH,NHL,80,28,40,68,51,228,,"","",,,,,,,Byng-13,,,,,,,,93,31,63,1,-1,3.5,1.3,4.8
Bob Carpenter,1984-85,21,WSH,NHL,80,53,42,95,87,260,,"","",,,,,,,"AS-5,Byng-16,Hart-12",,,,,,,,139,51,76,8,20,7.3,1.6,8.9
Bob Carpenter,1985-86,22,WSH,NHL,80,27,29,56,105,205,,"","",,,,,,,"",,,,,,,,94,28,92,14,-12,2.6,0.8,3.4
Bob Carpenter,1986-87,23,TOT,NHL,60,9,18,27,47,113,,"","",,,,,,,"",,,,,,,,50,14,78,15,-26,0.4,0.0,0.4
Bob Carpenter,1987-88,24,LAK,NHL,71,19,33,52,84,176,,"","",,,,,,,"",,,,,,,,82,28,107,32,-21,2.5,0.3,2.9
Bob Carpenter,1988-89,25,TOT,NHL,57,16,24,40,26,137,,"","",,,,,,,"",,,,,,,,64,16,44,3,7,1.9,0.7,2.6
Bob Carpenter,1989-90,26,BOS,NHL,80,25,31,56,97,220,,"","",,,,,,,"",,,,,,,,90,32,80,19,-3,2.9,1.1,4.0
Bob Carpenter,1990-91,27,BOS,NHL,29,8,8,16,22,54,,"","",,,,,,,"",,,,,,,,28,10,30,14,2,0.8,0.4,1.2
Bob Carpenter,1991-92,28,BOS,NHL,60,25,23,48,46,171,,"","",,,,,,,"",,,,,,,,72,21,69,15,-3,3.4,0.8,4.1
Bob Carpenter,1992-93,29,WSH,NHL,68,11,17,28,65,141,,"","",,,,,,,"",,,,,,,,51,10,66,9,-16,0.3,0.5,0.7
Bob Carpenter,1993-94,30,NJD,NHL,76,10,23,33,51,125,,"","",,,,,,,"",,,,,,,,50,2,76,35,7,0.7,0.8,1.5
Bob Carpenter,1994-95,31,NJD,NHL,41,5,11,16,19,69,,"","",,,,,,,"",,,,,,,,26,0,40,13,-1,0.3,0.5,0.8
Bob Carpenter,1995-96,32,NJD,NHL,52,5,5,10,14,63,,"","",,,,,,,"",,,,,,,,21,0,45,14,-10,-0.7,0.6,-0.1
Bob Carpenter,1996-97,33,NJD,NHL,62,4,15,19,14,76,,"","",,,,,,,"",,,,,,,,30,0,44,20,6,-0.3,1.1,0.9
Bob Carpenter,1997-98,34,NJD,NHL,66,9,9,18,22,81,,"","",,,,,,,Selke-7,,,,,,,,30,1,49,16,-4,0.2,0.8,1.1
Bob Carpenter,1998-99,35,NJD,NHL,56,2,8,10,36,69,,856,15:17,,,,,,,"",,,,,,,,25,1,46,19,-3,-1.0,0.7,-0.3
Ron Francis,1981-82,18,HAR,NHL,59,25,43,68,51,163,,"","",,,,,,,Calder-10,,,,,,,,91,38,93,27,-15,3.9,0.6,4.5
Ron Francis,1982-83,19,HAR,NHL,79,31,59,90,60,210,,"","",,,,,,,Byng-17,,,,,,,,114,33,129,23,-26,5.5,0.6,6.1
Ron Francis,1983-84,20,HAR,NHL,72,23,60,83,45,202,,"","",,,,,,,"",,,,,,,,119,59,78,8,-12,4.5,0.8,5.3
Ron Francis,1984-85,21,HAR,NHL,80,24,57,81,64,199,,"","",,,,,,,"",,,,,,,,129,63,95,6,-24,4.2,0.7,5.0
Ron Francis,1985-86,22,HAR,NHL,53,24,53,77,24,120,,"","",,,,,,,"AS-8,Hart-10",,,,,,,,113,48,64,7,5,4.9,0.8,5.7
Ron Francis,1986-87,23,HAR,NHL,75,30,63,93,45,189,,"","",,,,,,,"AS-6,Hart-9",,,,,,,,140,61,70,1,11,6.4,1.3,7.7
