Name,Season,Age,Tm,Lg,GP,G,A,PTS,PIM,S,TSA,TOI,ATOI,FOW,FOL,BLK,HIT,TK,GV,Awards,CF,CA,FF,FA,oiGF,oiGA,PDO,TGF,PGF,TGA,PGA,+/-,OPS,DPS,PS,xGF,xGA
Aaron Ekblad,2014-15,18,FLA,NHL,81,12,27,39,32,170,351,1767,21:49,0,0,80,109,26,41,"AS-19,Calder-1,Norris-22",1416,1194,1080,932,66,49,100.7,88,22,57,4,12,3.5,5.0,8.5,60.3,50.6
Aaron Ekblad,2015-16,19,FLA,NHL,78,15,21,36,41,182,324,1691,21:41,0,0,59,87,24,41,"AS-17,Norris-16",1176,1112,932,879,69,51,101.7,93,23,62,8,18,3.7,4.5,8.2,51.9,49.0
Aaron Ekblad,2016-17,20,FLA,NHL,68,10,11,21,58,225,408,1459,21:28,0,0,62,88,25,58,"",1172,1078,889,856,34,55,96.5,54,19,62,4,-23,1.6,1.7,3.4,44.8,48.7
Aaron Ekblad,2017-18,21,FLA,NHL,82,16,22,38,71,189,399,1918,23:23,0,0,121,69,40,99,AS-17,1572,1636,1242,1285,85,82,100.8,115,23,103,20,9,3.1,4.7,7.8,68.8,78.2
Aaron Ekblad,2018-19,22,FLA,NHL,82,13,24,37,47,180,315,1939,23:39,0,0,88,114,47,122,"",1533,1550,1188,1188,94,91,99.6,113,17,119,24,1,2.6,4.2,6.8,72.2,74.0
Sam Reinhart,2014-15,19,BUF,NHL,9,0,1,1,2,3,6,93,10:22,21,65,5,3,2,1,"",55,97,41,76,1,2,100.1,1,0,2,0,-1,-0.1,0.1,-0.1,2.1,4.2
Sam Reinhart,2015-16,20,BUF,NHL,79,23,19,42,8,165,275,1330,16:50,36,72,26,26,19,20,"Byng-16,Calder-9",1030,973,774,748,43,47,98.9,75,32,52,0,-8,3.8,1.5,5.2,47.5,40.8
Sam Reinhart,2016-17,21,BUF,NHL,79,17,30,47,8,178,280,1360,17:13,86,124,40,21,25,27,Byng-35,1054,1087,812,805,45,54,98.3,85,40,56,0,-11,3.3,1.3,4.6,47.9,43.6
Sam Reinhart,2017-18,22,BUF,NHL,82,25,25,50,26,188,299,1402,17:06,56,86,42,48,29,29,"",1099,1002,846,781,41,57,96.7,80,39,65,0,-24,3.9,1.1,5.0,44.0,41.6
Sam Reinhart,2018-19,23,BUF,NHL,82,22,43,65,16,180,324,1555,18:57,31,56,47,38,39,46,"",1328,1235,1058,962,68,70,99.0,100,32,79,1,-10,4.4,1.6,6.0,63.1,58.7
Leon Draisaitl,2014-15,19,EDM,NHL,37,2,7,9,4,49,77,470,12:42,128,182,8,21,14,16,"",405,366,320,280,11,26,92.7,15,4,28,0,-17,-0.1,-0.2,-0.2,15.9,17.0
Leon Draisaitl,2015-16,20,EDM,NHL,72,19,32,51,20,133,214,1300,18:03,502,536,18,38,40,61,"",1132,1027,844,758,53,51,99.1,70,17,56,1,-2,4.2,1.6,5.8,53.0,46.5
Leon Draisaitl,2016-17,21,EDM,NHL,82,29,48,77,20,172,297,1548,18:53,476,496,36,41,75,75,"AS-8,AS-4,Byng-17",1269,1165,949,851,70,60,100.7,110,40,70,6,7,7.6,2.0,9.6,70.4,54.7
Leon Draisaitl,2017-18,22,EDM,NHL,78,25,45,70,30,194,324,1507,19:19,672,526,24,40,78,84,"",1318,1155,1016,855,72,81,96.7,91,16,94,11,-7,5.6,1.3,6.9,67.0,55.3
