Name,Season,Age,Tm,Lg,GP,G,A,PTS,PIM,S,TSA,TOI,ATOI,FOW,FOL,BLK,HIT,TK,GV,Awards,CF,CA,FF,FA,oiGF,oiGA,PDO,TGF,PGF,TGA,PGA,+/-,OPS,DPS,PS
Pierre Turgeon,1987-88,18,BUF,NHL,76,14,28,42,34,101,,"","",,,,,,,"",,,,,,,,68,28,48,0,-8,1.3,0.7,1.9
Pierre Turgeon,1988-89,19,BUF,NHL,80,34,54,88,26,182,,"","",,,,,,,Byng-15,,,,,,,,117,53,87,21,-2,5.7,1.0,6.7
Pierre Turgeon,1989-90,20,BUF,NHL,80,40,66,106,29,193,,"","",,,,,,,"AS-6,Byng-4",,,,,,,,140,61,86,17,10,7.7,1.4,9.1
Pierre Turgeon,1990-91,21,BUF,NHL,78,32,47,79,26,174,,"","",,,,,,,"",,,,,,,,114,36,80,16,14,6.1,1.4,7.5
Pierre Turgeon,1991-92,22,TOT,NHL,77,40,55,95,20,207,,"","",,,,,,,Byng-4,,,,,,,,119,45,84,17,7,7.5,1.1,8.6
Pierre Turgeon,1992-93,23,NYI,NHL,83,58,74,132,26,301,,"","",,,,,,,"AS-6,Byng-1,Hart-5",,,,,,,,166,76,93,2,-1,11.0,1.0,12.0
Pierre Turgeon,1993-94,24,NYI,NHL,69,38,56,94,18,254,,"","",,,,,,,Byng-3,,,,,,,,120,46,76,16,14,8.5,1.2,9.7
Pierre Turgeon,1994-95,25,TOT,NHL,49,24,23,47,14,160,,"","",,,,,,,"",,,,,,,,54,18,48,12,0,4.7,0.7,5.4
Pierre Turgeon,1995-96,26,MTL,NHL,80,38,58,96,44,297,,"","",,,,,,,Byng-8,,,,,,,,128,57,63,11,19,8.6,1.6,10.2
Pierre Turgeon,1996-97,27,TOT,NHL,78,26,59,85,14,216,,"","",,,,,,,"AS-8,Byng-7",,,,,,,,116,39,78,9,8,7.4,1.3,8.7
Pierre Turgeon,1997-98,28,STL,NHL,60,22,46,68,24,140,,"","",,,,,,,Byng-8,,,,,,,,90,32,48,3,13,7.0,1.1,8.1
Pierre Turgeon,1998-99,29,STL,NHL,67,31,34,65,36,193,,1281,19:07,,,,,,,"",,,,,,,,81,28,50,1,4,6.4,1.5,7.9
Pierre Turgeon,1999-00,30,STL,NHL,52,26,40,66,8,139,,999,19:13,,,,,,,"AS-8,Byng-12,Selke-21",,,,,,,,82,31,22,1,30,6.7,2.4,9.0
Pierre Turgeon,2000-01,31,STL,NHL,79,30,52,82,37,171,,1488,18:50,,,,,,,Byng-12,,,,,,,,110,47,51,2,14,7.6,2.2,9.8
Pierre Turgeon,2001-02,32,DAL,NHL,66,15,32,47,16,121,,1090,16:31,,,,,,,"",,,,,,,,63,31,37,1,-4,3.7,1.0,4.7
Pierre Turgeon,2002-03,33,DAL,NHL,65,12,30,42,18,76,,951,14:38,,,,,,,"",,,,,,,,54,18,32,0,4,3.2,1.2,4.3
Pierre Turgeon,2003-04,34,DAL,NHL,76,15,25,40,20,104,,1081,14:13,,,,,,,Byng-49,,,,,,,,54,17,20,0,17,3.0,2.2,5.3
Pierre Turgeon,2005-06,36,COL,NHL,62,16,30,46,32,94,,793,12:47,,,,,,,"",,,,,,,,61,28,33,1,1,3.7,0.9,4.6
Pierre Turgeon,2006-07,37,COL,NHL,17,4,3,7,10,31,,173,10:10,,,,,,,"",,,,,,,,9,4,6,0,-1,0.6,0.1,0.8
Brendan Shanahan,1987-88,19,NJD,NHL,65,7,19,26,131,72,"","","","","","","","","","",,,,,,,,34,11,43,0,-20,0.0,0.3,0.3
Brendan Shanahan,1988-89,20,NJD,NHL,68,22,28,50,115,152,"","","","","","","","","","",,,,,,,,73,27,44,0,2,2.5,0.9,3.4
Brendan Shanahan,1989-90,21,NJD,NHL,73,30,42,72,137,196,"","","","","","","","","","",,,,,,,,115,35,66,1,15,4.7,1.3,5.9
Brendan Shanahan,1990-91,22,NJD,NHL,75,29,37,66,141,195,"","","","","","","","","",AS-9,,,,,,,,91,31,58,2,4,4.6,1.0,5.6
Brendan Shanahan,1991-92,23,STL,NHL,80,33,36,69,171,215,"","","","","","","","","","",,,,,,,,105,44,65,1,-3,4.8,0.9,5.7
Brendan Shanahan,1992-93,24,STL,NHL,71,51,43,94,174,232,"","","","","","","","","",AS-4,,,,,,,,131,61,61,1,10,8.1,1.4,9.5
Brendan Shanahan,1993-94,25,STL,NHL,81,52,50,102,211,397,"","","","","","","","","",AS-1,,,,,,,,145,69,106,21,-9,9.9,0.8,10.7
Brendan Shanahan,1994-95,26,STL,NHL,45,20,21,41,136,153,"","","","","","","","","",AS-3,,,,,,,,56,15,46,12,7,3.9,0.5,4.4
Brendan Shanahan,1995-96,27,HAR,NHL,74,44,34,78,125,280,"","","","","","","","","",AS-4,,,,,,,,109,51,78,22,2,7.9,1.0,8.9
Brendan Shanahan,1996-97,28,TOT,NHL,81,47,41,88,131,336,"","","","","","","","","","AS-4,Hart-19",,,,,,,,128,49,53,6,32,9.3,2.3,11.6
Brendan Shanahan,1997-98,29,DET,NHL,75,28,29,57,154,266,"","","","","","","","","",AS-4,,,,,,,,80,36,45,7,6,5.9,1.0,6.9
Brendan Shanahan,1998-99,30,DET,NHL,81,31,27,58,123,288,"",1419,17:31,"","","","","","",AS-10,,,,,,,,89,32,57,2,2,5.2,1.5,6.7
Brendan Shanahan,1999-00,31,DET,NHL,78,41,37,78,105,283,"",1449,18:35,"","","","","","","AS-1,Hart-15",,,,,,,,115,42,56,7,24,8.3,2.2,10.5
Brendan Shanahan,2000-01,32,DET,NHL,81,31,45,76,81,278,"",1488,18:22,"","","","","","","AS-6,Selke-43",,,,,,,,114,57,53,5,9,6.9,2.0,8.9
Brendan Shanahan,2001-02,33,DET,NHL,80,37,38,75,118,277,"",1513,18:55,"","","","","","","AS-12,AS-2,Hart-9",,,,,,,,106,43,48,8,23,7.8,2.5,10.3
Brendan Shanahan,2002-03,34,DET,NHL,78,30,38,68,103,260,"",1454,18:38,"","","","","","","AS-3,Clancy-1",,,,,,,,101,44,63,11,5,6.5,1.4,7.9
Brendan Shanahan,2003-04,35,DET,NHL,82,25,28,53,117,280,"",1483,18:05,"","","","","","","",,,,,,,,90,36,52,13,15,4.6,2.1,6.7
Brendan Shanahan,2005-06,37,DET,NHL,82,40,41,81,105,289,"",1360,16:35,"","","","","","",AS-7,,,,,,,,114,45,42,2,29,8.0,2.5,10.5
Brendan Shanahan,2006-07,38,NYR,NHL,67,29,33,62,47,295,"",1328,19:49,"","","","","","","AS-19,Hart-16",,,,,,,,85,44,55,16,2,5.5,1.7,7.2
Brendan Shanahan,2007-08,39,NYR,NHL,73,23,23,46,35,265,418,1351,18:31,6,2,47,47,32,33,"Byng-55,Selke-65",848,775,657,555,38,38,98.9,72,32,57,15,-2,3.5,1.7,5.2
Brendan Shanahan,2008-09,40,NJD,NHL,34,6,8,14,29,77,123,506,14:54,12,15,21,18,14,10,"",308,363,232,272,12,14,100.0,16,3,19,4,-2,0.6,0.5,1.1
Glen Wesley,1987-88,19,BOS,NHL,79,7,30,37,69,158,"","","","","","","","","",Calder-4,,,,,,,,111,26,91,27,21,1.6,5.5,7.1
Glen Wesley,1988-89,20,BOS,NHL,77,19,35,54,61,181,"","","","","","","","","","",,,,,,,,136,48,92,27,23,3.8,6.0,9.8
Glen Wesley,1989-90,21,BOS,NHL,78,9,27,36,48,166,"","","","","","","","","","",,,,,,,,122,55,82,21,6,1.8,5.2,6.9
Glen Wesley,1990-91,22,BOS,NHL,80,11,32,43,78,199,"","","","","","","","","","",,,,,,,,135,53,109,27,0,2.6,3.9,6.5
Glen Wesley,1991-92,23,BOS,NHL,78,9,37,46,54,211,"","","","","","","","","","",,,,,,,,111,45,102,27,-9,2.7,3.7,6.3
Glen Wesley,1992-93,24,BOS,NHL,64,8,25,33,47,183,"","","","","","","","","","",,,,,,,,95,38,82,23,-2,1.7,3.3,5.0
Glen Wesley,1993-94,25,BOS,NHL,81,14,44,58,64,265,"","","","","","","","","","",,,,,,,,124,65,77,19,1,4.3,4.7,9.0
Glen Wesley,1994-95,26,HAR,NHL,48,2,14,16,50,125,"","","","","","","","","","",,,,,,,,57,23,56,16,-6,0.6,2.2,2.8
Glen Wesley,1995-96,27,HAR,NHL,68,8,16,24,88,129,"","","","","","","","","","",,,,,,,,73,30,91,39,-9,1.5,2.6,4.1
Glen Wesley,1996-97,28,HAR,NHL,68,6,26,32,40,126,"","","","","","","","","","",,,,,,,,75,19,72,16,0,2.3,3.6,5.9
Glen Wesley,1997-98,29,CAR,NHL,82,6,19,25,36,121,"","","","","","","","","","",,,,,,,,66,13,61,15,7,1.5,4.6,6.1
Glen Wesley,1998-99,30,CAR,NHL,74,7,17,24,44,112,"",1666,22:31,"","","","","","","",,,,,,,,67,12,56,15,14,1.5,4.1,5.6
Glen Wesley,1999-00,31,CAR,NHL,78,7,15,22,38,99,"",1680,21:32,"","","","","","","",,,,,,,,58,13,64,15,-4,1.2,4.0,5.2
Glen Wesley,2000-01,32,CAR,NHL,71,5,16,21,42,92,"",1587,22:21,"","","","","","","",,,,,,,,68,22,71,23,-2,1.0,4.3,5.2
Glen Wesley,2001-02,33,CAR,NHL,77,5,13,18,56,88,"",1557,20:13,"","","","","","","",,,,,,,,50,7,73,22,-8,0.9,2.8,3.6
Glen Wesley,2002-03,34,TOT,NHL,70,1,10,11,44,77,"",1493,21:20,"","","","","","","",,,,,,,,46,12,63,27,-2,-0.3,3.6,3.4
Glen Wesley,2003-04,35,CAR,NHL,74,0,6,6,32,82,"",1581,21:22,"","","","","","","",,,,,,,,54,3,65,32,18,-1.1,5.3,4.2
Glen Wesley,2005-06,37,CAR,NHL,64,2,8,10,46,28,"",990,15:28,"","","","","","","",,,,,,,,42,0,57,25,10,0.0,2.5,2.5
Glen Wesley,2006-07,38,CAR,NHL,68,1,12,13,56,51,"",1060,15:35,"","","","","","","",,,,,,,,51,4,60,24,11,0.2,3.1,3.3
