Name,Season,Age,Tm,Lg,GP,G,A,PTS,PIM,S,TSA,TOI,ATOI,FOW,FOL,BLK,HIT,TK,GV,Awards,CF,CA,FF,FA,oiGF,oiGA,PDO,TGF,PGF,TGA,PGA,+/-,OPS,DPS,PS,xGF,xGA
Sidney Crosby,2005-06,18,PIT,NHL,81,39,63,102,110,278,"",1630,20:08,"","","","","","","AS-3,Calder-2,Hart-24",,,,,,,,135,60,84,8,-1,8.9,1.6,10.5,"",""
Sidney Crosby,2006-07,19,PIT,NHL,79,36,84,120,60,250,"",1640,20:46,"","","","","","","AS-1,Byng-29,Hart-1,Pearson-1,Ross-1",,,,,,,,137,73,56,2,10,11.3,2.0,13.3,"",""
Sidney Crosby,2007-08,20,PIT,NHL,53,24,48,72,39,173,280,1105,20:51,567,536,40,50,35,37,"AS-5,AS-6,Byng-34,Hart-17",782,750,623,552,51,32,103.9,90,37,40,5,18,7.2,1.9,9.0,"",""
Sidney Crosby,2008-09,21,PIT,NHL,77,33,70,103,76,238,388,1690,21:57,829,786,42,80,56,80,"AS-3,Byng-35,Hart-6",1177,1197,898,868,74,62,101.6,129,53,81,8,3,9.4,1.7,11.1,"",""
Sidney Crosby,2009-10,22,PIT,NHL,81,51,58,109,71,298,497,1778,21:57,992,781,42,62,43,77,"AS-2,Byng-54,Hart-3,Messier-1,Richard-1,Selke-30",1432,1144,1099,847,87,68,99.7,138,48,79,4,15,12.2,2.4,14.7,"",""
Sidney Crosby,2010-11,23,PIT,NHL,41,32,34,66,31,161,278,899,21:55,546,435,23,31,15,29,"AS-5,Hart-20",722,621,536,472,50,29,104.4,78,26,33,1,20,8.2,1.9,10.1,"",""
Sidney Crosby,2011-12,24,PIT,NHL,22,8,29,37,14,75,126,406,18:28,227,226,7,11,10,15,Byng-28,393,283,304,216,33,16,104.7,46,13,18,0,15,3.9,1.0,5.0,"",""
Sidney Crosby,2012-13,25,PIT,NHL,36,15,41,56,16,124,203,760,21:06,453,381,18,21,15,28,"AS-1,Byng-33,Hart-2,Pearson-1,Selke-15",676,524,507,388,50,21,106.4,73,23,24,0,26,5.8,1.7,7.5,"",""
Sidney Crosby,2013-14,26,PIT,NHL,80,36,68,104,46,259,421,1758,21:58,991,896,28,47,41,56,"AS-1,Hart-1,Pearson-1,Ross-1,Selke-18",1401,1239,1060,914,80,58,101.2,137,57,65,2,18,10.7,2.8,13.5,"",""
Sidney Crosby,2014-15,27,PIT,NHL,77,28,56,84,47,237,380,1538,19:58,797,789,29,66,37,53,"AS-2,Hart-5,Selke-19",1316,1023,987,767,63,48,100.2,105,41,61,3,5,8.2,2.0,10.3,62.1,46.5
Sidney Crosby,2015-16,28,PIT,NHL,80,36,49,85,42,248,446,1638,20:28,986,921,35,90,40,47,"AS-1,Byng-35,Hart-2,Selke-7,Smythe-1",1421,1160,1049,855,75,53,101.2,114,39,59,4,19,9.1,2.4,11.5,64.8,54.2
Sidney Crosby,2016-17,29,PIT,NHL,75,44,45,89,24,255,411,1491,19:53,842,906,27,80,39,70,"AS-2,Byng-16,Hart-2,Richard-1,Selke-10,Smythe-1",1355,1192,1019,889,78,55,101.7,121,43,61,0,17,10.5,1.7,12.3,69.8,55.0
Sidney Crosby,2017-18,30,PIT,NHL,82,29,60,89,46,247,412,1697,20:41,1026,909,36,75,42,76,"AS-5,Hart-17,Selke-9",1579,1246,1222,895,70,67,97.8,128,58,73,3,0,7.3,1.8,9.1,73.4,55.9
Sidney Crosby,2018-19,31,PIT,NHL,79,35,65,100,36,220,348,1658,21:00,1012,814,43,85,54,67,"AS-2,Byng-27,Hart-2,Selke-4",1500,1287,1132,964,94,65,101.9,139,43,83,5,18,8.9,2.4,11.4,71.1,52.6
Bobby Ryan,2007-08,20,ANA,NHL,23,5,5,10,6,37,57,259,11:16,1,0,5,20,11,7,"",163,134,139,101,7,7,95.6,12,5,8,0,-1,0.9,0.3,1.2,"",""
Bobby Ryan,2008-09,21,ANA,NHL,64,31,26,57,33,174,289,988,15:26,6,7,10,78,22,39,"AS-20,Calder-2",809,604,636,489,53,35,102.2,82,29,40,0,13,6.2,1.6,7.8,"",""
Bobby Ryan,2009-10,22,ANA,NHL,81,35,29,64,81,258,465,1498,18:29,41,52,17,127,41,29,"AS-12,Selke-54",1206,1089,942,883,70,55,101.8,97,27,61,0,9,6.6,1.8,8.4,"",""
Bobby Ryan,2010-11,23,ANA,NHL,82,34,37,71,61,270,423,1655,20:11,87,132,34,156,62,42,AS-12,1246,1298,968,984,82,62,103.1,107,23,79,10,15,6.6,2.5,9.2,"",""
Bobby Ryan,2011-12,24,ANA,NHL,82,31,26,57,53,204,369,1505,18:21,19,48,24,111,35,49,"",1127,1110,838,837,55,54,100.1,73,15,62,5,1,5.7,1.8,7.5,"",""
Bobby Ryan,2012-13,25,ANA,NHL,46,11,19,30,17,101,185,763,16:35,25,56,29,80,24,23,"",620,628,447,458,32,26,101.8,46,14,29,0,3,2.4,0.9,3.3,"",""
