Name,Season,Age,Tm,Lg,GP,G,A,PTS,PIM,S,TSA,TOI,ATOI,FOW,FOL,BLK,HIT,TK,GV,Awards,CF,CA,FF,FA,oiGF,oiGA,PDO,TGF,PGF,TGA,PGA,+/-,OPS,DPS,PS
Joe Murphy,1986-87,19,DET,NHL,5,0,1,1,2,3,,"","",,,,,,,"",,,,,,,,1,0,1,0,0,-0.1,0.1,0.0
Joe Murphy,1987-88,20,DET,NHL,50,10,9,19,37,82,,"","",,,,,,,"",,,,,,,,28,6,26,0,-4,0.3,0.4,0.7
Joe Murphy,1988-89,21,DET,NHL,26,1,7,8,28,29,,"","",,,,,,,"",,,,,,,,14,5,16,0,-7,-0.4,0.1,-0.2
Joe Murphy,1989-90,22,TOT,NHL,71,10,19,29,60,117,,"","",,,,,,,"",,,,,,,,51,5,41,0,5,0.1,1.0,1.1
Joe Murphy,1990-91,23,EDM,NHL,80,27,35,62,35,141,,"","",,,,,,,"",,,,,,,,82,21,69,10,2,3.9,1.0,4.9
Joe Murphy,1991-92,24,EDM,NHL,80,35,47,82,52,193,,"","",,,,,,,"",,,,,,,,122,36,86,17,17,6.1,1.2,7.3
Joe Murphy,1992-93,25,CHI,NHL,19,7,10,17,18,43,,"","",,,,,,,"",,,,,,,,27,18,12,0,-3,1.1,0.2,1.3
Joe Murphy,1993-94,26,CHI,NHL,81,31,39,70,111,222,,"","",,,,,,,"",,,,,,,,100,42,69,12,1,5.3,1.1,6.5
Joe Murphy,1994-95,27,CHI,NHL,40,23,18,41,89,120,,"","",,,,,,,"",,,,,,,,50,21,28,6,7,4.3,0.8,5.1
Joe Murphy,1995-96,28,CHI,NHL,70,22,29,51,86,212,,"","",,,,,,,"",,,,,,,,72,26,52,3,-3,3.5,0.7,4.1
Joe Murphy,1996-97,29,STL,NHL,75,20,25,45,69,151,,"","",,,,,,,"",,,,,,,,65,18,56,8,-1,3.2,0.9,4.2
Joe Murphy,1997-98,30,TOT,NHL,37,9,13,22,36,81,,"","",,,,,,,"",,,,,,,,37,14,14,0,9,1.8,0.8,2.6
Joe Murphy,1998-99,31,SJS,NHL,76,25,23,48,73,176,,1121,14:45,,,,,,,"",,,,,,,,63,22,31,0,10,4.6,1.7,6.3
Joe Murphy,1999-00,32,TOT,NHL,55,12,15,27,94,118,,815,14:49,,,,,,,"",,,,,,,,36,10,27,2,1,1.8,0.9,2.8
Joe Murphy,2000-01,33,WSH,NHL,14,1,5,6,20,22,,175,12:31,,,,,,,"",,,,,,,,10,7,8,0,-5,0.2,0.0,0.2
Jimmy Carson,1986-87,18,LAK,NHL,80,37,42,79,22,215,,"","",,,,,,,Calder-3,,,,,,,,105,48,64,2,-5,5.4,0.8,6.2
Jimmy Carson,1987-88,19,LAK,NHL,80,55,52,107,45,264,,"","",,,,,,,"AS-9,AS-6,Byng-5",,,,,,,,141,68,94,2,-19,8.9,0.5,9.4
Jimmy Carson,1988-89,20,EDM,NHL,80,49,51,100,36,240,,"","",,,,,,,Byng-4,,,,,,,,128,49,77,1,3,7.6,1.0,8.6
Jimmy Carson,1989-90,21,TOT,NHL,48,21,18,39,8,138,,"","",,,,,,,"",,,,,,,,59,27,40,0,-8,2.6,0.3,2.9
Jimmy Carson,1990-91,22,DET,NHL,64,21,25,46,28,175,,"","",,,,,,,"",,,,,,,,67,21,44,1,3,2.8,0.8,3.6
Jimmy Carson,1991-92,23,DET,NHL,80,34,35,69,30,150,,"","",,,,,,,"",,,,,,,,93,26,50,0,17,5.1,1.2,6.3
Jimmy Carson,1992-93,24,TOT,NHL,86,37,36,73,32,189,,"","",,,,,,,Byng-12,,,,,,,,105,49,58,0,-2,4.8,0.8,5.6
Jimmy Carson,1993-94,25,TOT,NHL,59,11,17,28,24,129,,"","",,,,,,,"",,,,,,,,43,13,46,1,-15,1.0,0.3,1.3
Jimmy Carson,1994-95,26,HAR,NHL,38,9,10,19,29,58,,"","",,,,,,,"",,,,,,,,27,8,14,0,5,1.1,0.7,1.8
Jimmy Carson,1995-96,27,HAR,NHL,11,1,0,1,0,9,,"","",,,,,,,"",,,,,,,,2,0,1,0,1,-0.3,0.2,-0.1
Neil Brady,1989-90,21,NJD,NHL,19,1,4,5,13,10,,"","",,,,,,,"",,,,,,,,7,0,11,3,-1,-0.3,0.2,-0.1
Neil Brady,1990-91,22,NJD,NHL,3,0,0,0,0,6,,"","",,,,,,,"",,,,,,,,0,0,0,0,0,-0.1,0.0,-0.1
Neil Brady,1991-92,23,NJD,NHL,7,1,0,1,4,3,,"","",,,,,,,"",,,,,,,,1,0,0,0,1,-0.1,0.1,0.0
Neil Brady,1992-93,24,OTT,NHL,55,7,17,24,57,68,,"","",,,,,,,"",,,,,,,,37,19,45,2,-25,0.3,0.3,0.6
Neil Brady,1993-94,25,DAL,NHL,5,0,1,1,21,1,,"","",,,,,,,"",,,,,,,,1,0,2,0,-1,-0.1,0.0,-0.1
Zarley Zalapski,1987-88,19,PIT,NHL,15,3,8,11,7,31,,"","",,,,,,,"",,,,,,,,29,6,21,8,10,0.7,1.2,1.9
Zarley Zalapski,1988-89,20,PIT,NHL,58,12,33,45,57,95,,"","",,,,,,,"",,,,,,,,120,61,72,22,9,3.0,2.5,5.5
Zarley Zalapski,1989-90,21,PIT,NHL,51,6,25,31,37,85,,"","",,,,,,,"",,,,,,,,74,36,74,22,-14,1.6,1.0,2.7
Zarley Zalapski,1990-91,22,TOT,NHL,77,15,39,54,65,156,,"","",,,,,,,AS-13,,,,,,,,117,43,97,31,8,3.7,3.3,7.0
Zarley Zalapski,1991-92,23,HAR,NHL,79,20,37,57,120,230,,"","",,,,,,,AS-16,,,,,,,,132,52,112,25,-7,4.4,3.9,8.3
Zarley Zalapski,1992-93,24,HAR,NHL,83,14,51,65,94,192,,"","",,,,,,,"",,,,,,,,134,66,157,55,-34,4.2,1.6,5.8
Zarley Zalapski,1993-94,25,TOT,NHL,69,10,37,47,74,156,,"","",,,,,,,"",,,,,,,,98,45,80,21,-6,3.3,3.2,6.5
Zarley Zalapski,1994-95,26,CGY,NHL,48,4,24,28,46,76,,"","",,,,,,,"",,,,,,,,61,12,51,11,9,1.9,2.7,4.6
Zarley Zalapski,1995-96,27,CGY,NHL,80,12,17,29,115,145,,"","",,,,,,,"",,,,,,,,107,30,105,39,11,2.1,5.0,7.1
Zarley Zalapski,1996-97,28,CGY,NHL,2,0,0,0,0,7,,"","",,,,,,,"",,,,,,,,1,0,3,1,-1,0.0,0.0,0.0
Zarley Zalapski,1997-98,29,TOT,NHL,63,3,12,15,63,73,,"","",,,,,,,"",,,,,,,,46,13,58,12,-13,0.5,1.6,2.1
Zarley Zalapski,1999-00,31,PHI,NHL,12,0,2,2,6,6,,170,14:12,,,,,,,"",,,,,,,,9,1,12,4,0,0.0,0.4,0.5
Shawn Anderson,1986-87,18,BUF,NHL,41,2,11,13,23,26,,"","",,,,,,,"",,,,,,,,30,5,29,4,3,0.3,2.1,2.4
Shawn Anderson,1987-88,19,BUF,NHL,23,1,2,3,17,29,,"","",,,,,,,"",,,,,,,,25,8,25,5,-3,-0.2,0.9,0.7
Shawn Anderson,1988-89,20,BUF,NHL,33,2,10,12,18,26,,"","",,,,,,,"",,,,,,,,31,5,31,8,3,0.4,1.8,2.2
Shawn Anderson,1989-90,21,BUF,NHL,16,1,3,4,8,16,,"","",,,,,,,"",,,,,,,,17,4,11,0,2,0.0,1.0,1.1
Shawn Anderson,1990-91,22,QUE,NHL,31,3,10,13,21,44,,"","",,,,,,,"",,,,,,,,31,7,22,0,2,0.6,1.4,2.0
