Name,Season,Age,Tm,Lg,GP,G,A,PTS,PIM,S,TSA,TOI,ATOI,FOW,FOL,BLK,HIT,TK,GV,Awards,CF,CA,FF,FA,oiGF,oiGA,PDO,TGF,PGF,TGA,PGA,+/-,OPS,DPS,PS,xGF,xGA
Nail Yakupov,2012-13,19,EDM,NHL,48,17,14,31,24,81,162,699,14:34,0,6,14,41,18,23,Calder-5,451,601,326,450,25,28,101.9,39,14,29,0,-4,3.3,0.7,4.0,"",""
Nail Yakupov,2013-14,20,EDM,NHL,63,11,13,24,36,122,217,902,14:19,0,0,23,64,18,32,"",652,798,503,602,27,54,95.2,35,8,60,0,-33,1.4,-0.3,1.1,28.4,36.5
Nail Yakupov,2014-15,21,EDM,NHL,81,14,19,33,18,191,337,1251,15:27,0,1,28,97,34,55,"",963,1099,708,833,32,65,95.3,50,18,67,0,-35,1.9,0.0,1.9,41.0,50.2
Nail Yakupov,2015-16,22,EDM,NHL,60,8,15,23,24,127,220,853,14:13,0,1,21,54,27,41,"",696,707,501,524,25,37,96.6,35,10,41,0,-16,1.1,0.4,1.5,32.6,30.6
Nail Yakupov,2016-17,23,STL,NHL,40,3,6,9,14,35,68,426,10:39,0,0,8,32,11,3,"",357,339,268,246,16,19,97.6,17,1,20,0,-3,0.1,0.4,0.5,15.8,13.1
Nail Yakupov,2017-18,24,COL,NHL,58,9,7,16,26,94,163,629,10:50,0,2,9,60,17,16,"",448,486,325,369,25,20,103.1,34,9,23,0,2,0.8,0.8,1.7,18.9,19.6
Ryan Murray,2013-14,20,CBJ,NHL,66,4,17,21,10,62,138,1311,19:52,0,0,94,25,12,26,"",949,900,697,681,46,45,100.6,60,11,60,15,4,1.2,3.3,4.5,"",""
Ryan Murray,2014-15,21,CBJ,NHL,12,1,2,3,8,8,17,227,18:55,0,0,11,5,5,2,"",170,167,139,129,8,8,98.8,11,2,10,2,1,0.2,0.5,0.7,8.0,5.3
Ryan Murray,2015-16,22,CBJ,NHL,82,4,21,25,40,90,198,1873,22:51,0,0,171,51,17,39,"",1311,1456,981,1042,64,68,99.5,92,28,89,16,-10,0.9,2.9,3.8,68.4,67.5
Ryan Murray,2016-17,23,CBJ,NHL,60,2,9,11,24,52,110,1100,18:20,0,0,96,23,8,18,"",805,957,596,715,40,40,101.1,44,1,50,10,3,0.1,2.4,2.4,38.3,40.3
Ryan Murray,2017-18,24,CBJ,NHL,44,1,11,12,8,34,86,811,18:26,0,0,75,31,11,18,"",637,642,479,457,28,24,101.0,29,1,31,7,4,0.3,2.0,2.3,29.4,30.2
Ryan Murray,2018-19,25,CBJ,NHL,56,1,28,29,10,71,141,1201,21:26,0,0,93,27,22,30,"",963,960,752,711,64,48,102.3,69,1,61,13,20,1.6,4.1,5.7,50.2,46.4
Alex Galchenyuk,2012-13,18,MTL,NHL,48,9,18,27,20,79,143,591,12:19,59,79,25,23,9,8,Calder-9,534,509,393,352,33,19,104.4,37,4,19,0,14,2.3,1.1,3.5,99.9,92.0
Alex Galchenyuk,2013-14,19,MTL,NHL,65,13,18,31,26,110,193,936,14:24,5,10,25,49,30,23,"",756,838,553,590,28,41,97.7,43,14,42,0,-12,2.4,0.7,3.0,"",""
Alex Galchenyuk,2014-15,20,MTL,NHL,80,20,26,46,39,163,300,1314,16:26,82,85,44,91,24,28,"",1143,1105,806,793,51,42,101.4,72,21,44,1,8,3.8,1.8,5.6,48.2,42.4
Alex Galchenyuk,2015-16,21,MTL,NHL,82,30,26,56,20,201,360,1333,16:16,359,390,36,62,31,36,"",1189,1039,878,758,57,60,98.3,81,24,66,0,-8,5.8,1.2,7.0,46.8,43.7
Alex Galchenyuk,2016-17,22,MTL,NHL,61,17,27,44,24,104,198,972,15:56,274,368,32,36,17,34,"",839,827,613,624,42,44,100.2,60,18,47,0,-5,4.0,0.9,4.9,36.9,42.2
Alex Galchenyuk,2017-18,23,MTL,NHL,82,19,32,51,22,213,382,1331,16:14,49,60,37,33,29,56,"",1105,1137,773,840,31,56,96.1,67,36,61,0,-31,3.7,0.5,4.2,43.3,46.9
Alex Galchenyuk,2018-19,24,ARI,NHL,72,19,22,41,34,159,288,1133,15:44,188,223,34,62,28,40,"",848,900,618,673,29,44,97.5,56,27,48,0,-19,3.1,1.0,4.1,36.4,45.8
Griffin Reinhart,2014-15,21,NYI,NHL,8,0,1,1,6,4,11,113,14:10,0,0,8,14,0,2,"",90,109,70,77,6,5,104.0,6,0,6,1,1,0.0,0.3,0.3,3.7,5.5
