Name,Season,Age,Tm,Lg,GP,G,A,PTS,PIM,S,TSA,TOI,ATOI,FOW,FOL,BLK,HIT,TK,GV,Awards,CF,CA,FF,FA,oiGF,oiGA,PDO,TGF,PGF,TGA,PGA,+/-,OPS,DPS,PS,xGF,xGA
Nathan MacKinnon,2013-14,18,COL,NHL,82,24,39,63,26,241,388,1422,17:21,194,258,45,57,51,28,Calder-1,1154,1279,852,961,68,46,104.1,94,26,49,2,20,5.7,2.1,7.7,"",""
Nathan MacKinnon,2014-15,19,COL,NHL,64,14,24,38,34,192,323,1091,17:03,201,227,41,43,45,38,"",918,937,689,692,41,47,98.4,53,12,50,2,-7,2.8,0.9,3.7,38.9,42.0
Nathan MacKinnon,2015-16,20,COL,NHL,72,21,31,52,20,245,417,1358,18:52,507,540,53,46,28,39,"",1067,1196,824,856,52,54,99.7,79,26,62,5,-4,4.3,1.4,5.7,46.1,50.2
Nathan MacKinnon,2016-17,21,COL,NHL,82,16,37,53,16,251,435,1635,19:57,768,752,30,56,47,45,"",1302,1207,996,934,59,74,97.3,84,23,95,20,-14,3.1,1.7,4.8,55.9,53.8
Nathan MacKinnon,2017-18,22,COL,NHL,74,39,58,97,55,284,496,1473,19:54,484,672,22,38,36,41,"AS-2,Byng-33,Hart-2",1238,1195,909,893,79,64,102.3,126,46,72,3,11,10.0,2.2,12.2,54.2,53.5
Nathan MacKinnon,2018-19,23,COL,NHL,82,41,58,99,34,365,582,1812,22:05,518,666,31,54,48,64,"AS-3,Hart-6",1581,1392,1180,1059,90,68,101.2,141,51,73,2,20,9.1,2.7,11.8,77.9,67.4
Aleksander Barkov,2013-14,18,FLA,NHL,54,8,16,24,10,87,134,923,17:06,400,419,27,16,30,17,Calder-16,735,683,563,529,33,36,98.9,42,9,36,0,-3,1.1,0.8,1.9,"",""
Aleksander Barkov,2014-15,19,FLA,NHL,71,16,20,36,16,123,199,1242,17:30,462,540,35,35,42,27,Selke-38,954,851,705,647,39,40,98.9,56,17,46,3,-4,2.4,1.2,3.6,40.7,37.0
Aleksander Barkov,2015-16,20,FLA,NHL,66,28,31,59,8,171,255,1282,19:26,569,587,39,43,45,29,"Byng-2,Selke-6",822,875,659,677,58,41,103.4,82,21,59,16,18,6.4,2.0,8.4,39.1,38.5
Aleksander Barkov,2016-17,21,FLA,NHL,61,21,31,52,10,142,226,1184,19:24,476,547,30,39,49,30,"Byng-13,Selke-17",911,728,704,594,51,37,101.2,71,20,44,5,13,4.8,2.1,6.9,40.3,33.9
Aleksander Barkov,2017-18,22,FLA,NHL,79,27,51,78,14,256,376,1744,22:04,908,789,67,30,82,63,"Byng-3,Selke-4",1395,1294,1088,983,80,73,99.7,116,31,83,7,9,5.8,2.2,8.0,66.5,60.5
Aleksander Barkov,2018-19,23,FLA,NHL,82,35,61,96,8,206,317,1833,22:21,1041,898,61,28,100,69,"AS-6,Byng-1,Hart-16,Selke-5",1298,1318,1002,1023,88,82,100.1,144,55,115,23,-3,7.9,2.1,10.0,63.3,64.6
Jonathan Drouin,2014-15,19,TBL,NHL,70,4,28,32,34,76,155,927,13:14,10,11,17,56,36,26,"",752,647,573,484,35,30,99.2,47,12,32,0,3,1.5,0.9,2.4,33.7,28.5
Jonathan Drouin,2015-16,20,TBL,NHL,21,4,6,10,4,25,56,303,14:27,9,10,2,18,8,11,"",227,221,155,167,13,11,104.7,16,3,12,0,1,0.8,0.4,1.2,6.7,9.2
Jonathan Drouin,2016-17,21,TBL,NHL,73,21,32,53,16,183,323,1293,17:42,96,124,16,50,45,65,"",1008,904,761,706,42,49,98.6,79,37,55,0,-13,4.5,1.0,5.5,42.8,42.0
Jonathan Drouin,2017-18,22,MTL,NHL,77,13,33,46,30,164,299,1355,17:36,447,604,27,55,56,58,"",1128,1102,825,835,36,59,96.2,70,34,64,0,-28,2.5,0.6,3.1,46.2,48.9
Jonathan Drouin,2018-19,23,MTL,NHL,81,18,35,53,26,190,325,1371,16:56,37,51,23,55,50,48,"",1213,1098,879,825,55,61,98.5,77,22,64,0,-8,3.3,1.1,4.4,52.3,52.0
Seth Jones,2013-14,19,NSH,NHL,77,6,19,25,24,100,225,1511,19:37,0,0,99,55,25,57,Calder-11,1076,1080,808,794,38,63,95.3,58,19,76,13,-23,1.6,1.4,3.0,"",""
Seth Jones,2014-15,20,NSH,NHL,82,8,19,27,20,123,264,1630,19:53,0,0,90,72,41,46,"",1285,1089,948,807,51,46,99.8,67,15,67,18,3,1.9,3.5,5.4,49.1,43.5
Seth Jones,2015-16,21,TOT,NHL,81,3,28,31,22,157,344,1788,22:05,0,0,118,86,25,69,"",1430,1273,1042,896,46,57,97.4,65,17,79,18,-14,1.6,2.6,4.2,61.6,57.2
Seth Jones,2016-17,22,CBJ,NHL,75,12,30,42,24,152,297,1755,23:24,0,0,118,61,32,44,"AS-14,Norris-18",1438,1308,1048,961,62,61,99.0,77,11,81,20,6,3.9,3.9,7.8,58.6,55.4
Seth Jones,2017-18,23,CBJ,NHL,78,16,41,57,30,249,485,1919,24:36,0,0,124,92,67,55,"AS-4,AS-2,Norris-4",1659,1408,1283,1044,69,59,99.7,97,27,76,16,10,5.2,4.7,9.9,75.8,65.6
Seth Jones,2018-19,24,CBJ,NHL,75,9,37,46,28,184,377,1937,25:49,0,0,133,106,59,69,"AS-9,Norris-9",1556,1445,1204,1087,86,88,99.0,107,14,108,16,1,3.3,4.2,7.5,73.6,74.7
Elias Lindholm,2013-14,19,CAR,NHL,58,9,12,21,4,70,130,843,14:32,106,123,17,51,37,28,"",653,667,477,526,24,36,97.2,38,14,38,0,-14,1.1,0.4,1.5,"",""
Elias Lindholm,2014-15,20,CAR,NHL,81,17,22,39,14,170,302,1330,16:25,115,105,30,106,36,42,"",1172,984,857,738,35,56,94.9,58,23,58,0,-23,2.5,1.1,3.6,44.4,44.6
