Name,Season,Age,Tm,Lg,GP,G,A,PTS,PIM,S,TSA,TOI,ATOI,FOW,FOL,BLK,HIT,TK,GV,Awards,CF,CA,FF,FA,oiGF,oiGA,PDO,TGF,PGF,TGA,PGA,+/-,OPS,DPS,PS
Mike Modano,1989-90,19,MNS,NHL,80,29,46,75,63,172,"","","","","","","","","",Calder-2,,,,,,,,109,49,67,0,-7,4.7,1.0,5.7
Mike Modano,1990-91,20,MNS,NHL,79,28,36,64,61,232,"","","","","","","","","","",,,,,,,,95,38,59,4,2,4.3,1.2,5.5
Mike Modano,1991-92,21,MNS,NHL,76,33,44,77,46,256,"","","","","","","","","",AS-10,,,,,,,,102,38,75,2,-9,5.6,1.0,6.6
Mike Modano,1992-93,22,MNS,NHL,82,33,60,93,83,307,"","","","","","","","","","",,,,,,,,130,59,90,12,-7,6.3,1.1,7.4
Mike Modano,1993-94,23,DAL,NHL,76,50,43,93,54,281,"","","","","","","","","","AS-6,Byng-12",,,,,,,,111,53,69,3,-8,9.0,0.7,9.7
Mike Modano,1994-95,24,DAL,NHL,30,12,17,29,8,100,"","","","","","","","","","",,,,,,,,38,16,19,4,7,2.6,0.7,3.3
Mike Modano,1995-96,25,DAL,NHL,78,36,45,81,63,320,"","","","","","","","","","",,,,,,,,112,49,99,24,-12,7.1,0.8,7.9
Mike Modano,1996-97,26,DAL,NHL,80,35,48,83,42,291,"","","","","","","","","","AS-4,Hart-7,Selke-4",,,,,,,,113,31,65,26,43,7.8,2.4,10.2
Mike Modano,1997-98,27,DAL,NHL,52,21,38,59,32,191,"","","","","","","","","","AS-7,Selke-16",,,,,,,,76,28,30,7,25,6.3,1.7,8.0
Mike Modano,1998-99,28,DAL,NHL,77,34,47,81,44,224,"",1604,20:50,"","","","","","","AS-5,Hart-11,Selke-12",,,,,,,,114,47,54,16,29,7.6,3.1,10.7
Mike Modano,1999-00,29,DAL,NHL,77,38,43,81,48,188,"",1764,22:55,"","","","","","","AS-2,Byng-5,Hart-10,Selke-18",,,,,,,,101,39,77,15,0,7.3,2.5,9.7
Mike Modano,2000-01,30,DAL,NHL,81,33,51,84,52,208,"",1815,22:24,"","","","","","","AS-4,Byng-18,Hart-12,Selke-3",,,,,,,,113,41,67,21,26,6.9,3.2,10.2
Mike Modano,2001-02,31,DAL,NHL,78,34,43,77,38,219,"",1752,22:27,"","","","","","","AS-4,Byng-10,Selke-6",,,,,,,,97,35,81,33,14,7.1,2.5,9.6
Mike Modano,2002-03,32,DAL,NHL,79,28,57,85,30,193,"",1649,20:53,"","","","","","","AS-3,Byng-3,Hart-7,Selke-6",,,,,,,,115,45,54,18,34,7.6,3.1,10.7
Mike Modano,2003-04,33,DAL,NHL,76,14,30,44,46,152,"",1554,20:27,"","","","","","","AS-12,Selke-49",,,,,,,,67,29,71,12,-21,2.1,1.3,3.4
Mike Modano,2005-06,35,DAL,NHL,78,27,50,77,58,207,"",1526,19:34,"","","","","","","AS-8,Hart-19",,,,,,,,101,45,54,21,23,5.6,2.8,8.4
Mike Modano,2006-07,36,DAL,NHL,59,22,21,43,34,141,"",1086,18:24,"","","","","","",Byng-37,,,,,,,,56,23,29,5,9,3.5,2.0,5.5
Mike Modano,2007-08,37,DAL,NHL,82,21,36,57,48,200,385,1578,19:14,563,582,28,10,86,82,"Byng-60,Selke-39",911,864,711,702,43,51,98.2,87,41,66,9,-11,4.0,1.4,5.4
Mike Modano,2008-09,38,DAL,NHL,80,15,31,46,46,197,360,1464,18:18,617,559,24,35,57,81,"",895,863,707,673,41,51,97.5,72,30,79,24,-13,2.1,1.0,3.1
Mike Modano,2009-10,39,DAL,NHL,59,14,16,30,22,115,194,844,14:18,427,420,11,22,38,41,"Byng-20,Selke-32",593,609,454,460,23,25,99.0,39,16,32,3,-6,2.4,0.6,3.0
Mike Modano,2010-11,40,DET,NHL,40,4,11,15,8,79,138,498,12:27,133,141,10,7,14,13,Byng-39,405,359,307,276,14,15,99.4,28,14,18,0,-4,0.6,0.3,0.9
Trevor Linden,1988-89,18,VAN,NHL,80,30,29,59,41,186,"","","","","","","","","",Calder-2,,,,,,,,99,41,74,6,-10,3.4,1.1,4.5
Trevor Linden,1989-90,19,VAN,NHL,73,21,30,51,43,171,"","","","","","","","","","",,,,,,,,83,34,85,19,-17,2.6,0.7,3.2
Trevor Linden,1990-91,20,VAN,NHL,80,33,37,70,65,229,"","","","","","","","","","",,,,,,,,103,47,109,28,-25,5.2,0.5,5.7
Trevor Linden,1991-92,21,VAN,NHL,80,31,44,75,101,201,"","","","","","","","","","AS-4,Hart-9",,,,,,,,109,47,74,15,3,5.2,1.1,6.3
Trevor Linden,1992-93,22,VAN,NHL,84,33,39,72,64,209,"","","","","","","","","","",,,,,,,,112,33,93,33,19,4.8,1.2,5.9
Trevor Linden,1993-94,23,VAN,NHL,84,32,29,61,73,234,"","","","","","","","","","",,,,,,,,114,52,86,30,6,4.7,1.3,6.0
Trevor Linden,1994-95,24,VAN,NHL,48,18,22,40,40,129,"","","","","","","","","","",,,,,,,,58,31,39,7,-5,3.5,0.4,3.9
Trevor Linden,1995-96,25,VAN,NHL,82,33,47,80,42,202,"","","","","","","","","",Selke-5,,,,,,,,125,48,99,28,6,6.6,1.0,7.6
Trevor Linden,1996-97,26,VAN,NHL,49,9,31,40,27,84,"","","","","","","","","",Clancy-1,,,,,,,,62,14,57,14,5,2.6,0.7,3.3
Trevor Linden,1997-98,27,TOT,NHL,67,17,21,38,82,133,"","","","","","","","","","",,,,,,,,74,29,84,25,-14,3.3,0.2,3.6
Trevor Linden,1998-99,28,NYI,NHL,82,18,29,47,32,167,"",1762,21:29,"","","","","","","",,,,,,,,72,28,88,30,-14,2.2,1.5,3.7
Trevor Linden,1999-00,29,MTL,NHL,50,13,17,30,34,87,"",892,17:51,"","","","","","","",,,,,,,,42,14,38,7,-3,2.0,1.2,3.2
Trevor Linden,2000-01,30,TOT,NHL,69,15,22,37,60,126,"",1402,20:19,"","","","","","","",,,,,,,,66,28,68,30,0,1.4,1.8,3.2
