Name,Season,Age,Tm,Lg,GP,G,A,PTS,PIM,S,TSA,TOI,ATOI,FOW,FOL,BLK,HIT,TK,GV,Awards,CF,CA,FF,FA,oiGF,oiGA,PDO,TGF,PGF,TGA,PGA,+/-,OPS,DPS,PS,xGF,xGA
Eric Staal,2003-04,19,CAR,NHL,81,11,20,31,40,164,"",1350,16:40,"","","","","","",Calder-15,,,,,,,,55,15,52,6,-6,1.0,1.5,2.5,"",""
Eric Staal,2005-06,21,CAR,NHL,82,45,55,100,81,279,"",1611,19:39,"","","","","","","AS-2,Hart-4",,,,,,,,137,60,93,8,-8,9.8,1.3,11.1,"",""
Eric Staal,2006-07,22,CAR,NHL,82,30,40,70,68,288,"",1650,20:08,"","","","","","","",,,,,,,,113,49,74,4,-6,5.4,1.7,7.1,"",""
Eric Staal,2007-08,23,CAR,NHL,82,38,44,82,50,310,545,1774,21:38,767,941,33,99,56,46,"AS-8,Byng-31,Selke-65",1355,1188,1016,897,67,63,99.5,118,50,81,11,-2,7.8,1.6,9.4,"",""
Eric Staal,2008-09,24,CAR,NHL,82,40,35,75,50,372,636,1726,21:03,718,868,37,61,55,37,"AS-9,Byng-44,Hart-22,Selke-39",1478,1178,1139,876,66,53,99.7,111,41,71,16,15,7.1,2.7,9.8,"",""
Eric Staal,2009-10,25,CAR,NHL,70,29,41,70,68,277,504,1450,20:43,479,667,17,74,45,42,"AS-8,Selke-54",1120,1119,807,850,63,57,100.8,101,36,74,13,4,6.6,1.7,8.3,"",""
Eric Staal,2010-11,26,CAR,NHL,81,33,43,76,72,296,532,1777,21:56,827,901,31,80,64,43,"AS-9,Byng-22,Selke-31",1460,1354,1043,1067,68,74,99.6,117,46,93,12,-10,7.0,1.4,8.4,"",""
Eric Staal,2011-12,27,CAR,NHL,82,24,46,70,48,262,476,1767,21:33,882,799,35,48,66,47,Selke-43,1388,1386,1012,1039,58,79,97.6,96,33,98,15,-20,6.0,1.1,7.1,"",""
Eric Staal,2012-13,28,CAR,NHL,48,18,35,53,54,152,270,1008,21:00,527,487,24,35,48,24,"AS-7,Byng-62,Hart-23,Selke-16",845,836,616,631,52,46,102.1,70,17,54,6,5,5.2,1.2,6.4,140.9,142.1
Eric Staal,2013-14,29,CAR,NHL,79,21,40,61,74,230,403,1603,20:17,754,676,28,67,77,61,"",1382,1256,998,951,61,73,98.1,89,24,85,7,-13,5.0,1.4,6.4,"",""
Eric Staal,2014-15,30,CAR,NHL,77,23,31,54,41,244,450,1451,18:51,343,326,27,65,38,47,"",1391,1044,981,792,43,55,95.9,69,26,57,0,-13,4.5,1.7,6.2,51.8,45.9
Eric Staal,2015-16,31,TOT,NHL,83,13,26,39,34,199,378,1540,18:33,446,396,33,74,62,39,"",1384,1109,1025,851,51,51,98.6,68,17,56,3,-3,1.6,1.8,3.4,58.7,46.5
Eric Staal,2016-17,32,MIN,NHL,82,28,37,65,34,211,361,1526,18:36,577,597,39,42,51,24,Selke-40,1229,1130,922,844,68,52,101.2,92,22,64,11,17,6.0,2.0,8.0,57.4,43.0
Eric Staal,2017-18,33,MIN,NHL,82,42,34,76,42,241,396,1461,17:49,571,544,49,42,48,26,"Byng-49,Hart-17",1206,1234,917,927,78,70,100.6,103,22,84,11,8,8.0,1.8,9.8,61.5,50.8
Eric Staal,2018-19,34,MIN,NHL,81,22,30,52,34,215,350,1468,18:08,642,615,28,41,49,39,Byng-49,1285,1144,976,855,54,60,97.5,86,31,62,0,-7,3.3,1.9,5.1,57.2,45.7
Nathan Horton,2003-04,18,FLA,NHL,55,14,8,22,57,81,"",733,13:20,"","","","","","","",,,,,,,,34,13,28,2,-5,2.1,0.7,2.8,,
Nathan Horton,2005-06,20,FLA,NHL,71,28,19,47,89,162,"",1199,16:53,"","","","","","","",,,,,,,,70,25,41,4,8,3.9,1.4,5.4,,
Nathan Horton,2006-07,21,FLA,NHL,82,31,31,62,61,217,"",1481,18:04,"","","","","","","",,,,,,,,91,24,59,7,15,5.4,1.9,7.3,,
Nathan Horton,2007-08,22,FLA,NHL,82,27,35,62,85,212,383,1537,18:44,29,44,24,81,27,36,Selke-42,1219,1189,930,962,67,51,102.8,96,28,56,3,15,5.4,2.3,7.7,,
Nathan Horton,2008-09,23,FLA,NHL,67,22,23,45,48,131,274,1196,17:51,377,486,14,95,22,26,"",868,928,627,724,46,47,101.3,72,25,54,2,-5,3.6,1.0,4.6,,
Nathan Horton,2009-10,24,FLA,NHL,65,20,37,57,42,159,303,1358,20:53,48,37,20,34,30,30,"",959,1077,709,805,59,56,102.4,86,25,70,8,-1,4.4,1.5,5.9,,
Nathan Horton,2010-11,25,BOS,NHL,80,26,27,53,85,188,334,1303,16:17,8,11,14,74,26,25,"",1219,1001,902,769,69,39,103.7,84,15,41,1,29,5.0,2.4,7.4,,
Nathan Horton,2011-12,26,BOS,NHL,46,17,15,32,54,90,155,733,15:56,2,1,11,32,12,12,"",712,530,517,387,36,36,97.3,54,18,36,0,0,3.6,0.6,4.1,,
Nathan Horton,2012-13,27,BOS,NHL,43,13,9,22,22,114,182,725,16:51,5,5,10,41,9,13,"",721,547,516,405,32,29,98.7,39,7,32,1,1,1.9,0.8,2.7,,
Nathan Horton,2013-14,28,CBJ,NHL,36,5,14,19,24,48,94,556,15:27,1,0,14,53,12,11,"",481,446,368,339,21,22,98.4,30,9,24,0,-3,1.2,0.5,1.6,,
Nikolai Zherdev,2003-04,19,CBJ,NHL,57,13,21,34,54,137,"",922,16:11,"","","","","","",Calder-9,,,,,,,,49,17,43,0,-11,2.7,0.9,3.6,,
Nikolai Zherdev,2005-06,21,CBJ,NHL,73,27,27,54,50,194,"",1284,17:36,"","","","","","","",,,,,,,,83,36,60,0,-13,4.4,0.9,5.3,,
Nikolai Zherdev,2006-07,22,CBJ,NHL,71,10,22,32,26,164,"",1152,16:13,"","","","","","","",,,,,,,,49,20,48,0,-19,1.0,0.7,1.7,,
Nikolai Zherdev,2007-08,23,CBJ,NHL,82,26,35,61,34,254,439,1589,19:22,12,17,18,37,48,60,"",1152,905,891,704,45,51,97.3,77,31,57,2,-9,5.1,1.7,6.8,,
Nikolai Zherdev,2008-09,24,NYR,NHL,82,23,35,58,39,219,392,1380,16:50,1,10,15,49,41,44,"",1200,919,903,722,57,47,100.0,84,26,52,0,6,4.4,2.2,6.7,,
Nikolai Zherdev,2010-11,26,PHI,NHL,56,16,6,22,22,135,212,720,12:51,2,5,6,39,19,25,"",736,577,547,433,27,22,99.7,33,6,22,0,5,2.2,0.8,2.9,,
Thomas Vanek,2005-06,22,BUF,NHL,81,25,23,48,72,204,"",1193,14:44,"","","","","","","",,,,,,,,74,37,48,0,-11,3.6,1.1,4.7,"",""
Thomas Vanek,2006-07,23,BUF,NHL,82,43,41,84,40,237,"",1376,16:47,"","","","","","","AS-2,Byng-17,Hart-22,Selke-14",,,,,,,,121,36,39,1,47,8.9,2.7,11.6,"",""
Thomas Vanek,2007-08,24,BUF,NHL,82,36,28,64,64,240,380,1382,16:51,6,7,24,45,32,59,"",988,880,770,660,56,60,97.7,94,37,62,0,-5,6.7,1.1,7.8,"",""
Thomas Vanek,2008-09,25,BUF,NHL,73,40,24,64,44,211,347,1255,17:12,1,5,27,34,33,56,Byng-52,830,877,632,696,49,50,100.8,93,42,53,1,-1,7.3,1.4,8.7,"",""
Thomas Vanek,2009-10,26,BUF,NHL,71,28,25,53,42,182,315,1190,16:46,0,7,15,45,34,39,"",820,841,618,664,48,38,102.8,84,35,41,1,9,5.2,1.8,7.0,"",""
Thomas Vanek,2010-11,27,BUF,NHL,80,32,41,73,24,238,383,1388,17:21,8,18,12,30,43,45,"AS-6,Byng-46",1161,1067,881,819,63,53,100.8,103,40,63,2,2,7.6,1.6,9.1,"",""
Thomas Vanek,2011-12,28,BUF,NHL,78,26,35,61,52,204,328,1321,16:56,3,3,22,34,24,43,AS-20,928,1025,683,773,52,53,101.3,87,35,59,1,-6,6.1,1.1,7.2,"",""
Thomas Vanek,2012-13,29,BUF,NHL,38,20,21,41,20,119,200,699,18:24,8,4,4,13,34,30,AS-8,543,608,401,468,32,31,101.4,52,19,34,0,-1,4.9,0.7,5.5,"",""
Thomas Vanek,2013-14,30,TOT,NHL,78,27,41,68,46,248,424,1509,19:21,20,26,17,30,31,50,AS-10,1155,1284,839,996,69,56,103.7,97,28,64,1,7,6.5,2.1,8.6,"",""
Thomas Vanek,2014-15,31,MIN,NHL,80,21,31,52,37,171,291,1297,16:13,10,10,13,32,28,52,"",931,993,686,723,44,49,99.4,67,23,50,0,-6,4.7,1.2,5.9,44.4,39.7
Thomas Vanek,2015-16,32,MIN,NHL,74,18,23,41,22,146,248,1155,15:37,12,26,17,18,22,51,"",835,928,603,693,37,42,99.8,57,20,46,0,-10,3.5,1.0,4.5,37.5,40.2
Thomas Vanek,2016-17,33,TOT,NHL,68,17,31,48,22,133,216,979,14:24,6,9,5,29,21,34,"",732,768,582,625,42,41,101.0,60,18,46,0,-5,4.5,1.1,5.5,40.0,43.4
Thomas Vanek,2017-18,34,TOT,NHL,80,24,32,56,36,168,266,1127,14:05,6,18,18,36,28,35,"",860,958,657,717,50,45,101.1,67,17,53,0,-3,5.1,1.3,6.4,41.8,43.8
Thomas Vanek,2018-19,35,DET,NHL,64,16,20,36,26,108,195,903,14:07,7,18,13,38,20,41,"",640,731,486,564,35,44,99.4,56,21,48,1,-12,2.7,0.5,3.3,25.8,33.9
Milan Michalek,2003-04,19,SJS,NHL,2,1,0,1,4,1,"",18,9:05,"","","","","","","",,,,,,,,1,0,0,0,1,0.2,0.1,0.2,"",""
Milan Michalek,2005-06,21,SJS,NHL,81,17,18,35,45,159,"",1277,15:46,"","","","","","","",,,,,,,,57,17,41,2,1,1.4,1.5,2.9,"",""
Milan Michalek,2006-07,22,SJS,NHL,78,26,40,66,36,191,"",1307,16:46,"","","","","","","",,,,,,,,92,37,42,4,17,5.6,2.5,8.0,"",""
Milan Michalek,2007-08,23,SJS,NHL,79,24,31,55,47,233,367,1428,18:05,6,4,31,70,37,34,Selke-53,1012,800,775,586,56,33,102.3,90,33,39,1,19,4.5,2.9,7.4,"",""
Milan Michalek,2008-09,24,SJS,NHL,77,23,34,57,52,179,273,1421,18:27,14,16,33,92,32,21,"",1044,844,801,610,45,34,99.8,89,40,53,15,11,4.1,2.3,6.4,"",""
Milan Michalek,2009-10,25,OTT,NHL,66,22,12,34,18,163,267,1205,18:15,4,4,30,77,36,15,"",805,811,586,608,34,48,97.5,58,21,62,13,-12,2.6,0.9,3.6,"",""
Milan Michalek,2010-11,26,OTT,NHL,66,18,15,33,49,167,270,1192,18:04,4,9,41,49,40,22,"",774,876,595,667,37,50,98.3,55,14,58,5,-12,2.3,1.1,3.4,171.7,191.8
Milan Michalek,2011-12,27,OTT,NHL,77,35,25,60,32,212,383,1506,19:33,1,5,46,36,39,18,AS-19,1255,1121,922,893,65,57,101.2,100,33,74,11,4,6.5,1.3,7.8,137.8,150.9
Milan Michalek,2012-13,28,OTT,NHL,23,4,10,14,17,58,116,418,18:11,2,2,13,6,9,6,"",397,291,281,225,16,9,102.7,23,6,9,0,8,0.8,0.9,1.7,85.4,95.2
Milan Michalek,2013-14,29,OTT,NHL,82,17,22,39,41,169,298,1442,17:35,6,8,31,86,32,14,"",1167,1133,874,913,57,77,97.7,76,19,98,16,-25,2.3,0.2,2.5,"",""
Milan Michalek,2014-15,30,OTT,NHL,66,13,21,34,33,130,235,1080,16:22,11,12,40,64,23,12,"",761,799,541,610,34,33,101.4,51,15,42,8,3,2.4,1.2,3.5,28.6,30.0
Milan Michalek,2015-16,31,TOT,NHL,45,7,9,16,18,64,119,725,16:07,3,5,27,42,25,14,"",429,527,318,387,21,21,101.8,37,14,33,10,0,0.6,0.7,1.3,17.5,23.6
Milan Michalek,2016-17,32,TOR,NHL,5,1,1,2,2,6,10,71,14:16,0,1,9,7,3,1,"",53,62,32,40,2,4,93.9,2,0,4,0,-2,0.1,0.0,0.1,1.9,1.9
Ryan Suter,2005-06,21,NSH,NHL,71,1,15,16,66,84,"",1232,17:21,"","","","","","",Calder-15,,,,,,,,57,5,57,12,7,0.2,3.3,3.5,"",""
Ryan Suter,2006-07,22,NSH,NHL,82,8,16,24,54,87,"",1652,20:09,"","","","","","","",,,,,,,,78,22,68,22,10,1.3,4.0,5.4,"",""
Ryan Suter,2007-08,23,NSH,NHL,76,7,24,31,71,138,271,1564,20:35,0,0,75,57,33,38,"",1073,905,840,720,50,46,99.9,73,22,63,15,3,2.3,3.6,5.8,"",""
Ryan Suter,2008-09,24,NSH,NHL,82,7,38,45,73,143,291,1989,24:16,0,0,93,87,45,46,"",1349,1242,1044,970,59,71,97.8,89,29,89,13,-16,3.0,3.7,6.7,"",""
Ryan Suter,2009-10,25,NSH,NHL,82,4,33,37,48,125,282,1966,23:59,0,1,112,55,38,41,"AS-15,Norris-11",1487,1323,1148,1023,69,63,100.4,103,32,89,22,4,2.2,4.6,6.8,"",""
Ryan Suter,2010-11,26,NSH,NHL,70,4,35,39,54,115,264,1764,25:12,0,1,84,64,33,37,"AS-10,Norris-15",1258,1170,950,917,60,42,102.3,92,30,55,13,20,2.7,5.8,8.5,"",""
Ryan Suter,2011-12,27,NSH,NHL,79,7,39,46,30,134,242,2094,26:30,0,1,116,46,37,42,"AS-6,Norris-8",1370,1457,1038,1107,71,55,102.3,118,45,75,17,15,3.5,5.8,9.2,"",""
Ryan Suter,2012-13,28,MIN,NHL,48,4,28,32,24,91,193,1309,27:17,0,0,74,33,9,19,"AS-1,Hart-17,Norris-2",849,882,647,671,40,39,100.1,63,22,54,15,2,2.4,3.6,6.0,173.1,152.2
Ryan Suter,2013-14,29,MIN,NHL,82,8,35,43,34,150,342,2412,29:25,1,0,132,72,30,41,"AS-5,Hart-23,Norris-4",1542,1674,1159,1263,75,58,102.5,111,34,83,20,15,2.6,6.9,9.5,"",""
Ryan Suter,2014-15,30,MIN,NHL,77,2,36,38,48,150,356,2238,29:04,0,0,127,69,33,46,"AS-9,Norris-9",1696,1637,1285,1205,76,71,99.8,102,23,91,17,7,1.8,5.6,7.4,70.2,56.4
Ryan Suter,2015-16,31,MIN,NHL,82,8,43,51,30,188,383,2345,28:36,0,0,142,69,36,41,"AS-7,Byng-36,Norris-8",1713,1710,1300,1237,83,71,100.3,120,33,96,20,10,3.8,6.3,10.0,78.6,66.0
Ryan Suter,2016-17,32,MIN,NHL,82,9,31,40,36,164,332,2208,26:55,0,0,105,72,41,38,"AS-5,Hart-12,Norris-5",1674,1661,1275,1243,98,68,102.7,126,25,86,18,34,2.7,6.6,9.3,76.5,62.5
Ryan Suter,2017-18,33,MIN,NHL,78,6,45,51,34,149,323,2089,26:47,0,0,138,78,14,37,"AS-13,Norris-13",1519,1570,1153,1162,73,72,99.8,112,37,105,30,-1,3.2,4.2,7.4,71.6,59.4
Ryan Suter,2018-19,34,MIN,NHL,82,7,40,47,41,136,318,2189,26:42,1,0,109,78,25,30,"AS-15,Norris-18",1816,1709,1378,1277,79,88,98.2,111,28,118,27,-8,2.7,5.5,8.3,82.1,64.9
Braydon Coburn,2005-06,20,ATL,NHL,9,0,1,1,4,4,"",69,7:43,"","","","","","","",,,,,,,,4,1,6,1,-2,0.0,0.0,0.0,"",""
Braydon Coburn,2006-07,21,TOT,NHL,49,3,8,11,46,54,"",758,15:29,"","","","","","","",,,,,,,,36,7,35,5,-1,0.6,1.5,2.1,"",""
Braydon Coburn,2007-08,22,PHI,NHL,78,9,27,36,74,113,240,1656,21:14,0,0,79,79,36,53,"",1152,1147,902,900,62,48,102.2,93,27,66,17,17,3.1,4.7,7.9,"",""
Braydon Coburn,2008-09,23,PHI,NHL,80,7,21,28,97,130,277,1970,24:37,0,0,129,146,39,59,"",1397,1343,1075,1012,61,61,99.5,98,29,94,32,7,1.5,4.0,5.5,"",""
Braydon Coburn,2009-10,24,PHI,NHL,81,5,14,19,54,122,290,1712,21:08,0,0,109,118,22,45,"",1387,1206,1043,899,56,59,98.5,69,12,87,24,-6,0.6,3.5,4.1,"",""
Braydon Coburn,2010-11,25,PHI,NHL,82,2,14,16,53,114,241,1728,21:04,0,0,133,177,32,51,"",1410,1418,1071,1041,72,62,100.6,78,1,78,16,15,0.0,3.8,3.8,"",""
Braydon Coburn,2011-12,26,PHI,NHL,81,4,20,24,56,113,261,1786,22:03,0,1,119,164,33,43,AS-18,1399,1381,1037,1018,69,61,100.8,74,2,98,36,10,1.0,3.6,4.7,"",""
Braydon Coburn,2012-13,27,PHI,NHL,33,1,4,5,41,38,102,746,22:37,0,0,61,76,12,31,"",543,610,392,443,21,33,96.1,23,0,44,11,-10,-0.2,0.9,0.7,"",""
