Name,Season,Age,Tm,Lg,GP,G,A,PTS,PIM,S,TSA,TOI,ATOI,FOW,FOL,BLK,HIT,TK,GV,Awards,CF,CA,FF,FA,oiGF,oiGA,PDO,TGF,PGF,TGA,PGA,+/-,OPS,DPS,PS,xGF,xGA
Chris Phillips,1997-98,19,OTT,NHL,72,5,11,16,38,107,"","","","","","","","","",Calder-12,,,,,,,,56,19,40,5,2,0.7,4.4,5.1,"",""
Chris Phillips,1998-99,20,OTT,NHL,34,3,3,6,32,51,"",615,18:06,"","","","","","","",,,,,,,,26,7,27,3,-5,0.3,0.9,1.2,"",""
Chris Phillips,1999-00,21,OTT,NHL,65,5,14,19,39,96,"",1094,16:50,"","","","","","","",,,,,,,,59,10,41,4,12,1.4,3.3,4.6,"",""
Chris Phillips,2000-01,22,OTT,NHL,73,2,12,14,31,77,"",1567,21:28,"","","","","","","",,,,,,,,71,14,64,15,8,0.0,3.3,3.3,"",""
Chris Phillips,2001-02,23,OTT,NHL,63,6,16,22,29,103,"",1229,19:31,"","","","","","","",,,,,,,,63,16,47,5,5,1.9,2.7,4.5,"",""
Chris Phillips,2002-03,24,OTT,NHL,78,3,16,19,71,97,"",1577,20:13,"","","","","","","",,,,,,,,66,15,59,15,7,0.7,3.8,4.5,"",""
Chris Phillips,2003-04,25,OTT,NHL,82,7,16,23,46,93,"",1709,20:50,"","","","","","","",,,,,,,,76,9,68,16,15,1.5,4.2,5.6,"",""
Chris Phillips,2005-06,27,OTT,NHL,69,1,18,19,90,79,"",1440,20:52,"","","","","","","",,,,,,,,63,1,71,28,19,0.3,3.9,4.1,"",""
Chris Phillips,2006-07,28,OTT,NHL,82,8,18,26,80,94,"",1833,22:22,"","","","","","","AS-17,Norris-18",,,,,,,,82,2,82,38,36,1.3,5.4,6.8,"",""
Chris Phillips,2007-08,29,OTT,NHL,81,5,13,18,56,80,164,1821,22:29,0,1,151,126,25,57,"",1171,1322,873,972,62,54,102.1,71,1,99,44,15,0.4,3.7,4.1,"",""
Chris Phillips,2008-09,30,OTT,NHL,82,6,16,22,66,88,183,1793,21:52,0,0,114,113,32,56,"",1282,1229,961,913,47,64,97.0,58,7,94,29,-14,0.8,3.4,4.2,"",""
Chris Phillips,2009-10,31,OTT,NHL,82,8,16,24,45,82,172,1833,22:21,0,0,142,97,29,75,"AS-19,Norris-18",1309,1310,973,953,65,60,100.8,76,6,91,29,8,1.3,4.9,6.2,"",""
Chris Phillips,2010-11,32,OTT,NHL,82,1,8,9,32,81,170,1765,21:31,0,0,152,116,26,54,"",1206,1403,875,1056,42,78,96.4,46,2,106,27,-35,-0.9,1.8,0.9,180.3,210.7
Chris Phillips,2011-12,33,OTT,NHL,80,5,14,19,16,85,190,1529,19:07,0,0,137,134,18,50,"",1208,1232,863,917,51,43,101.7,60,5,77,34,12,0.9,3.4,4.3,135.5,150.4
Chris Phillips,2012-13,34,OTT,NHL,48,5,9,14,43,89,162,1010,21:03,0,0,78,93,9,20,"",821,767,613,578,27,33,98.0,35,6,46,12,-5,0.9,2.3,3.2,89.4,102.5
Chris Phillips,2013-14,35,OTT,NHL,70,1,14,15,30,90,173,1346,19:14,0,0,95,140,10,46,"",1050,980,790,787,42,54,98.1,55,12,83,29,-12,0.1,1.1,1.2,"",""
Chris Phillips,2014-15,36,OTT,NHL,36,0,3,3,12,29,69,752,20:54,0,0,54,70,7,26,"",503,642,365,488,20,22,101.4,23,1,28,6,0,-0.6,1.4,0.8,19.8,28.0
Andrei Zyuzin,1997-98,20,SJS,NHL,56,6,7,13,66,72,"","","","","","","","","",Calder-12,,,,,,,,47,16,25,2,8,0.8,3.5,4.3,,
Andrei Zyuzin,1998-99,21,SJS,NHL,25,3,1,4,38,44,"",398,15:56,"","","","","","","",,,,,,,,17,4,9,1,5,0.3,1.3,1.6,,
Andrei Zyuzin,1999-00,22,TBL,NHL,34,2,9,11,33,47,"",696,20:28,"","","","","","","",,,,,,,,31,6,41,5,-11,0.6,0.5,1.1,,
Andrei Zyuzin,2000-01,23,TBL,NHL,64,4,16,20,76,92,"",1193,18:39,"","","","","","","",,,,,,,,55,13,58,8,-8,1.2,2.0,3.2,,
Andrei Zyuzin,2001-02,24,TOT,NHL,47,1,4,5,31,61,"",750,15:57,"","","","","","","",,,,,,,,27,5,30,3,-5,-0.1,1.5,1.3,,
Andrei Zyuzin,2002-03,25,TOT,NHL,67,4,13,17,36,113,"",1448,21:37,"","","","","","","",,,,,,,,49,16,53,12,-8,0.8,3.2,4.0,,
Andrei Zyuzin,2003-04,26,MIN,NHL,65,8,13,21,48,104,"",1324,20:22,"","","","","","","",,,,,,,,54,14,46,10,4,1.8,3.8,5.6,,
Andrei Zyuzin,2005-06,28,MIN,NHL,57,7,11,18,50,80,"",1076,18:53,"","","","","","","",,,,,,,,43,15,53,13,-12,1.2,2.3,3.5,,
Andrei Zyuzin,2006-07,29,CGY,NHL,49,1,5,6,30,36,"",677,13:49,"","","","","","","",,,,,,,,19,3,27,9,-2,-0.1,1.0,0.9,,
Andrei Zyuzin,2007-08,30,CHI,NHL,32,2,3,5,38,34,68,479,14:58,0,0,35,29,6,10,"",275,312,207,237,11,21,95.3,17,6,28,6,-11,0.2,-0.1,0.2,,
J.P. Dumont,1998-99,20,CHI,NHL,25,9,6,15,10,42,"",356,14:14,"","","","","","","",,,,,,,,21,2,14,2,7,1.6,0.6,2.2,,
J.P. Dumont,1999-00,21,CHI,NHL,47,10,8,18,18,86,"",606,12:54,"","","","","","","",,,,,,,,28,5,30,1,-6,1.2,0.3,1.6,,
J.P. Dumont,2000-01,22,BUF,NHL,79,23,28,51,54,156,"",1186,15:01,"","","","","","","",,,,,,,,67,21,48,3,1,4.2,1.6,5.8,,
J.P. Dumont,2001-02,23,BUF,NHL,76,23,21,44,42,154,"",1157,15:14,"","","","","","","",,,,,,,,57,17,50,0,-10,4.2,1.0,5.2,,
J.P. Dumont,2002-03,24,BUF,NHL,76,14,21,35,44,135,"",1145,15:04,"","","","","","","",,,,,,,,50,17,48,1,-14,2.1,1.0,3.0,,
J.P. Dumont,2003-04,25,BUF,NHL,77,22,31,53,40,156,"",1310,17:00,"","","","","","","",,,,,,,,70,28,58,7,-9,4.9,1.0,5.9,,
J.P. Dumont,2005-06,27,BUF,NHL,54,20,20,40,38,116,"",864,16:00,"","","","","","","",,,,,,,,65,32,35,1,-1,3.3,1.0,4.4,,
J.P. Dumont,2006-07,28,NSH,NHL,82,21,45,66,28,143,"",1328,16:12,"","","","","","",Byng-43,,,,,,,,93,31,49,1,14,5.0,1.8,6.9,,
J.P. Dumont,2007-08,29,NSH,NHL,80,29,43,72,34,192,336,1480,18:30,3,10,11,44,47,54,Byng-20,1090,1024,850,808,68,57,101.4,95,27,63,0,5,6.6,1.8,8.4,,
J.P. Dumont,2008-09,30,NSH,NHL,82,16,49,65,20,176,318,1435,17:30,3,3,13,33,39,66,Byng-35,1082,1055,821,824,61,56,101.1,95,34,61,1,1,4.3,1.9,6.2,,
J.P. Dumont,2009-10,31,NSH,NHL,74,17,28,45,20,112,196,1093,14:46,0,0,19,20,33,34,Byng-54,848,814,631,615,41,33,101.7,64,21,35,0,8,3.7,1.6,5.2,,
J.P. Dumont,2010-11,32,NSH,NHL,70,10,9,19,16,89,148,783,11:11,1,1,8,45,35,23,"",614,566,462,455,23,21,100.4,31,8,21,0,2,0.9,1.0,1.9,,
Alexandre Volchkov,1999-00,22,WSH,NHL,3,0,0,0,0,1,,30,10:07,,,,,,,"",,,,,,,,0,0,2,0,-2,-0.1,0.0,-0.1,,
Ric Jackman,1999-00,21,DAL,NHL,22,1,2,3,6,16,,178,8:06,,,,,,,"",,,,,,,,5,3,3,0,-1,0.2,0.4,0.6,,
Ric Jackman,2000-01,22,DAL,NHL,16,0,0,0,18,10,,142,8:51,,,,,,,"",,,,,,,,6,3,9,0,-6,-0.2,-0.1,-0.3,,
Ric Jackman,2001-02,23,BOS,NHL,2,0,0,0,2,4,,27,13:26,,,,,,,"",,,,,,,,1,1,1,0,-1,0.0,0.0,-0.1,,
Ric Jackman,2002-03,24,TOR,NHL,42,0,2,2,41,35,,587,13:59,,,,,,,"",,,,,,,,12,4,22,4,-10,-0.4,0.3,-0.1,,
Ric Jackman,2003-04,25,TOT,NHL,54,9,21,30,27,91,,1128,20:53,,,,,,,"",,,,,,,,58,29,56,11,-16,3.0,0.8,3.9,,
Ric Jackman,2005-06,27,TOT,NHL,64,7,23,30,52,120,,1110,17:21,,,,,,,"",,,,,,,,70,34,66,10,-20,2.3,0.5,2.8,,
Ric Jackman,2006-07,28,TOT,NHL,31,2,10,12,20,36,,425,13:42,,,,,,,"",,,,,,,,26,8,19,1,0,0.9,1.0,1.9,,
Boyd Devereaux,1997-98,19,EDM,NHL,38,1,4,5,6,27,"","","","","","","","","","",,,,,,,,9,0,20,6,-5,-0.8,0.4,-0.5,,
Boyd Devereaux,1998-99,20,EDM,NHL,61,6,8,14,23,39,"",619,10:09,"","","","","","","",,,,,,,,18,0,31,15,2,0.4,0.6,1.1,,
Boyd Devereaux,1999-00,21,EDM,NHL,76,8,19,27,20,108,"",958,12:36,"","","","","","","",,,,,,,,32,0,36,11,7,1.0,1.3,2.3,,
Boyd Devereaux,2000-01,22,DET,NHL,55,5,6,11,14,66,"",557,10:08,"","","","","","","",,,,,,,,19,1,18,1,1,0.1,0.7,0.8,,
Boyd Devereaux,2001-02,23,DET,NHL,79,9,16,25,24,116,"",909,11:30,"","","","","","","",,,,,,,,37,0,30,2,9,1.1,1.3,2.4,,
Boyd Devereaux,2002-03,24,DET,NHL,61,3,9,12,16,72,"",575,9:26,"","","","","","","",,,,,,,,20,0,16,0,4,0.0,0.6,0.7,,
Boyd Devereaux,2003-04,25,DET,NHL,61,6,9,15,20,62,"",608,9:58,"","","","","","","",,,,,,,,20,0,21,0,-1,0.7,0.5,1.2,,
Boyd Devereaux,2005-06,27,PHX,NHL,78,8,14,22,44,76,"",997,12:47,"","","","","","","",,,,,,,,29,5,59,22,-13,0.0,0.7,0.7,,
Boyd Devereaux,2006-07,28,TOR,NHL,33,8,11,19,12,57,"",504,15:17,"","","","","","","",,,,,,,,25,1,27,7,4,1.3,0.6,1.9,,
Boyd Devereaux,2007-08,29,TOR,NHL,62,7,11,18,24,81,142,866,13:58,2,4,20,47,23,28,Selke-65,619,605,483,461,26,34,97.3,27,0,48,15,-6,0.2,0.6,0.8,,
Boyd Devereaux,2008-09,30,TOR,NHL,23,6,5,11,2,41,60,315,13:42,4,5,18,21,8,6,"",240,287,184,200,11,12,99.3,15,0,21,9,3,0.9,0.4,1.3,,
Erik Rasmussen,1997-98,20,BUF,NHL,21,2,3,5,14,28,,"","",,,,,,,"",,,,,,,,12,0,10,0,2,-0.1,0.3,0.2,,
Erik Rasmussen,1998-99,21,BUF,NHL,42,3,7,10,37,40,,519,12:22,,,,,,,"",,,,,,,,18,0,16,4,6,0.0,0.8,0.7,,
Erik Rasmussen,1999-00,22,BUF,NHL,67,8,6,14,43,76,,767,11:27,,,,,,,"",,,,,,,,26,2,24,1,1,0.2,0.8,1.0,,
Erik Rasmussen,2000-01,23,BUF,NHL,82,12,19,31,51,95,,1130,13:47,,,,,,,"",,,,,,,,40,3,46,9,0,1.2,1.5,2.7,,
Erik Rasmussen,2001-02,24,BUF,NHL,69,8,11,19,34,89,,900,13:03,,,,,,,"",,,,,,,,32,4,30,1,-1,0.5,1.1,1.6,,
Erik Rasmussen,2002-03,25,LAK,NHL,57,4,12,16,28,75,,778,13:39,,,,,,,"",,,,,,,,27,3,26,1,-1,0.0,0.9,0.9,,
Erik Rasmussen,2003-04,26,NJD,NHL,69,7,6,13,41,68,,798,11:34,,,,,,,"",,,,,,,,27,4,18,0,5,0.0,1.2,1.2,,
Erik Rasmussen,2005-06,28,NJD,NHL,67,5,5,10,32,45,,473,7:04,,,,,,,"",,,,,,,,16,3,18,1,-4,0.1,0.5,0.6,,
Erik Rasmussen,2006-07,29,NJD,NHL,71,3,7,10,25,80,,672,9:28,,,,,,,"",,,,,,,,19,1,21,0,-3,-0.7,0.9,0.3,,
Johnathan Aitken,1999-00,21,BOS,NHL,3,0,0,0,0,2,,57,18:57,,,,,,,"",,,,,,,,0,0,3,0,-3,-0.1,-0.1,-0.2,,
Johnathan Aitken,2003-04,25,CHI,NHL,41,0,1,1,70,37,,707,17:15,,,,,,,"",,,,,,,,15,0,33,9,-9,-0.7,0.9,0.2,,
Ruslan Salei,1996-97,22,MDA,NHL,30,0,1,1,37,14,"","","","","","","","","","",,,,,,,,12,1,20,1,-8,-0.5,0.7,0.3,,
Ruslan Salei,1997-98,23,MDA,NHL,66,5,10,15,70,104,"","","","","","","","","","",,,,,,,,53,12,49,15,7,0.7,3.1,3.9,,
Ruslan Salei,1998-99,24,MDA,NHL,74,2,14,16,65,123,"",1632,22:03,"","","","","","","",,,,,,,,63,18,73,29,1,0.2,3.8,4.1,,
Ruslan Salei,1999-00,25,MDA,NHL,71,5,5,10,94,116,"",1444,20:21,"","","","","","","",,,,,,,,53,5,77,32,3,0.0,3.4,3.4,,
Ruslan Salei,2000-01,26,MDA,NHL,50,1,5,6,70,73,"",1033,20:40,"","","","","","","",,,,,,,,27,4,55,18,-14,-0.4,1.5,1.2,,
Ruslan Salei,2001-02,27,MDA,NHL,82,4,7,11,97,96,"",1757,21:25,"","","","","","","",,,,,,,,50,1,81,22,-10,-0.2,4.0,3.8,,
Ruslan Salei,2002-03,28,MDA,NHL,61,4,8,12,78,93,"",1335,21:53,"","","","","","","",,,,,,,,54,3,62,13,2,0.3,3.6,4.0,,
Ruslan Salei,2003-04,29,MDA,NHL,82,4,11,15,110,145,"",1943,23:42,"","","","","","","",,,,,,,,56,5,78,26,-1,-0.1,4.8,4.7,,
