Name,Season,Age,Tm,Lg,GP,G,A,PTS,PIM,S,TOI,ATOI,Awards,TGF,PGF,TGA,PGA,+/-,OPS,DPS,PS
Wendel Clark,1985-86,19,TOR,NHL,66,34,11,45,227,164,"","","AS-9,Calder-2",62,12,78,1,-27,3.0,0.1,3.1
Wendel Clark,1986-87,20,TOR,NHL,80,37,23,60,271,246,"","",AS-10,101,33,94,3,-24,4.6,0.3,4.9
Wendel Clark,1987-88,21,TOR,NHL,28,12,11,23,80,93,"","","",34,11,36,0,-13,1.5,0.0,1.5
Wendel Clark,1988-89,22,TOR,NHL,15,7,4,11,66,30,"","","",15,5,13,0,-3,0.7,0.1,0.8
Wendel Clark,1989-90,23,TOR,NHL,38,18,8,26,116,85,"","","",42,14,26,0,2,1.8,0.4,2.2
Wendel Clark,1990-91,24,TOR,NHL,63,18,16,34,152,181,"","","",68,18,58,3,-5,1.8,0.8,2.5
Wendel Clark,1991-92,25,TOR,NHL,43,19,21,40,123,158,"","","",57,24,48,1,-14,3.0,0.3,3.3
Wendel Clark,1992-93,26,TOR,NHL,66,17,22,39,193,146,"","","",60,14,44,0,2,1.7,1.1,2.8
Wendel Clark,1993-94,27,TOR,NHL,64,46,30,76,115,275,"","",AS-9,104,42,52,0,10,7.9,1.1,9.0
Wendel Clark,1994-95,28,QUE,NHL,37,12,18,30,45,95,"","",AS-5,42,15,29,1,-1,2.4,0.2,2.6
Wendel Clark,1995-96,29,TOT,NHL,71,32,26,58,76,237,"","","",99,41,65,2,-5,5.1,0.9,6.0
Wendel Clark,1996-97,30,TOR,NHL,65,30,19,49,75,212,"","","",66,16,52,0,-2,5.0,0.8,5.8
Wendel Clark,1997-98,31,TOR,NHL,47,12,7,19,80,140,"","","",31,13,39,0,-21,1.4,-0.1,1.3
Wendel Clark,1998-99,32,TOT,NHL,77,32,16,48,37,215,1220,15:51,"",66,26,64,0,-24,5.1,0.4,5.5
Wendel Clark,1999-00,33,TOT,NHL,33,4,2,6,34,63,401,12:09,"",9,0,14,0,-5,-0.1,0.2,0.1
Craig Simpson,1985-86,18,PIT,NHL,76,11,17,28,47,74,"","","",46,13,32,0,2,-0.3,1.2,0.9
Craig Simpson,1986-87,19,PIT,NHL,72,26,25,51,57,133,"","","",87,21,55,0,8,2.9,1.1,4.0
Craig Simpson,1987-88,20,TOT,NHL,80,56,34,90,77,177,"","","AS-4,AS-3",138,51,72,5,20,7.6,1.2,8.8
Craig Simpson,1988-89,21,EDM,NHL,66,35,41,76,80,121,"","",AS-6,102,44,62,1,-3,5.4,0.7,6.1
Craig Simpson,1989-90,22,EDM,NHL,80,29,32,61,180,129,"","","",94,33,65,2,-2,3.5,0.9,4.5
Craig Simpson,1990-91,23,EDM,NHL,75,30,27,57,66,143,"","",AS-11,83,37,54,0,-8,4.0,0.6,4.6
Craig Simpson,1991-92,24,EDM,NHL,79,24,37,61,80,128,"","","",101,34,60,1,8,3.6,1.0,4.6
Craig Simpson,1992-93,25,EDM,NHL,60,24,22,46,36,91,"","","",70,36,49,1,-14,3.0,0.5,3.5
Craig Simpson,1993-94,26,BUF,NHL,22,8,8,16,8,28,"","","",25,10,18,0,-3,1.2,0.2,1.5
