Name,Season,Age,Tm,Lg,GP,G,A,PTS,PIM,S,TSA,TOI,ATOI,FOW,FOL,BLK,HIT,TK,GV,Awards,CF,CA,FF,FA,oiGF,oiGA,PDO,TGF,PGF,TGA,PGA,+/-,OPS,DPS,PS,xGF,xGA
Ilya Kovalchuk,2001-02,18,ATL,NHL,65,29,22,51,28,184,"",1205,18:32,"","","","","","",Calder-2,,,,,,,,73,25,68,1,-19,5.6,0.5,6.1,"",""
Ilya Kovalchuk,2002-03,19,ATL,NHL,81,38,29,67,57,257,"",1575,19:27,"","","","","","",AS-9,,,,,,,,110,48,88,2,-24,7.2,0.6,7.8,"",""
Ilya Kovalchuk,2003-04,20,ATL,NHL,81,41,46,87,63,341,"",1919,23:41,"","","","","","","AS-2,Hart-10,Richard-1",,,,,,,,121,55,84,8,-10,8.9,1.7,10.6,"",""
Ilya Kovalchuk,2005-06,22,ATL,NHL,78,52,46,98,68,323,"",1746,22:23,"","","","","","","AS-9,AS-3,Hart-24",,,,,,,,136,82,63,3,-6,9.8,1.4,11.2,"",""
Ilya Kovalchuk,2006-07,23,ATL,NHL,82,42,34,76,66,336,"",1765,21:32,"","","","","","",AS-6,,,,,,,,116,57,62,1,-2,7.3,1.7,9.0,"",""
Ilya Kovalchuk,2007-08,24,ATL,NHL,79,52,35,87,52,283,520,1699,21:30,13,16,25,39,49,66,"AS-3,Byng-83,Hart-14",884,1164,674,892,63,72,101.7,114,47,82,3,-12,10.7,1.3,12.0,"",""
Ilya Kovalchuk,2008-09,25,ATL,NHL,79,43,48,91,50,275,534,1723,21:48,5,9,15,43,48,87,AS-3,1086,1201,829,935,71,76,100.9,127,55,85,1,-12,9.3,0.9,10.3,"",""
Ilya Kovalchuk,2009-10,26,TOT,NHL,76,41,44,85,53,290,534,1675,22:02,7,23,20,30,34,73,"AS-12,AS-5",1091,1084,814,835,70,55,103.1,114,44,60,0,10,8.7,2.3,11.0,"",""
Ilya Kovalchuk,2010-11,27,NJD,NHL,81,31,29,60,28,245,461,1828,22:34,9,22,12,28,43,104,"",1235,1188,932,944,52,71,97.5,79,27,78,0,-26,4.9,1.9,6.8,"",""
Ilya Kovalchuk,2011-12,28,NJD,NHL,77,37,46,83,33,310,552,1882,24:26,13,24,18,27,42,120,"AS-1,AS-6,Hart-10",1195,1114,915,855,59,66,98.5,108,43,78,4,-9,8.2,2.3,10.5,"",""
