Name,Season,Age,Tm,Lg,GP,G,A,PTS,PIM,S,TSA,TOI,ATOI,FOW,FOL,BLK,HIT,TK,GV,Awards,CF,CA,FF,FA,oiGF,oiGA,PDO,TGF,PGF,TGA,PGA,+/-,OPS,DPS,PS
Eric Lindros,1992-93,19,PHI,NHL,61,41,34,75,147,180,,"","",,,,,,,"Calder-4,Hart-9",,,,,,,,119,34,63,6,28,6.4,1.4,7.8
Eric Lindros,1993-94,20,PHI,NHL,65,44,53,97,103,197,,"","",,,,,,,AS-7,,,,,,,,134,47,82,11,16,9.0,1.2,10.3
Eric Lindros,1994-95,21,PHI,NHL,46,29,41,70,60,144,,"","",,,,,,,"AS-1,Hart-1,Pearson-1",,,,,,,,94,30,40,3,27,7.3,1.5,8.8
Eric Lindros,1995-96,22,PHI,NHL,73,47,68,115,163,294,,"","",,,,,,,"AS-2,Hart-3,Selke-20",,,,,,,,148,57,78,13,26,11.0,1.8,12.8
Eric Lindros,1996-97,23,PHI,NHL,52,32,47,79,136,198,,"","",,,,,,,"AS-5,Hart-9,Selke-15",,,,,,,,105,29,49,4,31,8.4,1.6,10.0
Eric Lindros,1997-98,24,PHI,NHL,63,30,41,71,134,202,,"","",,,,,,,AS-9,,,,,,,,92,35,47,4,14,7.9,1.3,9.2
Eric Lindros,1998-99,25,PHI,NHL,71,40,53,93,120,242,,1628,22:56,,,,,,,"AS-3,Hart-6,Selke-14",,,,,,,,122,45,53,11,35,9.2,3.1,12.4
Eric Lindros,1999-00,26,PHI,NHL,55,27,32,59,83,187,,1212,22:02,,,,,,,"",,,,,,,,80,33,41,5,11,5.7,2.0,7.7
Eric Lindros,2001-02,28,NYR,NHL,72,37,36,73,138,196,,1516,21:03,,,,,,,"",,,,,,,,102,27,63,7,19,7.7,1.8,9.5
Eric Lindros,2002-03,29,NYR,NHL,81,19,34,53,141,235,,1640,20:15,,,,,,,"",,,,,,,,93,35,63,10,5,3.3,1.8,5.2
Eric Lindros,2003-04,30,NYR,NHL,39,10,22,32,60,83,,623,15:59,,,,,,,"",,,,,,,,43,12,24,0,7,2.9,0.8,3.7
Eric Lindros,2005-06,32,TOR,NHL,33,11,11,22,43,59,,574,17:24,,,,,,,"",,,,,,,,38,19,34,12,-3,1.6,0.5,2.1
Eric Lindros,2006-07,33,DAL,NHL,49,5,21,26,70,95,,718,14:39,,,,,,,"",,,,,,,,36,16,21,0,-1,1.1,1.1,2.1
Pat Falloon,1991-92,19,SJS,NHL,79,25,34,59,16,181,,"","",,,,,,,"Byng-13,Calder-4",,,,,,,,85,29,92,4,-32,3.7,0.4,4.1
Pat Falloon,1992-93,20,SJS,NHL,41,14,14,28,12,131,,"","",,,,,,,"",,,,,,,,38,13,53,3,-25,1.6,0.0,1.6
Pat Falloon,1993-94,21,SJS,NHL,83,22,31,53,18,193,,"","",,,,,,,"",,,,,,,,82,26,61,2,-3,3.1,1.1,4.2
Pat Falloon,1994-95,22,SJS,NHL,46,12,7,19,25,91,,"","",,,,,,,"",,,,,,,,28,3,29,0,-4,1.0,0.5,1.5
Pat Falloon,1995-96,23,TOT,NHL,71,25,26,51,10,170,,"","",,,,,,,"",,,,,,,,71,28,29,0,14,3.8,1.4,5.1
Pat Falloon,1996-97,24,PHI,NHL,52,11,12,23,10,124,,"","",,,,,,,"",,,,,,,,32,10,30,0,-8,1.2,0.2,1.4
Pat Falloon,1997-98,25,TOT,NHL,58,8,10,18,16,136,,"","",,,,,,,"",,,,,,,,32,13,27,0,-8,0.5,0.5,1.0
Pat Falloon,1998-99,26,EDM,NHL,82,17,23,40,20,152,,1205,14:42,,,,,,,"",,,,,,,,62,23,43,0,-4,2.7,0.9,3.6
Pat Falloon,1999-00,27,TOT,NHL,63,9,22,31,14,92,,776,12:19,,,,,,,"",,,,,,,,44,9,31,0,4,2.0,0.9,2.9
Scott Niedermayer,1991-92,18,NJD,NHL,4,0,1,1,2,4,"","","","","","","","","","",,,,,,,,5,0,4,0,1,0.0,0.2,0.2
Scott Niedermayer,1992-93,19,NJD,NHL,80,11,29,40,47,131,"","","","","","","","","","",,,,,,,,116,36,77,5,8,2.2,4.4,6.5
Scott Niedermayer,1993-94,20,NJD,NHL,81,10,36,46,42,135,"","","","","","","","","","",,,,,,,,121,29,77,19,34,3.0,5.6,8.6
