Name,Season,Age,Tm,Lg,GP,G,A,PTS,PIM,S,TSA,TOI,ATOI,FOW,FOL,BLK,HIT,TK,GV,Awards,CF,CA,FF,FA,oiGF,oiGA,PDO,TGF,PGF,TGA,PGA,+/-,OPS,DPS,PS
Brian Lawton,1983-84,18,MNS,NHL,58,10,21,31,33,74,,"","",,,,,,,"",,,,,,,,48,7,42,1,1,0.6,0.6,1.2
Brian Lawton,1984-85,19,MNS,NHL,40,5,6,11,24,40,,"","",,,,,,,"",,,,,,,,21,3,22,2,-4,-0.4,0.5,0.0
Brian Lawton,1985-86,20,MNS,NHL,65,18,17,35,36,98,,"","",,,,,,,"",,,,,,,,53,10,33,0,9,1.1,1.0,2.1
Brian Lawton,1986-87,21,MNS,NHL,66,21,23,44,86,125,,"","",,,,,,,"",,,,,,,,66,6,41,1,20,2.4,1.3,3.7
Brian Lawton,1987-88,22,MNS,NHL,74,17,24,41,71,155,,"","",,,,,,,"",,,,,,,,72,35,66,19,-10,1.4,0.9,2.3
Brian Lawton,1988-89,23,TOT,NHL,65,17,26,43,67,128,,"","",,,,,,,"",,,,,,,,68,30,50,1,-11,1.9,0.6,2.4
Brian Lawton,1989-90,24,TOT,NHL,35,7,7,14,30,52,,"","",,,,,,,"",,,,,,,,24,9,30,0,-15,0.2,0.1,0.3
Brian Lawton,1991-92,26,SJS,NHL,59,15,22,37,42,131,,"","",,,,,,,"",,,,,,,,56,26,68,13,-25,1.9,0.2,2.1
Brian Lawton,1992-93,27,SJS,NHL,21,2,8,10,12,29,,"","",,,,,,,"",,,,,,,,19,6,26,4,-9,0.1,0.1,0.2
Sylvain Turgeon,1983-84,19,HAR,NHL,76,40,32,72,55,238,,"","",,,,,,,"AS-9,Calder-3",,,,,,,,106,46,71,0,-11,4.8,0.9,5.7
Sylvain Turgeon,1984-85,20,HAR,NHL,64,31,31,62,67,186,,"","",,,,,,,"",,,,,,,,95,42,63,0,-10,4.0,0.8,4.8
Sylvain Turgeon,1985-86,21,HAR,NHL,76,45,34,79,88,249,,"","",,,,,,,AS-5,,,,,,,,115,41,73,0,1,5.5,1.0,6.6
Sylvain Turgeon,1986-87,22,HAR,NHL,41,23,13,36,45,137,,"","",,,,,,,"",,,,,,,,47,15,35,0,-3,2.9,0.5,3.3
Sylvain Turgeon,1987-88,23,HAR,NHL,71,23,26,49,71,247,,"","",,,,,,,"",,,,,,,,85,44,46,0,-5,2.6,1.2,3.8
Sylvain Turgeon,1988-89,24,HAR,NHL,42,16,14,30,40,122,,"","",,,,,,,"",,,,,,,,44,18,37,0,-11,1.8,0.3,2.1
Sylvain Turgeon,1989-90,25,NJD,NHL,72,30,17,47,81,218,,"","",,,,,,,AS-6,,,,,,,,77,20,65,0,-8,2.9,0.6,3.5
Sylvain Turgeon,1990-91,26,MTL,NHL,19,5,7,12,20,41,,"","",,,,,,,"",,,,,,,,17,7,12,0,-2,0.6,0.2,0.8
Sylvain Turgeon,1991-92,27,MTL,NHL,56,9,11,20,39,99,,"","",,,,,,,"",,,,,,,,42,26,21,1,-4,0.1,0.7,0.8
Sylvain Turgeon,1992-93,28,OTT,NHL,72,25,18,43,104,249,,"","",,,,,,,"",,,,,,,,65,30,64,0,-29,2.4,0.5,3.0
Sylvain Turgeon,1993-94,29,OTT,NHL,47,11,15,26,52,116,,"","",,,,,,,"",,,,,,,,40,19,47,1,-25,1.3,0.0,1.3
Sylvain Turgeon,1994-95,30,OTT,NHL,33,11,8,19,29,83,,"","",,,,,,,"",,,,,,,,22,5,18,0,-1,1.6,0.5,2.1
Pat LaFontaine,1983-84,18,NYI,NHL,15,13,6,19,6,35,,"","",,,,,,,"",,,,,,,,23,2,12,0,9,1.7,0.4,2.0
Pat LaFontaine,1984-85,19,NYI,NHL,67,19,35,54,32,172,,"","",,,,,,,"",,,,,,,,82,14,60,1,7,2.6,0.8,3.4
Pat LaFontaine,1985-86,20,NYI,NHL,65,30,23,53,43,172,,"","",,,,,,,"",,,,,,,,74,14,46,2,15,3.1,1.1,4.2
Pat LaFontaine,1986-87,21,NYI,NHL,80,38,32,70,70,219,,"","",,,,,,,"",,,,,,,,104,53,71,10,-9,5.0,0.8,5.8
Pat LaFontaine,1987-88,22,NYI,NHL,75,47,45,92,52,242,,"","",,,,,,,Byng-15,,,,,,,,125,52,67,6,12,7.5,1.1,8.6
Pat LaFontaine,1988-89,23,NYI,NHL,79,45,43,88,26,288,,"","",,,,,,,Byng-5,,,,,,,,115,52,77,6,-8,6.7,0.9,7.6
Pat LaFontaine,1989-90,24,NYI,NHL,74,54,51,105,38,286,,"","",,,,,,,"AS-5,Byng-3,Hart-5",,,,,,,,141,66,98,10,-13,8.9,0.6,9.5
